[GNV | EN | OT | Exodus | Chapter 21 | Verse 1] Now these are the lawes, which thou shalt set before them:
[GNV | EN | OT | Exodus | Chapter 21 | Verse 2] If thou bye an Ebrewe seruant, he shall serue sixe yeres, and in the seuenth he shall go out free, for nothing.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 3] If he came himselfe alone, he shall goe out himselfe alone: if hee were married, then his wife shall go out with him.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 4] If his master haue giuen him a wife, and she hath borne him sonnes or daughters, he wife and her children shalbe her masters, but he shall goe out himselfe alone.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 5] But if the seruant saye thus, I loue my master, my wife and my children, I will not goe out free,
[GNV | EN | OT | Exodus | Chapter 21 | Verse 6] Then his master shall bring him vnto the Iudges, and set him to the dore, or to the poste, and his master shall bore his eare through with a nawle, and he shall serue him for euer.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 7] Likewise if a man sell his daughter to be a seruant, she shall not goe out as the men seruantes doe.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 8] If shee please not her master, who hath betrothed her to him selfe, then shall hee cause to buy her: hee shall haue no power to sell her to a strange people, seeing he despised her.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 9] But if he hath betrothed her vnto his sonne, he shall deale with her according to the custome of the daughters.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 10] If he take him another wife, he shall not diminish her foode, her rayment, and recompence of her virginitie.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 11] And if he do not these three vnto her, the shall she go out free, paying no money.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 12] He that smiteth a man, and he die, shall dye the death.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 13] And if a man hath not layed wayte, but God hath offered him into his hande, then I wil appoynt thee a place whither he shall flee.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 14] But if a man come presumptuously vpon his neighbour to slay him with guile, thou shalt take him from mine altar, that he may die.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 15] Also hee that smiteth his father or his mother, shall die the death.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 16] And he that stealeth a man, and selleth him, if it be founde with him, shall die the death.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 17] And hee that curseth his father or his mother, shall die the death.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 18] When men also striue together, and one smite another with a stone, or with the fist, and he die not, but lieth in bed,
[GNV | EN | OT | Exodus | Chapter 21 | Verse 19] If hee rise againe and walke without vpon his staffe, then shall he that smote him go quite, saue onely hee shall beare his charges for his resting, and shall pay for his healing.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 20] And if a man smite his seruant, or his maide with a rod, and he die vnder his hande, he shalbe surely punished.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 21] But if he continue a day, or two dayes, hee shall not be punished: for he is his money.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 22] Also if men striue and hurt a woman with childe, so that her childe depart from her, and death follow not, hee shall bee surely punished according as the womans husband shall appoynt him, or he shall pay as the Iudges determine.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 23] But if death follow, then thou shalt paye life for life,
[GNV | EN | OT | Exodus | Chapter 21 | Verse 24] Eye for eye, tooth for tooth, hande for hand, foote for foote,
[GNV | EN | OT | Exodus | Chapter 21 | Verse 25] Burning for burning, wound for wounde, stripe for stripe.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 26] And if a man smite his seruant in the eie, or his maide in the eye, and hath perished it, hee shall let him goe free for his eye.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 27] Also if he smite out his seruants tooth, or his maides tooth, he shall let him goe out free for his tooth.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 28] If an oxe gore a man or a woman, that he die, the oxe shalbe stoned to death, and his flesh shall not be eaten, but the owner of the oxe shall goe quite.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 29] If the oxe were wont to push in times past, and it hath bene tolde his master, and hee hath not kept him, and after he killeth a man or a woman, the oxe shall be stoned, and his owner shall die also.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 30] If there be set to him a summe of mony, then he shall pay the raunsome of his life, whatsoeuer shalbe laied vpon him.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 31] Whether he hath gored a sonne or gored a daughter, he shalbe iudged after the same maner.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 32] If the oxe gore a seruant or a mayde, hee shall giue vnto their master thirtie shekels of siluer, and the oxe shalbe stoned.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 33] And when a man shall open a well, or when he shall dig a pit and couer it not, and an oxe or an asse fall therein,
[GNV | EN | OT | Exodus | Chapter 21 | Verse 34] The owner of the pit shall make it good, and giue money to the owners thereof, but the dead beast shalbe his.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 35] And if a mans oxe hurt his neighbours oxe that he die, then they shall sel the liue oxe, and deuide the money thereof, and the dead oxe also they shall deuide.
[GNV | EN | OT | Exodus | Chapter 21 | Verse 36] Or if it bee knowen that the oxe hath vsed to push in times past, and his master hath not kept him, he shall pay oxe for oxe, but the dead shall be his owne.
