[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 1] King Antiochus was traveling through the upper countries; and he heard that in Elymais in Persia there was a city renowned for riches, for silver and gold,
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 2] and that the temple which was in it was exceedingly rich, and that in it were golden shields, breastplates, and weapons which Alexander, son of Philip, the Macedonian king, who reigned first among the Greeks, left behind there.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 3] So he came and tried to take the city and to pillage it; and he was not able, because his plan was known to them of the city,
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 4] and they rose up against him in battle. He fled and returned to Babylon with great disappointment.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 5] Then someone came into Persia bringing him news that the armies which went against the land of Judah had been put to flight,
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 6] and that Lysias went first with a strong army and was put to shame before them, and that they had grown strong because of weapons, power, and a supply of plunder which they took from the armies that they had cut off,
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 7] and that they had pulled down the abomination which he had built upon the altar that was in Jerusalem, and that they had surrounded the sanctuary with high walls, as before, and also Bethsura, his city.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 8] It came to pass, when the king heard these words, he was astonished and moved exceedingly. He laid himself down on his bed, and fell sick for grief, because it had not turned out for him as he had planned.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 9] He was there many days, because great grief continually gripped him, and he realized that he would die.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 10] He called for all his friends, and said to them, “Sleep departs from my eyes, and my heart fails because of worry.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 11] I said in my heart, ‘To what suffering I have come! How great a flood it is that I’m in, now! For I was gracious and loved in my power.’
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 12] But now I remember the evils which I did at Jerusalem, and that I took all the vessels of silver and gold that were in it, and sent out to destroy the inhabitants of Judah without a cause.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 13] I perceive that it is because of this that these evils have come upon me. Behold, I am perishing through great grief in a strange land.”
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 14] Then he called for Philip, one of his friends, and set him over all his kingdom.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 15] He gave him his crown, his robe, and his signet ring, so that he could guide Antiochus his son, and nourish him up that he might be king.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 16] Then King Antiochus died there in the one hundred forty-ninth year.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 17] When Lysias learned that the king was dead, he set up Antiochus his son to reign, whom he had nourished up being young, and he called his name Eupator.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 18] Those who were in the citadel kept hemming Israel in around the sanctuary, and always sought to harm them and to strengthen the Gentiles.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 19] Judas planned to destroy them, and called all the people together to besiege them.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 20] They were gathered together, and besieged them in the one hundred fiftieth year, and he made mounds to shoot from, and engines of war.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 21] Some of those who were hemmed in came out, and some of the ungodly men of Israel were joined to them.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 22] They went to the king, and said, “How long will you not execute judgment, and avenge our kindred?
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 23] We were willing to serve your father and to live by his words, and to follow his commandments.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 24] Because of this, the children of our people besieged the citadel and were alienated from us; but as many of us as they could catch, they killed, and plundered our inheritances.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 25] Not against us only did they stretch out their hand, but also against all their borders.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 26] Behold, they are encamped this day against the citadel at Jerusalem to take it. They have fortified the sanctuary and Bethsura.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 27] If you don’t quickly prevent them, they will do greater things than these, and you won’t be able to control them.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 28] When the king heard this, he was angry, and gathered together all his friends, the rulers of his army, and those who were over the cavalry.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 29] Bands of hired soldiers came to him from other kingdoms and from islands of the sea.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 30] The number of his forces was one hundred thousand infantry, and twenty thousand cavalry, and thirty-two elephants trained for war.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 31] They went through Idumaea, and encamped against Bethsura, and fought against it many days, and made engines of war. The Jews came out and burned them with fire, and fought valiantly.
[WEB | EN | OT | 1 Maccabees | Chapter 6 | Verse 32] Judas marched away from the citadel and encamped at Bethzacharias, near the king’s camp.
