[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 1] In those days Mattathias the son of John, the son of Simeon, a priest of the sons of Joarib, from Jerusalem rose up; and he lived at Modin.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 2] And he had five sons: John, who was surnamed Gaddis;
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 3] Simon, who was called Thassi;
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 4] Judas, who was called Maccabaeus;
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 5] Eleazar, who was called Avaran; and Jonathan, who was called Apphus.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 6] He saw the blasphemies that were committed in Judah and in Jerusalem,
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 7] and he said, “Woe is me! Why was I born to see the destruction of my people and the destruction of the holy city, and to dwell there when it was given into the hand of the enemy, the sanctuary into the hand of foreigners?
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 8] Her temple has become like a man who was glorious.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 9] Her vessels of glory are carried away into captivity. Her infants are slain in her streets. Her young men are slain with the enemy’s sword.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 10] What nation has not inherited her palaces and taken possession of her spoils?
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 11] Her adornment has all been taken away. Instead of a free woman, she has become a slave.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 12] Behold, our holy things, our beauty, and our glory are laid waste. The Gentiles have profaned them.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 13] Why should we live any longer?”
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 14] Mattathias and his sons tore their clothes, put on sackcloth, and mourned exceedingly.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 15] And the king’s officers who were enforcing the apostasy came into the city Modin to sacrifice.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 16] Many of Israel came to them, and Mattathias and his sons were gathered together.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 17] The king’s officers answered and spoke to Mattathias, saying, “You are a ruler and an honorable and great man in this city, and strengthened with sons and kindred.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 18] Now therefore come first and do the commandment of the king, as all the nations have done, including the men of Judah and those who remain in Jerusalem. You and your house will be numbered among the king’s friends, and you and your sons will be honored with silver and gold and many gifts.”
