[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 1] The word of the LORD came again to me, saying,
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 2] Son of man, there were two women, the daughters of one mother:
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 3] And they committed lewd deeds in Egypt; they committed lewd deeds in their youth: there were their breasts pressed, and there they were first corrupted.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 4] And the names of them were Aholah the elder, and Aholibah her sister: and they were mine, and they bore sons and daughters. Thus were their names; Samaria is Aholah, and Jerusalem Aholibah.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 5] And Aholah played the harlot when she was mine; and she doted on her lovers, on the Assyrians her neighbors.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 6] Who were clothed with blue, captains and rulers, all of them desirable young men, horsemen riding upon horses.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 7] Thus she committed her lewd deeds with them, with all them that were the chosen men of Assyria, and with all on whom she doted: with all their idols she defiled herself.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 8] Neither left she her lewd deeds brought from Egypt: for in her youth they lay with her, and they first corrupted her, and poured their impurities upon her.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 9] Wherefore I have delivered her into the hand of her lovers, into the hand of the Assyrians, upon whom she doted.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 10] These uncovered her nakedness: they took her sons and her daughters, and slew her with the sword: and she became famous among women; for they had executed judgment upon her.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 11] And when her sister Aholibah saw this , she was more corrupt in her inordinate love than she, and in her prostitutions more than her sister in her prostitutions.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 12] She doted upon the Assyrians her neighbors, captains and rulers clothed most gorgeously, horsemen riding upon horses, all of them desirable young men.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 13] Then I saw that she was defiled, that they took both one way.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 14] And that she increased her prostitutions: for when she saw men pourtrayed upon the wall, the images of the Chaldeans pourtrayed with vermilion.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 15] Girded with girdles upon their loins, exceeding in dyed attire upon their heads, all of them princes to look to, after the manner of the Babylonians of Chaldea, the land of their nativity:
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 16] And as soon as she saw them with her eyes she doted upon them, and sent messengers to them into Chaldea.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 17] And the Babylonians came to her into the bed of love, and they defiled her with their lewdness, and she was polluted with them, and her mind was alienated from them.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 18] So she disclosed her lewd deeds, and exposed her nakedness: then my mind was alienated from her, as my mind was alienated from her sister.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 19] Yet she multiplied her prostitutions, in calling to remembrance the days of her youth, in which she had played the harlot in the land of Egypt.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 20] For she doted upon their paramours, whose flesh is as the flesh of asses, and whose issue is like the issue of horses.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 21] Thus thou calledst to remembrance the lewdness of thy youth, by being corrupted by the Egyptians in thy youth.
