[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 1] The word of the LORD came again to me, saying,
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 2] Son of man, prophesy and say, Thus saith the Lord GOD; Howl ye, Alas the day!
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 3] For the day is near, even the day of the LORD is near, a cloudy day; it shall be the time of the heathen.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 4] And the sword shall come upon Egypt, and great pain shall be in Cush, when the slain shall fall in Egypt, and they shall take away her multitude, and her foundations shall be broken down.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 5] Cush, and Libya, and Lydia, and all the mingled people, and Kub, and the men of the land that is in league, shall fall with them by the sword.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 6] Thus saith the LORD; They also that uphold Egypt shall fall; and the pride of her power shall come down: from the tower of Syene shall they fall in it by the sword, saith the Lord GOD.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 7] And they shall be desolate in the midst of the countries that are desolate, and her cities shall be in the midst of the cities that are wasted.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 8] And they shall know that I am the LORD, when I have set a fire in Egypt, and when all her helpers shall be destroyed.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 9] In that day shall messengers go forth from me in ships to make the careless Cushites afraid, and great pain shall come upon them, as in the day of Egypt: for lo, it cometh.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 10] Thus saith the Lord God; I will also make the multitude of Egypt to cease by the hand of Nebuchadrezzar king of Babylon.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 11] He and his people with him, the terrible of the nations, shall be brought to destroy the land: and they shall draw their swords against Egypt, and fill the land with the slain.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 12] And I will make the rivers dry, and sell the land into the hand of the wicked: and I will make the land waste, and all that is in it, by the hand of strangers: I the LORD have spoken it .
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 13] Thus saith the Lord GOD; I will also destroy the idols, and I will cause their images to cease out of Noph; and there shall be no more a prince of the land of Egypt: and I will put a fear in the land of Egypt.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 14] And I will make Pathros desolate, and will set fire in Zoan, and will execute judgments in No.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 15] And I will pour my fury upon Sin, the strength of Egypt; and I will cut off the multitude of No.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 16] And I will set fire in Egypt: Sin shall have great pain, and No shall be rent asunder, and Noph shall have distresses daily.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 17] The young men of Aven and of Pibeseth shall fall by the sword: and these cities shall go into captivity.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 18] At Tehaphnehes also the day shall be darkened, when I shall break there the yokes of Egypt: and the pomp of her strength shall cease in her: as for her, a cloud shall cover her, and her daughters shall go into captivity.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 19] Thus will I execute judgments in Egypt: and they shall know that I am the LORD.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 20] And it came to pass in the eleventh year, in the first month , in the seventh day of the month, that the word of the LORD came to me, saying,
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 21] Son of man, I have broken the arm of Pharaoh king of Egypt; and lo, it shall not be bound up to be healed, to put a roller to bind it, to make it strong to hold the sword.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 22] Therefore thus saith the Lord GOD; Behold, I am against Pharaoh king of Egypt, and will break his arms, the strong, and that which was broken; and I will cause the sword to fall out of his hand.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 23] And I will scatter the Egyptians among the nations, and will disperse them through the countries.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 24] And I will strengthen the arms of the king of Babylon, and put my sword in his hand: but I will break Pharaoh's arms, and he shall groan before him with the groanings of a deadly wounded man .
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 25] But I will strengthen the arms of the king of Babylon, and the arms of Pharaoh shall fall down; and they shall know that I am the LORD, when I shall put my sword into the hand of the king of Babylon, and he shall stretch it out upon the land of Egypt.
[WEBSTER | EN | OT | Ezekiel | Chapter 30 | Verse 26] And I will scatter the Egyptians among the nations, and disperse them among the countries; and they shall know that I am the LORD.
