[OEB | EN | NT | James | Chapter 4 | Verse 1] What is the cause of the fighting and quarrelling that goes on among you? Isn’t it to be found in the desires which are always at war within you?
[OEB | EN | NT | James | Chapter 4 | Verse 2] You crave, yet do not have, so you commit murder, so You covet, yet cannot gain your end. You quarrel and fight. You do not have, because you do not ask.
[OEB | EN | NT | James | Chapter 4 | Verse 3] You ask, yet do not receive, because you ask for a wrong purpose – to spend what you get on your pleasures.
[OEB | EN | NT | James | Chapter 4 | Verse 4] Unfaithful people! Don’t you know that to be friends with the world means to be at enmity with God? Therefore whoever chooses to be friends with the world makes himself an enemy to God.
[OEB | EN | NT | James | Chapter 4 | Verse 5] Do you suppose scripture means nothing when it says, “Envy results from the longings of the spirit which God has implanted within you?”
[OEB | EN | NT | James | Chapter 4 | Verse 6] But he gives us greater grace; and that is why it says, – “God opposes the haughty, but gives grace to the humble.”
[OEB | EN | NT | James | Chapter 4 | Verse 7] Therefore submit to God. Stand up to the devil, and he will flee from you.
[OEB | EN | NT | James | Chapter 4 | Verse 8] Draw near to God, and he will draw near to you. Make your hands clean, you sinners; and your hearts pure, you vacillators!
[OEB | EN | NT | James | Chapter 4 | Verse 9] Grieve, mourn, and lament! Let your laughter be turned to mourning, and your happiness to gloom!
[OEB | EN | NT | James | Chapter 4 | Verse 10] Humble yourselves before the Lord, and he will exalt you.
[OEB | EN | NT | James | Chapter 4 | Verse 11] Do not disparage one another, friends. The person who disparages others, or passes judgment on them, disparages the Law and passes judgment on the Law. But, if you pass judgment on the Law, you are not obeying it, but judging it.
[OEB | EN | NT | James | Chapter 4 | Verse 12] There is only one lawgiver and judge – he who has the power both to save and to destroy. So then who are you to pass judgment on your neighbour?
[OEB | EN | NT | James | Chapter 4 | Verse 13] Listen to me, you who say “Today or tomorrow we will go to such and such a town and spend a year there, doing business and making money,”
[OEB | EN | NT | James | Chapter 4 | Verse 14] yet you do not know what your life will be like tomorrow! For you are but a puff of smoke that appears for a little while and then vanishes.
[OEB | EN | NT | James | Chapter 4 | Verse 15] Instead you should say “If the Lord wills, we will live and do this or that.”
[OEB | EN | NT | James | Chapter 4 | Verse 16] But as it is, you are boasting presumptuously! All such boasting is wicked.
[OEB | EN | NT | James | Chapter 4 | Verse 17] The person, then, who knows what is right but fails to do it – that is sin in them.
