[OEB | EN | NT | James | Chapter 2 | Verse 1] My friends, are you really trying to combine faith in Jesus Christ, our glorified Lord, with discrimination?
[OEB | EN | NT | James | Chapter 2 | Verse 2] Suppose a visitor should enter your synagogue, with gold rings and in grand clothes, and suppose a poor man should come in also, in shabby clothes,
[OEB | EN | NT | James | Chapter 2 | Verse 3] and you show more respect to the visitor who is wearing grand clothes, and say – ‘There is a good seat for you here,’ but to the poor man – ‘You must stand; or sit down there by my footstool,’
[OEB | EN | NT | James | Chapter 2 | Verse 4] Haven’t you made distinctions among yourselves, and used evil standards of judgement?
[OEB | EN | NT | James | Chapter 2 | Verse 5] Listen, my dear friends. Has not God chosen those who are poor in the things of this world to be rich through their faith, and to possess the kingdom which he has promised to those who love him?
[OEB | EN | NT | James | Chapter 2 | Verse 6] But you – you insult the poor man! Isn’t it the rich who oppress you? Isn’t it they who drag you into law courts?
[OEB | EN | NT | James | Chapter 2 | Verse 7] Isn’t it they who malign that honourable name spoken over you at your baptism?
[OEB | EN | NT | James | Chapter 2 | Verse 8] If you keep the royal law which runs – “You must love your neighbour as you love yourself,” you are doing right;
[OEB | EN | NT | James | Chapter 2 | Verse 9] but, if you discriminate, you commit a sin, and stand convicted by that same law of being offenders against it.
[OEB | EN | NT | James | Chapter 2 | Verse 10] For a person who has laid the Law, as a whole, to heart, but has failed in one particular, is accountable for breaking all its provisions.
[OEB | EN | NT | James | Chapter 2 | Verse 11] He who said “You must not commit adultery” also said “You must not murder.” If, then, you commit murder but not adultery, you are still an offender against the Law.
[OEB | EN | NT | James | Chapter 2 | Verse 12] Therefore, speak and act as people who are to be judged by the “Law of freedom.”
[OEB | EN | NT | James | Chapter 2 | Verse 13] For there will be justice without mercy for the person who has not acted mercifully. Mercy triumphs over Justice.
[OEB | EN | NT | James | Chapter 2 | Verse 14] My friends, what good is it if someone claims that they have faith, but they do not prove it by actions? Can such faith save them?
[OEB | EN | NT | James | Chapter 2 | Verse 15] Suppose some brother or sister should be in need of clothes and of daily bread,
[OEB | EN | NT | James | Chapter 2 | Verse 16] and one of you says to them – ‘Go, and peace be with you; keep warm and eat well!’ and yet you do not actually give them the necessities of life, what good would it be to them?
[OEB | EN | NT | James | Chapter 2 | Verse 17] In just the same way faith, if not followed by actions, is, by itself, a lifeless thing.
[OEB | EN | NT | James | Chapter 2 | Verse 18] Someone, indeed, may say – ‘You are a man of faith, and I am a man of action.’ ‘Then show me your faith,’ I reply, ‘apart from any actions, and I will show you my faith by my actions.’
[OEB | EN | NT | James | Chapter 2 | Verse 19] It is a part of your faith, is it not, that there is one God? Good; yet even the demons have that faith, and tremble at the thought.
[OEB | EN | NT | James | Chapter 2 | Verse 20] Now do you really want to understand, fool, how it is that faith without actions leads to nothing?
[OEB | EN | NT | James | Chapter 2 | Verse 21] Look at our ancestor, Abraham. Was he not justified by his actions after he had offered his son, Isaac, on the altar?
[OEB | EN | NT | James | Chapter 2 | Verse 22] You see how, in his case, faith and actions went together; that his faith was perfected as the result of his actions;
[OEB | EN | NT | James | Chapter 2 | Verse 23] and that in this way the words of scripture came true – ‘Abraham believed God, and that was regarded by God as righteousness,’ and ‘He was called the friend of God.’
[OEB | EN | NT | James | Chapter 2 | Verse 24] You see, then, that a person is justified by actions, and not by faith alone.
[OEB | EN | NT | James | Chapter 2 | Verse 25] Wasn’t it the same with the prostitute, Rahab? Was she not justified by her actions, after she had welcomed the messengers and helped them escape by another road?
[OEB | EN | NT | James | Chapter 2 | Verse 26] Just as a body is dead without a spirit, so faith is dead without actions.
