[WEB | EN | OT | Genesis | Chapter 10 | Verse 1] Now this is the history of the generations of the sons of Noah and of Shem, Ham, and Japheth. Sons were born to them after the flood.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 2] The sons of Japheth were: Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 3] The sons of Gomer were: Ashkenaz, Riphath, and Togarmah.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 4] The sons of Javan were: Elishah, Tarshish, Kittim, and Dodanim.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 5] Of these were the islands of the nations divided in their lands, everyone after his language, after their families, in their nations.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 6] The sons of Ham were: Cush, Mizraim, Put, and Canaan.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 7] The sons of Cush were: Seba, Havilah, Sabtah, Raamah, and Sabteca. The sons of Raamah were: Sheba and Dedan.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 8] Cush became the father of Nimrod. He began to be a mighty one in the earth.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 9] He was a mighty hunter before the LORD. Therefore it is said, “like Nimrod, a mighty hunter before the LORD”.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 10] The beginning of his kingdom was Babel, Erech, Accad, and Calneh, in the land of Shinar.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 11] Out of that land he went into Assyria, and built Nineveh, Rehoboth Ir, Calah,
[WEB | EN | OT | Genesis | Chapter 10 | Verse 12] and Resen between Nineveh and the great city Calah.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 13] Mizraim became the father of Ludim, Anamim, Lehabim, Naphtuhim,
[WEB | EN | OT | Genesis | Chapter 10 | Verse 14] Pathrusim, Casluhim (which the Philistines descended from), and Caphtorim.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 15] Canaan became the father of Sidon (his firstborn), Heth,
[WEB | EN | OT | Genesis | Chapter 10 | Verse 16] the Jebusites, the Amorites, the Girgashites,
[WEB | EN | OT | Genesis | Chapter 10 | Verse 17] the Hivites, the Arkites, the Sinites,
[WEB | EN | OT | Genesis | Chapter 10 | Verse 18] the Arvadites, the Zemarites, and the Hamathites. Afterward the families of the Canaanites were spread abroad.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 19] The border of the Canaanites was from Sidon—as you go toward Gerar—to Gaza—as you go toward Sodom, Gomorrah, Admah, and Zeboiim—to Lasha.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 20] These are the sons of Ham, after their families, according to their languages, in their lands and their nations.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 21] Children were also born to Shem (the elder brother of Japheth), the father of all the children of Eber.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 22] The sons of Shem were: Elam, Asshur, Arpachshad, Lud, and Aram.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 23] The sons of Aram were: Uz, Hul, Gether, and Mash.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 24] Arpachshad became the father of Shelah. Shelah became the father of Eber.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 25] To Eber were born two sons. The name of the one was Peleg, for in his days the earth was divided. His brother’s name was Joktan.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 26] Joktan became the father of Almodad, Sheleph, Hazarmaveth, Jerah,
[WEB | EN | OT | Genesis | Chapter 10 | Verse 27] Hadoram, Uzal, Diklah,
[WEB | EN | OT | Genesis | Chapter 10 | Verse 28] Obal, Abimael, Sheba,
[WEB | EN | OT | Genesis | Chapter 10 | Verse 29] Ophir, Havilah, and Jobab. All these were the sons of Joktan.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 30] Their dwelling extended from Mesha, as you go toward Sephar, the mountain of the east.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 31] These are the sons of Shem, by their families, according to their languages, lands, and nations.
[WEB | EN | OT | Genesis | Chapter 10 | Verse 32] These are the families of the sons of Noah, by their generations, according to their nations. The nations divided from these in the earth after the flood.
