[WEB | EN | OT | Genesis | Chapter 5 | Verse 1] This is the book of the generations of Adam. In the day that God created man, he made him in God’s likeness.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 2] He created them male and female, and blessed them. On the day they were created, he named them Adam.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 3] Adam lived one hundred thirty years, and became the father of a son in his own likeness, after his image, and named him Seth.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 4] The days of Adam after he became the father of Seth were eight hundred years, and he became the father of other sons and daughters.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 5] All the days that Adam lived were nine hundred thirty years, then he died.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 6] Seth lived one hundred five years, then became the father of Enosh.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 7] Seth lived after he became the father of Enosh eight hundred seven years, and became the father of other sons and daughters.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 8] All of the days of Seth were nine hundred twelve years, then he died.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 9] Enosh lived ninety years, and became the father of Kenan.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 10] Enosh lived after he became the father of Kenan eight hundred fifteen years, and became the father of other sons and daughters.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 11] All of the days of Enosh were nine hundred five years, then he died.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 12] Kenan lived seventy years, then became the father of Mahalalel.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 13] Kenan lived after he became the father of Mahalalel eight hundred forty years, and became the father of other sons and daughters
[WEB | EN | OT | Genesis | Chapter 5 | Verse 14] and all of the days of Kenan were nine hundred ten years, then he died.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 15] Mahalalel lived sixty-five years, then became the father of Jared.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 16] Mahalalel lived after he became the father of Jared eight hundred thirty years, and became the father of other sons and daughters.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 17] All of the days of Mahalalel were eight hundred ninety-five years, then he died.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 18] Jared lived one hundred sixty-two years, then became the father of Enoch.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 19] Jared lived after he became the father of Enoch eight hundred years, and became the father of other sons and daughters.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 20] All of the days of Jared were nine hundred sixty-two years, then he died.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 21] Enoch lived sixty-five years, then became the father of Methuselah.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 22] After Methuselah’s birth, Enoch walked with God for three hundred years, and became the father of more sons and daughters.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 23] All the days of Enoch were three hundred sixty-five years.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 24] Enoch walked with God, and he was not found, for God took him.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 25] Methuselah lived one hundred eighty-seven years, then became the father of Lamech.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 26] Methuselah lived after he became the father of Lamech seven hundred eighty-two years, and became the father of other sons and daughters.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 27] All the days of Methuselah were nine hundred sixty-nine years, then he died.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 28] Lamech lived one hundred eighty-two years, then became the father of a son.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 29] He named him Noah, saying, “This one will comfort us in our work and in the toil of our hands, caused by the ground which the LORD has cursed.”
[WEB | EN | OT | Genesis | Chapter 5 | Verse 30] Lamech lived after he became the father of Noah five hundred ninety-five years, and became the father of other sons and daughters.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 31] All the days of Lamech were seven hundred seventy-seven years, then he died.
[WEB | EN | OT | Genesis | Chapter 5 | Verse 32] Noah was five hundred years old, then Noah became the father of Shem, Ham, and Japheth.
