[IRV | UR | NT | 2 Corinthians | Chapter 13 | Verse 1] ये तीसरी बार मैं तुम्हारे पास आता हूँ। दो या तीन गवाहों कि ज़बान से हर एक बात साबित हो जाएगी।
[IRV | UR | NT | 2 Corinthians | Chapter 13 | Verse 2] जैसे मैंने जब दूसरी दफ़ा हाज़िर था तो पहले से कह दिया था, वैसे ही अब ग़ैर हाज़िरी में भी उन लोगों से जिन्होंने पहले गुनाह किए हैं और सब लोगों से, पहले से कहे देता हूँ कि अगर फिर आऊँगा तो दर गुज़र न करूँगा।
[IRV | UR | NT | 2 Corinthians | Chapter 13 | Verse 3] क्यूँकि तुम इसकी दलील चाहते हो कि मसीह मुझ में बोलता हैं, और वो तुम्हारे लिए कमज़ोर नहीं बल्कि तुम में ताक़तवर है।
[IRV | UR | NT | 2 Corinthians | Chapter 13 | Verse 4] हाँ, वो कमज़ोरी की वजह से मस्लूब किया गया, लेकिन ख़ुदा की क़ुदरत की वजह से ज़िन्दा है; और हम भी उसमें कमज़ोर तो हैं, मगर उसके साथ ख़ुदा कि उस क़ुदरत कि वजह से ज़िन्दा होंगे जो तुम्हारे लिए है।
[IRV | UR | NT | 2 Corinthians | Chapter 13 | Verse 5] तुम अपने आप को आज़माओ कि ईमान पर हो या नहीं। अपने आप को जाँचो तुम अपने बारे में ये नहीं जानते हो कि ईसा मसीह तुम में है? वर्ना तुम नामक़बूल हो।
[IRV | UR | NT | 2 Corinthians | Chapter 13 | Verse 6] लेकिन मैं उम्मीद करता हूँ कि तुम मा'लूम कर लोगे कि हम तो नामक़बूल नहीं।
[IRV | UR | NT | 2 Corinthians | Chapter 13 | Verse 7] हम ख़ुदा से दुआ करते हैं कि तुम कुछ बदी न करो ना इस वास्ते कि हम मक़बूल मालूम हों' बल्कि इस वास्ते कि तुम नेकी करो चाहे हम नामक़बूल ही ठहरें।
[IRV | UR | NT | 2 Corinthians | Chapter 13 | Verse 8] क्यूँकि हम हक़ के बारख़िलाफ़ कुछ नहीं कर सकते, मगर सिर्फ़ हक़ के लिए कर सकते हैं।
[IRV | UR | NT | 2 Corinthians | Chapter 13 | Verse 9] जब हम कमज़ोर हैं और तुम ताक़तवर हो, तो हम ख़ुश हैं और ये दुआ भी करते हैं कि तुम कामिल बनो।
[IRV | UR | NT | 2 Corinthians | Chapter 13 | Verse 10] इसलिए मैं ग़ैर हाज़िरी में ये बातें लिखता हूँ ताकि हाज़िर होकर मुझे उस इख़्तियार के मुवाफ़िक़ सख़्ती न करना पड़े जो ख़ुदावन्द ने मुझे बनाने के लिए दिया है न कि बिगाड़ने के लिए।
[IRV | UR | NT | 2 Corinthians | Chapter 13 | Verse 11] ग़रज़ ऐ भाइयों! ख़ुश रहो, कामिल बनो, इत्मीनान रख्खो, यकदिल रहो, मेल — मिलाप रख्खो तो ख़ुदा, मुहब्बत और मेल — मिलाप का चश्मा तुम्हारे साथ होगा।
[IRV | UR | NT | 2 Corinthians | Chapter 13 | Verse 12] आपस में पाक बोसा लेकर सलाम करो।
[IRV | UR | NT | 2 Corinthians | Chapter 13 | Verse 13] सब मुक़द्दस लोग तुम को सलाम कहते हैं।
