[IRV | UR | OT | Proverbs | Chapter 22 | Verse 1] नेक नाम बेक़यास ख़ज़ाने से और एहसान सोने चाँदी से बेहतर है।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 2] अमीर — ओ — ग़रीब एक दूसरे से मिलते हैं; उन सबका ख़ालिक़ ख़ुदावन्द ही है।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 3] होशियार बला को देख कर छिप जाता है; लेकिन नादान बढ़े चले जाते और नुक़्सान उठाते हैं।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 4] दौलत और 'इज़्ज़त — ओ — हयात, ख़ुदावन्द के ख़ौफ़ और फ़रोतनी का अज्र हैं।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 5] टेढ़े आदमी की राह में काँटे और फन्दे हैं; जो अपनी जान की निगहबानी करता है, उनसे दूर रहेगा।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 6] लड़के की उस राह में तरबियत कर जिस पर उसे जाना है; वह बूढ़ा होकर भी उससे नहीं मुड़ेगा।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 7] मालदार ग़रीब पर हुक्मरान होता है, और क़र्ज़ लेने वाला कर्ज़ देने वाले का नौकर है।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 8] जो बदी बोता है मुसीबत काटेगा, और उसके क़हर की लाठी टूट जाएगी।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 9] जो नेक नज़र है बरकत पाएगा, क्यूँकि वह अपनी रोटी में से ग़रीबों को देता है।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 10] ठठ्ठा करने वाले को निकाल दे तो फ़साद जाता रहेगा; हाँ झगड़ा रगड़ा और रुस्वाई दूर हो जाएँगे।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 11] जो पाक दिली को चाहता है उसके होंटों में लुत्फ़ है, और बादशाह उसका दोस्तदार होगा।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 12] ख़ुदावन्द की आँखें 'इल्म की हिफ़ाज़त करती हैं; वह दग़ाबाज़ों के कलाम को उलट देता है।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 13] सुस्त आदमी कहता है बाहर शेर खड़ा है! मैं गलियों में फाड़ा जाऊँगा।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 14] बेगाना 'औरत का मुँह गहरा गढ़ा है; उसमें वह गिरता है जिससे ख़ुदावन्द को नफ़रत है।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 15] हिमाक़त लड़के के दिल से वाबस्ता है, लेकिन तरबियत की छड़ी उसको उससे दूर कर देगी।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 16] जो अपने फ़ायदे के लिए ग़रीब पर ज़ुल्म करता है, और जो मालदार को देता है, यक़ीनन मोहताज हो जाएगा।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 17] अपना कान झुका और 'अक़्लमंदों की बातें सुन, और मेरी ता'लीम पर दिल लगा;
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 18] क्यूँकि यह पसंदीदा है कि तू उनको अपने दिल में रख्खे, और वह तेरे लबों पर क़ाईम रहें;
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 19] ताकि तेरा भरोसा ख़ुदावन्द पर हो, मैंने आज के दिन तुझ को हाँ तुझ ही को जता दिया है।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 20] क्या मैंने तेरे लिए मश्वरत और 'इल्म की लतीफ़ बातें इसलिए नहीं लिखी हैं, कि
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 21] सच्चाई की बातों की हक़ीक़त तुझ पर ज़ाहिर कर दूँ, ताकि तू सच्ची बातें हासिल करके अपने भेजने वालों के पास वापस जाए?
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 22] ग़रीब को इसलिए न लूट की वह ग़रीब है, और मुसीबत ज़दा पर 'अदालत गाह में ज़ुल्म न कर;
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 23] क्यूँकि ख़ुदावन्द उनकी वकालत करेगा, और उनके ग़ारतगरों की जान को ग़ारत करेगा।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 24] गु़स्से वर आदमी से दोस्ती न कर, और ग़ज़बनाक शख़्स के साथ न जा,
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 25] ऐसा ना हो तू उसका चाल चलन सीखे, और अपनी जान को फंदे में फंसाए। —
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 26] तू उनमें शामिल न हो जो हाथ पर हाथ मारते हैं, और न उनमें जो क़र्ज़ के ज़ामिन होते हैं।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 27] क्यूँकि अगर तेरे पास अदा करने को कुछ न हो, तो वह तेरा बिस्तर तेरे नीचे से क्यूँ खींच ले जाए?
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 28] उन पुरानी हदों को न सरका, जो तेरे बाप — दादा ने बाँधी हैं।
[IRV | UR | OT | Proverbs | Chapter 22 | Verse 29] तू किसी को उसके काम में मेहनती देखता है, वह बादशाहों के सामने खड़ा होगा; वह कम क़द्र लोगों की ख़िदमत न करेगा।
