[IRV | UR | OT | Proverbs | Chapter 9 | Verse 1] हिकमत ने अपना घर बना लिया, उसने अपने सातों सुतून तराश लिए हैं।
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 2] उसने अपने जानवरों को ज़बह कर लिया, और अपनी मय मिला कर तैयार कर ली; उसने अपना दस्तरख़्वान भी चुन लिया।
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 3] उसने अपनी सहेलियों को रवाना किया है; वह ख़ुद शहर की ऊँची जगहों पर पुकारती है,
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 4] “जो सादा दिल है, इधर आ जाए!” और बे'अक़्ल से वह यह कहती है,
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 5] “आओ, मेरी रोटी में से खाओ, और मेरी मिलाई हुई मय में से पियो।
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 6] ऐ सादा दिलो, बाज़ आओ और ज़िन्दा रहो, और समझ की राह पर चलो।”
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 7] ठठ्ठा बाज़ को तम्बीह करने वाला ला'नतान उठाएगा, और शरीर को मलामत करने वाले पर धब्बा लगेगा।
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 8] ठठ्ठाबाज़ को मलामत न कर, ऐसा न हो कि वह तुझ से 'अदावत रखने लगे; 'अक़्लमंद को मलामत कर, और वह तुझ से मुहब्बत रख्खेगा।
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 9] 'अक़्लमंद की तरबियत कर, और वह और भी 'अक़्लमंद बन जाएगा; सादिक़ को सिखा और वह 'इल्म में तरक़्क़ी करेगा।
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 10] ख़ुदावन्द का ख़ौफ़ हिकमत का शुरू' है, और उस क़ुद्दुस की पहचान समझ है।
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 11] क्यूँकि मेरी बदौलत तेरे दिन बढ़ जाएँगे, और तेरी ज़िन्दगी के साल ज़्यादा होंगे।
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 12] अगर तू 'अक़्लमंद है तो अपने लिए, और अगर तू ठठ्ठाबाज़ है तो ख़ुद ही भुगतेगा।
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 13] बेवक़ूफ़ 'औरत गौग़ाई है; वह नादान है और कुछ नहीं जानती।
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 14] वह अपने घर के दरवाज़े पर, शहर की ऊँची जगहों में बैठ जाती है;
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 15] ताकिआने जाने वालों को बुलाए, जो अपने अपने रास्ते पर सीधे जा रहें हैं,
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 16] “सादा दिल इधर आ जाएँ,” और बे'अक़्ल से वह यह कहती है,
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 17] “चोरी का पानी मीठा है, और पोशीदगी की रोटी लज़ीज़।”
[IRV | UR | OT | Proverbs | Chapter 9 | Verse 18] लेकिन वह नहीं जानता कि वहाँ मुर्दे पड़े हैं, और उस 'औरत के मेहमान पाताल की तह में हैं।
