[IRV | UR | OT | Proverbs | Chapter 28 | Verse 1] अगरचे कोई शरीर का पीछा न करे तोभी वह भागता है, लेकिन सादिक़ शेर — ए — बबर की तरह दिलेर है।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 2] मुल्क की ख़ताकारी की वजह से हाकिम बहुत से हैं, लेकिन साहिब — ए — 'इल्म — ओ — समझ से इन्तिज़ाम बहाल रहेगा।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 3] ग़रीब पर ज़ुल्म करने वाला कंगाल, मूसलाधार मेंह है जो एक 'अक़्लमंद भी नहीं छोड़ता।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 4] शरी'अत को छोड़ने वाले, शरीरों की तारीफ़ करते हैं लेकिन शरी'अत पर 'अमल करनेवाले, उनका मुक़ाबला करते हैं
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 5] शरीर 'अद्ल से आगाह नहीं, लेकिन ख़ुदावन्द के तालिब सब कुछ समझते हैं।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 6] रास्तरौ ग़रीब, टेढ़ा आदमी दौलतमंद से बेहतर है।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 7] ता'लीम पर 'अमल करने वाला 'अक़्लमंद बेटा है, लेकिन फ़ुज़ूलख़र्चों का दोस्त अपने बाप को रुस्वा करता है।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 8] जो नाजाइज़ सूद और नफ़े' से अपनी दौलत बढ़ाता है, वह ग़रीबों पर रहम करने वाले के लिए जमा' करता है।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 9] जो कान फेर लेता है कि शरी'अत को न सुने, उसकी दुआ भी नफ़रतअंगेज़ है।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 10] जो कोई सादिक़ को गुमराह करता है, ताकि वह बुरी राह पर चले, वह अपने गढ़े में आप ही गिरेगा; लेकिन कामिल लोग अच्छी चीज़ों के वारिस होंगे।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 11] मालदार अपनी नज़र में 'अक़्लमंद है, लेकिन 'अक्लमंद ग़रीब उसे परख लेता है।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 12] जब सादिक़ फ़तहयाब होते हैं, तो बड़ी धूमधाम होती है; लेकिन जब शरीर खड़े होते हैं, तो आदमी ढूँडे नहीं मिलते।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 13] जो अपने गुनाहों को छिपाता है, कामयाब न होगा; लेकिन जो उनका इक़रार करके, उनको छोड़ देता है; उस पर रहमत होगी।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 14] मुबारक है वह आदमी जो सदा डरता रहता है, लेकिन जो अपने दिल को सख़्त करता है, मुसीबत में पड़ेगा।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 15] गरीबों पर शरीर हाकिम, गरजते हुए शेर और शिकार के तालिब रीछ की तरह है।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 16] बे'अक़्ल हाकिम भी बड़ा ज़ालिम है, लेकिन जो लालच से नफ़रत रखता है, उसकी उम्र दराज़ होगी।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 17] जिसके सिर पर किसी का खू़न है, वह गढ़े की तरफ़ भागेगा, उसे कोई न रोके।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 18] जो रास्तरौ है रिहाई पाएगा, लेकिन टेढ़ा आदमी नागहान गिर पड़ेगा।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 19] जो अपनी ज़मीन में काश्तकारी करता है, रोटी से सेर होगा, लेकिन बेमतलब के पीछे चलने वाला बहुत कंगाल हो जाएगा।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 20] दियानतदार आदमी बरकतों से मा'मूर होगा, लेकिन जो दौलतमंद होने के लिए जल्दी करता है, बे सज़ा न छूटेगा।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 21] तरफ़दारी करना अच्छा नहीं; और न यह कि आदमी रोटी के टुकड़े के लिए गुनाह करे।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 22] तंग चश्म दौलत जमा' करने में जल्दी करता है, और यह नहीं जानता कि मुफ़लिसी उसे आ दबाएगा।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 23] आदमी को सरज़निश करनेवाला आखिरकार, ज़बानी ख़ुशामद करनेवाले से ज़्यादा मक्बूल ठहरेगा।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 24] जो कोई अपने वालिदैन को लूटता हैऔर कहता है, कि यह गुनाह नहीं, वह गारतगर का साथी है।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 25] जिसके दिल में लालच है वह झगड़ा खड़ा करता है, लेकिन जिसका भरोसा ख़ुदावन्द पर है वह तारो — ताज़ा किया जाएगा।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 26] जो अपने ही दिल पर भरोसा रखता है, बेवक़ूफ़ है; लेकिन जो 'अक़्लमंदी से चलता है, रिहाई पाएगा।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 27] जो ग़रीबों को देता है, मुहताज न होगा; लेकिन जो आँख चुराता है, बहुत मला'ऊन होगा।
[IRV | UR | OT | Proverbs | Chapter 28 | Verse 28] जब शरीर खड़े होते हैं, तो आदमी ढूँडे नहीं मिलते, लेकिन जब वह फ़ना होते हैं, तो सादिक़ तरक़्क़ी करते हैं।
