[IRV | UR | OT | Proverbs | Chapter 8 | Verse 1] क्या हिकमत पुकार नहीं रही, और समझ आवाज़ बलंद नहीं कर रहा?
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 2] वह राह के किनारे की ऊँची जगहों की चोटियों पर, जहाँ सड़कें मिलती हैं, खड़ी होती है।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 3] फाटकों के पास शहर के दहलीज़ पर, या'नी दरवाज़ों के मदख़ल पर वह ज़ोर से पुकारती है,
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 4] “ऐ आदमियो, मैं तुम को पुकारती हूँ, और बनी आदम को आवाज़ देती
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 5] ऐ सादा दिली होशियारी सीखो; और ऐ बेवकुफ़ों 'अक़्ल दिल बनो।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 6] सुनो, क्यूँकि मैं लतीफ़ बातें कहूँगी, और मेरे लबों से रास्ती की बातें निकलेगी;
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 7] इसलिए कि मेरा मुँह सच्चाई को बयान करेगा; और मेरे होंटों को शरारत से नफ़रत है।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 8] मेरे मुँह की सब बातें सदाक़त की हैं, उनमें कुछ टेढ़ा तिरछा नहीं है।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 9] समझने वाले के लिए वह सब साफ़ हैं, और 'इल्म हासिल करने वालों के लिए रास्त हैं।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 10] चाँदी को नहीं, बल्कि मेरी तरबियत को कु़बूल करो, और कुंदन से बढ़कर 'इल्म को;
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 11] क्यूँकि हिकमत मरजान से अफ़ज़ल है, और सब पसन्दीदा चीज़ों में बेमिसाल।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 12] मुझ हिकमत ने होशियारी को अपना मस्कन बनाया है, और 'इल्म और तमीज़ को पा लेती हूँ।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 13] ख़ुदावन्द का ख़ौफ़ बदी से 'अदावत है। गु़रूर और घमण्ड और बुरी राह, और टेढ़ी बात से मुझे नफ़रत है।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 14] मशवरत और हिमायत मेरी है, समझ मैं ही हूँ मुझ में क़ुदरत है।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 15] मेरी बदौलत बादशाह सल्तनत करते, और उमरा इन्साफ़ का फ़तवा देते हैं।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 16] मेरी ही बदौलत हाकिम हुकूमत करते हैं, और सरदार या'नी दुनिया के सब काज़ी भी।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 17] जो मुझ से मुहब्बत रखते हैं मैं उनसे मुहब्बत रखती हूँ, और जो मुझे दिल से ढूंडते हैं, वह मुझे पा लेंगे।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 18] दौलत — ओ — 'इज़्ज़त मेरे साथ हैं, बल्कि हमेशा दौलत और सदाक़त भी।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 19] मेरा फल सोने से बल्कि कुन्दन से भी बेहतर है, और मेरा हासिल ख़ालिस चाँदी से।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 20] मैं सदाक़त की राह पर, इन्साफ़ के रास्तों में चलती हूँ।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 21] ताकि मैं उनको जो मुझ से मुहब्बत रखते हैं, माल के वारिस बनाऊँ, और उनके ख़ज़ानों को भर दूँ।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 22] “ख़ुदावन्द ने इन्तिज़ाम — ए — 'आलम के शुरू' में, अपनी क़दीमी सन'अतों से पहले मुझे पैदा किया।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 23] मैं अज़ल से या'नी इब्तिदा ही से मुक़र्रर हुई, इससे पहले के ज़मीन थी।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 24] मैं उस वक़्त पैदा हुई जब गहराओ न थे; जब पानी से भरे हुए चश्मे भी न थे।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 25] मैं पहाड़ों के क़ाईम किए जाने से पहले, और टीलों से पहले पैदा हुई।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 26] जब कि उसने अभी न ज़मीन को बनाया था न मैदानों को, और न ज़मीन की ख़ाक की शुरु'आत थी।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 27] जब उसने आसमान को क़ाईम किया मैं वहीं थी; जब उसने समुन्दर की सतह पर दायरा खींचा;
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 28] जब उसने ऊपर अफ़लाक को बराबर किया, और गहराओ के सोते मज़बूत हो गए;
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 29] जब उसने समुन्दर की हद ठहराई, ताकि पानी उसके हुक्म को न तोड़े; जब उसने ज़मीन की बुनियाद के निशान लगाए।
[IRV | UR | OT | Proverbs | Chapter 8 | Verse 30] उस वक़्त माहिर कारीगर की तरह मैं उसके पास थी, और मैं हर रोज़ उसकी ख़ुशनूदी थी, और हमेशा उसके सामने शादमान रहती थी।
