[IRV | UR | OT | Proverbs | Chapter 18 | Verse 1] जो अपने आप को सब से अलग रखता है, अपनी ख़्वाहिश का तालिब है, और हर मा'कूल बात से बरहम होता है।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 2] बेवक़ूफ़ समझ से ख़ुश नहीं होता, लेकिन सिर्फ़ इस से कि अपने दिल का हाल ज़ाहिर करे।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 3] शरीर के साथ हिकारत आती है, और रुस्वाई के साथ ना क़द्री।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 4] इंसान के मुँह की बातें गहरे पानी की तरह है और हिकमत का चश्मा बहता नाला है।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 5] शरीर की तरफ़दारी करना, या 'अदालत में सादिक़ से बेइन्साफ़ी करना, अच्छा नहीं।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 6] बेवक़ूफ़ के होंट फ़ितनाअंगेज़ी करते हैं, और उसका मुँह तमाँचों के लिए पुकारता है।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 7] बेवक़ूफ़ का मुँह उसकी हलाकत है, और उसके होंट उसकी जान के लिए फन्दा हैं।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 8] ग़ैबतगो की बातें लज़ीज़ निवाले हैं और वह खू़ब हज़्म हो जाती हैं।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 9] काम में सुस्ती करने वाला, फ़ुज़ूल ख़र्च का भाई है।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 10] ख़ुदावन्द का नाम मज़बूत बुर्ज है, सादिक़ उस में भाग जाता है और अम्न में रहता है
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 11] दौलतमन्द आदमी का माल उसका मज़बूत शहर, और उसके तसव्वुर में ऊँची दीवार की तरह है।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 12] आदमी के दिल में तकब्बुर हलाकत का पेशरौ है, और फ़रोतनी 'इज़्ज़त की पेशवा।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 13] जो बात सुनने से पहले उसका जवाब दे, यह उसकी बेवक़ूफ़ी और शर्मिन्दगी है।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 14] इंसान की रूह उसकी नातवानी में उसे संभालेगी, लेकिन अफ़सुर्दा दिली को कौन बर्दाश्त कर सकता है?
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 15] होशियार का दिल 'इल्म हासिल करता है, और 'अक़्लमन्द के कान 'इल्म के तालिब हैं।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 16] आदमी का नज़राना उसके लिए जगह कर लेता है, और बड़े आदमियों के सामने उसकी रसाई कर देता है।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 17] जो पहले अपना दा'वा बयान करता है रास्त मा'लूम होता है, लेकिन दूसरा आकर उसकी हक़ीक़त ज़ाहिर करता है।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 18] पर्ची झगड़ों को ख़त्म करती है, और ज़बरदस्तों के बीच फ़ैसला कर देती है।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 19] नाराज़ भाई को राज़ी करना मज़बूत शहर ले लेने से ज़्यादा मुश्किल है, और झगड़े क़िले' के बेंडों की तरह हैं।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 20] आदमी की पेट उसके मुँह के फल से भरता है, और वहअपने लबों की पैदावार से सेर होता है।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 21] मौत और ज़िन्दगी ज़बान के क़ाबू में हैं, और जो उसे दोस्त रखते हैं उसका फल खाते हैं।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 22] जिसको बीवी मिली उसने तोहफ़ा पाया, और उस पर ख़ुदावन्द का फ़ज़ल हुआ।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 23] मुहताज मिन्नत समाजत करता है, लेकिन दौलतमन्द सख़्त जवाब देता है।
[IRV | UR | OT | Proverbs | Chapter 18 | Verse 24] जो बहुतों से दोस्ती करता है अपनी बर्बादी के लिए करता है, लेकिन ऐसा दोस्त भी है जो भाई से ज़्यादा मुहब्बत रखता है।
