[IRV | PA | NT | Acts | Chapter 20 | Verse 1] ਜਦੋਂ ਰੌਲ਼ਾ ਹੱਟ ਗਿਆ ਤਾਂ ਪੌਲੁਸ ਨੇ ਯਿਸੂ ਦੇ ਚੇਲਿਆਂ ਨੂੰ ਸੱਦ ਕੇ ਦਿਲਾਸਾ ਦਿੱਤਾ ਅਤੇ ਉਹਨਾਂ ਕੋਲੋਂ ਵਿਦਾ ਹੋ ਕੇ ਮਕਦੂਨਿਯਾ ਵੱਲ ਨੂੰ ਤੁਰ ਪਿਆ।
[IRV | PA | NT | Acts | Chapter 20 | Verse 2] ਅਤੇ ਉਨ੍ਹਾਂ ਇਲਾਕਿਆਂ ਵਿੱਚੋਂ ਦੀ ਲੰਘਦਾ ਹੋਇਆ ਉਨ੍ਹਾਂ ਨੂੰ ਬਹੁਤੀਆਂ ਗੱਲਾਂ ਨਾਲ ਦਿਲਾਸਾ ਦੇ ਕੇ ਯੂਨਾਨ ਵਿੱਚ ਆਇਆ।
[IRV | PA | NT | Acts | Chapter 20 | Verse 3] ਉੱਥੇ ਤਿੰਨ ਮਹੀਨੇ ਰਹਿ ਕੇ ਜਦੋਂ ਉਹ ਜਹਾਜ਼ ਉੱਤੇ ਸੀਰੀਯਾ ਵੱਲ ਜਾਣ ਨੂੰ ਤਿਆਰ ਹੋਇਆ, ਤਦ ਯਹੂਦੀਆਂ ਨੇ ਉਹ ਦੇ ਵਿਰੁੱਧ ਯੋਜਨਾ ਬਣਾਈ, ਇਸ ਲਈ ਉਹ ਨੇ ਮਕਦੂਨਿਯਾ ਦੇ ਰਾਹ ਹੋ ਕੇ ਮੁੜਨ ਦਾ ਫੈਸਲਾ ਲਿਆ।
[IRV | PA | NT | Acts | Chapter 20 | Verse 4] ਅਤੇ ਪੁੱਰਸ ਦਾ ਪੁੱਤਰ ਸੋਪਤਰੁਸ ਜਿਹੜਾ ਬਰਿਯਾ ਦਾ ਸੀ, ਥੱਸਲੁਨੀਕੀਆਂ ਵਿੱਚੋਂ ਅਰਿਸਤਰਖੁਸ ਅਤੇ ਸਿਕੁੰਦੁਸ, ਦਰਬੇ ਦਾ ਗਾਯੁਸ ਅਤੇ ਤਿਮੋਥਿਉਸ, ਏਸ਼ੀਆ ਦੇ ਤੁਖਿਕੁਸ ਅਤੇ ਤ੍ਰੋਫ਼ਿਮੁਸ ਉਹ ਦੇ ਨਾਲ ਏਸ਼ੀਆ ਤੱਕ ਗਏ।
[IRV | PA | NT | Acts | Chapter 20 | Verse 5] ਪਰ ਇਹੋ ਅਗਾਹਾਂ ਜਾ ਕੇ ਤ੍ਰੋਆਸ ਵਿੱਚ ਸਾਨੂੰ ਉਡੀਕਦੇ ਸਨ।
[IRV | PA | NT | Acts | Chapter 20 | Verse 6] ਅਖ਼ਮੀਰੀ ਰੋਟੀ ਦੇ ਦਿਨਾਂ ਤੋਂ ਬਾਅਦ ਅਸੀਂ ਫ਼ਿਲਿੱਪੈ ਤੋਂ ਇੱਕ ਜਹਾਜ਼ ਉੱਤੇ ਚੜ੍ਹੇ ਅਤੇ ਪੰਜਵੇਂ ਦਿਨ ਤ੍ਰੋਆਸ ਵਿੱਚ ਉਨ੍ਹਾਂ ਦੇ ਕੋਲ ਪਹੁੰਚੇ ਅਤੇ ਸੱਤ ਦਿਨ ਉੱਥੇ ਰਹੇ।
[IRV | PA | NT | Acts | Chapter 20 | Verse 7] ਹਫ਼ਤੇ ਦੇ ਪਹਿਲੇ ਦਿਨ ਜਦੋਂ ਅਸੀਂ ਰੋਟੀ ਤੋੜਨ ਲਈ ਇਕੱਠੇ ਹੋਏ ਤਾਂ ਪੌਲੁਸ ਨੇ ਜੋ ਅਗਲੇ ਦਿਨ ਜਾਣ ਲਈ ਤਿਆਰ ਸੀ, ਉਨ੍ਹਾਂ ਨੂੰ ਬਚਨ ਸੁਣਾਇਆ ਅਤੇ ਉਹ ਅੱਧੀ ਰਾਤ ਤੱਕ ਉਪਦੇਸ਼ ਕਰਦਾ ਰਿਹਾ।
[IRV | PA | NT | Acts | Chapter 20 | Verse 8] ਚੁਬਾਰੇ ਵਿੱਚ ਜਿੱਥੇ ਅਸੀਂ ਇਕੱਠੇ ਹੋਏ ਸੀ ਉੱਥੇ ਬਹੁਤ ਸਾਰੇ ਦੀਵੇ ਬਲਦੇ ਸਨ।
[IRV | PA | NT | Acts | Chapter 20 | Verse 9] ਅਤੇ ਯੂਤਖੁਸ ਨਾਮ ਦਾ ਇੱਕ ਜਵਾਨ ਖਿੜਕੀ ਵਿੱਚ ਬੈਠਾ ਗਹਿਰੀ ਨੀਂਦ ਨਾਲ ਉਂਘਲਾਇਆ ਹੋਇਆ ਸੀ ਅਤੇ ਜਦੋਂ ਪੌਲੁਸ ਬਹੁਤ ਸਮੇਂ ਤੱਕ ਬਚਨ ਕਰਦਾ ਰਿਹਾ ਤਾਂ ਉਹ ਨੀਂਦ ਦੇ ਕਾਰਨ ਉਂਘਲਾਇਆ ਹੋਇਆ, ਤੀਸਰੀ ਮੰਜਿਲ ਤੋਂ ਹੇਠਾਂ ਡਿੱਗ ਪਿਆ ਅਤੇ ਮਰਿਆ ਹੋਇਆ ਚੁੱਕਿਆ ਗਿਆ।
[IRV | PA | NT | Acts | Chapter 20 | Verse 10] ਪਰ ਪੌਲੁਸ ਨੇ ਉਤਰ ਕੇ ਉਹ ਨੂੰ ਜੱਫੇ ਵਿੱਚ ਲਿਆ ਅਤੇ ਗਲ਼ ਨਾਲ ਲਾ ਕੇ ਆਖਣ ਲੱਗਾ ਕਿ ਤੁਸੀਂ ਰੌਲ਼ਾ ਨਾ ਪਾਓ ਕਿਉਂ ਜੋ ਉਹ ਦੀ ਜਾਨ ਉਸ ਵਿੱਚ ਹੈ।
[IRV | PA | NT | Acts | Chapter 20 | Verse 11] ਫੇਰ ਉਹ ਉੱਪਰ ਆਇਆ ਅਤੇ ਰੋਟੀ ਤੋੜ ਕੇ ਖਾਧੀ ਅਤੇ ਐਨਾ ਚਿਰ ਗੱਲਾਂ ਕਰਦਾ ਰਿਹਾ ਜੋ ਦਿਨ ਚੜ੍ਹ ਗਿਆ, ਤਦ ਉਹ ਤੁਰ ਪਿਆ।
