[IRV | PA | NT | Acts | Chapter 5 | Verse 1] ਹਨਾਨਿਯਾ ਨਾਮ ਦੇ ਇੱਕ ਮਨੁੱਖ ਨੇ ਆਪਣੀ ਪਤਨੀ ਸਫ਼ੀਰਾ ਨਾਲ ਮਿਲ ਕੇ ਜ਼ਮੀਨ ਨੂੰ ਵੇਚਿਆ।
[IRV | PA | NT | Acts | Chapter 5 | Verse 2] ਅਤੇ ਉਹ ਦੇ ਮੁੱਲ ਵਿੱਚੋਂ ਕੁਝ ਆਪਣੇ ਕੋਲ ਰੱਖ ਲਿਆ, ਉਹ ਦੀ ਪਤਨੀ ਵੀ ਇਹ ਜਾਣਦੀ ਸੀ ਅਤੇ ਉਸ ਵਿੱਚੋਂ ਕੁਝ ਲਿਆ ਕੇ ਰਸੂਲਾਂ ਦੇ ਚਰਨਾਂ ਵਿੱਚ ਰੱਖ ਦਿੱਤਾ।
[IRV | PA | NT | Acts | Chapter 5 | Verse 3] ਤਦ ਪਤਰਸ ਨੇ ਆਖਿਆ, ਹਨਾਨਿਯਾ, ਸ਼ੈਤਾਨ ਨੇ ਤੇਰੇ ਮਨ ਵਿੱਚ ਕਿਉਂ ਪਾਇਆ ਜੋ ਤੂੰ ਪਵਿੱਤਰ ਆਤਮਾ ਨਾਲ ਝੂਠ ਬੋਲੇਂ ਅਤੇ ਉਸ ਖੇਤ ਦੇ ਮੁੱਲ ਵਿੱਚੋਂ ਕੁਝ ਰੱਖ ਛੱਡੇਂ?
[IRV | PA | NT | Acts | Chapter 5 | Verse 4] ਜਦ ਤੱਕ ਉਹ ਜਾਇਦਾਦ ਵੇਚੀ ਨਾ ਗਈ ਸੀ, ਕੀ ਤੇਰੇ ਵੱਸ ਵਿੱਚ ਨਹੀਂ ਸੀ? ਤੂੰ ਇਹ ਗੱਲ ਆਪਣੇ ਮਨ ਵਿੱਚ ਕਿਉਂ ਸੋਚੀ? ਤੂੰ ਮਨੁੱਖਾਂ ਨਾਲ ਨਹੀਂ ਸਗੋਂ ਪਰਮੇਸ਼ੁਰ ਨਾਲ ਝੂਠ ਬੋਲਿਆ ਹੈ।
[IRV | PA | NT | Acts | Chapter 5 | Verse 5] ਹਨਾਨਿਯਾ ਇਹ ਗੱਲਾਂ ਸੁਣਦਿਆਂ ਹੀ ਡਿੱਗ ਗਿਆ ਅਤੇ ਉਹ ਨੇ ਪ੍ਰਾਣ ਛੱਡ ਦਿੱਤੇ ਅਤੇ ਜਿਨ੍ਹਾਂ ਨੇ ਵੀ ਸੁਣਿਆ ਉਨ੍ਹਾਂ ਸਭਨਾਂ ਉੱਤੇ ਵੱਡਾ ਡਰ ਛਾ ਗਿਆ।
[IRV | PA | NT | Acts | Chapter 5 | Verse 6] ਅਤੇ ਜਵਾਨਾਂ ਨੇ ਉੱਠ ਕੇ ਉਸ ਨੂੰ ਕਫ਼ਨ ਪਹਿਨਾਇਆ ਅਤੇ ਬਾਹਰ ਲੈ ਜਾ ਕੇ ਦੱਬ ਦਿੱਤਾ।
[IRV | PA | NT | Acts | Chapter 5 | Verse 7] ਇਹ ਘਟਨਾ ਤੋਂ ਅਣਜਾਣ, ਉਹ ਦੀ ਪਤਨੀ ਲੱਗਭਗ ਤਿੰਨ ਘੰਟਿਆਂ ਦੇ ਬਾਅਦ ਅੰਦਰ ਆਈ।
[IRV | PA | NT | Acts | Chapter 5 | Verse 8] ਤਦ ਪਤਰਸ ਨੇ ਉਹ ਨੂੰ ਆਖਿਆ, ਕੀ ਤੁਸੀਂ ਉਹ ਖੇਤ ਐਨੇ ਵਿੱਚ ਹੀ ਵੇਚਿਆ ਹੈ? ਉਹ ਬੋਲੀ, ਹਾਂ ਐਨੇ ਨੂੰ ਹੀ ਵੇਚਿਆ ਹੈ।
[IRV | PA | NT | Acts | Chapter 5 | Verse 9] ਤਦ ਪਤਰਸ ਨੇ ਉਹ ਨੂੰ ਕਿਹਾ, ਤੁਸੀਂ ਕਿਉਂ ਪ੍ਰਭੂ ਦੇ ਆਤਮਾ ਦੇ ਪਰਤਾਉਣ ਲਈ ਏਕਾ ਕੀਤਾ? ਵੇਖ ਤੇਰੇ ਪਤੀ ਦੇ ਦੱਬਣ ਵਾਲਿਆਂ ਦੇ ਪੈਰ ਦਰਵਾਜ਼ੇ ਉੱਤੇ ਹਨ ਅਤੇ ਉਹ ਤੈਨੂੰ ਵੀ ਬਾਹਰ ਲੈ ਜਾਣਗੇ!
[IRV | PA | NT | Acts | Chapter 5 | Verse 10] ਉਹ ਉਸੇ ਵੇਲੇ ਉਸ ਦੇ ਪੈਰਾਂ ਕੋਲ ਡਿੱਗ ਪਈ ਅਤੇ ਪ੍ਰਾਣ ਛੱਡ ਦਿੱਤੇ। ਤਦ ਉਨ੍ਹਾਂ ਜਵਾਨਾਂ ਨੇ ਅੰਦਰ ਜਾ ਕੇ ਉਹ ਨੂੰ ਮਰੀ ਹੋਈ ਵੇਖਿਆ, ਅਤੇ ਬਾਹਰ ਲੈ ਜਾ ਕੇ ਉਹ ਦੇ ਪਤੀ ਦੇ ਕੋਲ ਦੱਬ ਦਿੱਤਾ।
[IRV | PA | NT | Acts | Chapter 5 | Verse 11] ਤਦ ਸਾਰੀ ਕਲੀਸਿਯਾ ਅਤੇ ਜਿਨ੍ਹਾਂ ਇਹ ਗੱਲਾਂ ਸੁਣੀਆਂ ਉਨ੍ਹਾਂ ਸਭਨਾਂ ਨੂੰ ਬਹੁਤ ਡਰ ਲੱਗਾ।
