[IRV | PA | NT | Acts | Chapter 11 | Verse 1] ਰਸੂਲਾਂ ਅਤੇ ਭਰਾਵਾਂ ਨੇ ਜੋ ਯਹੂਦਿਯਾ ਵਿੱਚ ਸਨ, ਸੁਣਿਆ ਕਿ ਪਰਾਈਆਂ ਕੌਮਾਂ ਦੇ ਲੋਕਾਂ ਨੇ ਵੀ ਪਰਮੇਸ਼ੁਰ ਦਾ ਬਚਨ ਮੰਨ ਲਿਆ ਹੈ।
[IRV | PA | NT | Acts | Chapter 11 | Verse 2] ਅਤੇ ਜਦੋਂ ਪਤਰਸ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਆਇਆ, ਤਦ ਉਹ ਜਿਹੜੇ ਸੁੰਨਤੀਆਂ ਵਿੱਚੋਂ ਸਨ
[IRV | PA | NT | Acts | Chapter 11 | Verse 3] ਉਹ ਦੇ ਨਾਲ ਇਹ ਕਹਿ ਕੇ ਲੜਨ ਲੱਗੇ, ਕਿ ਤੂੰ ਬੇਸੁੰਨਤੀਆਂ ਕੋਲ ਜਾ ਕੇ ਉਨ੍ਹਾਂ ਨਾਲ ਖਾਧਾ!
[IRV | PA | NT | Acts | Chapter 11 | Verse 4] ਤਦ ਪਤਰਸ ਸ਼ੁਰੂ ਤੋਂ, ਜੋ ਹੋਇਆ ਸੀ, ਤਿਵੇਂ ਉਨ੍ਹਾਂ ਦੇ ਅੱਗੇ ਬਿਆਨ ਕਰਕੇ ਕਹਿਣ ਲੱਗਾ
[IRV | PA | NT | Acts | Chapter 11 | Verse 5] ਕਿ ਮੈਂ ਯਾਪਾ ਦੇ ਨਗਰ ਵਿੱਚ ਪ੍ਰਾਰਥਨਾ ਕਰਦਾ ਸੀ ਅਤੇ ਬੇਹੋਸ਼ੀ ਵਿੱਚ ਦਰਸ਼ਣ ਵੇਖਿਆ, ਕਿ ਇੱਕ ਚੀਜ਼, ਵੱਡੀ ਚਾਦਰ ਦੇ ਸਮਾਨ, ਜਿਸ ਦੇ ਚਾਰ ਪੱਲੇ ਸਨ ਅਕਾਸ਼ ਤੋਂ ਧਰਤੀ ਦੀ ਵੱਲ ਉਤਰਦੀ ਮੇਰੇ ਕੋਲ ਆਈ।
[IRV | PA | NT | Acts | Chapter 11 | Verse 6] ਜਦੋਂ ਮੈਂ ਉਹ ਦੀ ਵੱਲ ਧਿਆਨ ਦਿੱਤਾ ਤਾਂ ਧਰਤੀ ਦੇ ਚੌਪਾਏ ਅਤੇ ਜੰਗਲੀ ਜਾਨਵਰ, ਘਿੱਸਰਨ ਵਾਲੇ ਜੀਵ-ਜੰਤੂ ਅਤੇ ਅਕਾਸ਼ ਦੇ ਪੰਛੀ ਵੇਖੇ,
[IRV | PA | NT | Acts | Chapter 11 | Verse 7] ਅਤੇ ਮੈਂ ਇੱਕ ਅਵਾਜ਼ ਵੀ ਸੁਣੀ ਜੋ ਮੈਨੂੰ ਆਖਦੀ ਸੀ, ਹੇ ਪਤਰਸ ਉੱਠ, ਮਾਰ ਅਤੇ ਖਾ।
[IRV | PA | NT | Acts | Chapter 11 | Verse 8] ਪਰ ਮੈਂ ਆਖਿਆ, ਨਾ ਪ੍ਰਭੂ ਜੀ ਇਸ ਤਰ੍ਹਾਂ ਨਹੀਂ ਹੋ ਸਕਦਾ ਕਿਉਂ ਜੋ ਕੋਈ ਅਸ਼ੁੱਧ ਜਾਂ ਬੁਰੀ ਚੀਜ਼ ਮੈਂ ਕਦੇ ਨਹੀਂ ਖਾਧੀ!
[IRV | PA | NT | Acts | Chapter 11 | Verse 9] ਅਤੇ ਦੂਜੀ ਵਾਰ ਅਕਾਸ਼ ਤੋਂ ਅਵਾਜ਼ ਆਈ ਕਿ ਜੋ ਕੁਝ ਪਰਮੇਸ਼ੁਰ ਨੇ ਸ਼ੁੱਧ ਕੀਤਾ ਹੈ ਉਹ ਨੂੰ ਤੂੰ ਅਸ਼ੁੱਧ ਨਾ ਕਹਿ।
[IRV | PA | NT | Acts | Chapter 11 | Verse 10] ਇਸ ਤਰ੍ਹਾਂ ਤਿੰਨ ਵਾਰੀ ਹੋਇਆ ਅਤੇ ਉਹ ਸਭ ਕੁਝ ਫੇਰ ਅਕਾਸ਼ ਵੱਲ ਖਿੱਚਿਆ ਗਿਆ।
[IRV | PA | NT | Acts | Chapter 11 | Verse 11] ਅਤੇ ਵੇਖੋ ਕਿ ਉਸੇ ਵੇਲੇ ਉਸ ਘਰ ਦੇ ਅੱਗੇ ਜਿੱਥੇ ਅਸੀਂ ਠਹਿਰੇ ਹੋਏ ਸੀ, ਤਿੰਨ ਮਨੁੱਖ ਆ ਖੜੇ ਹੋਏ, ਜਿਹੜੇ ਕੈਸਰਿਯਾ ਤੋਂ ਮੇਰੇ ਕੋਲ ਭੇਜੇ ਗਏ ਸਨ।
