[IRV | PA | NT | Acts | Chapter 15 | Verse 1] ਕਈ ਆਦਮੀ ਯਹੂਦਿਯਾ ਤੋਂ ਆ ਕੇ, ਭਰਾਵਾਂ ਨੂੰ ਸਿਖਾਉਣ ਲੱਗੇ ਕਿ ਜੇ ਮੂਸਾ ਦੀ ਰੀਤ ਦੇ ਅਨੁਸਾਰ ਤੁਹਾਡੀ ਸੁੰਨਤ ਨਾ ਕਰਾਈ ਜਾਵੇ ਤਾਂ ਤੁਹਾਡੀ ਮੁਕਤੀ ਨਹੀਂ ਹੋ ਸਕਦੀ।
[IRV | PA | NT | Acts | Chapter 15 | Verse 2] ਜਦੋਂ ਪੌਲੁਸ ਅਤੇ ਬਰਨਬਾਸ ਦਾ ਉਨ੍ਹਾਂ ਨਾਲ ਝਗੜਾ ਅਤੇ ਵਾਦ-ਵਿਵਾਦ ਹੋਇਆ ਤਾਂ ਇਹ ਗੱਲ ਠਹਿਰੀ ਜੋ ਪੌਲੁਸ ਅਤੇ ਬਰਨਬਾਸ ਅਤੇ ਕਈ ਹੋਰ ਮਨੁੱਖ ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਇਸ ਗੱਲ ਦੇ ਸਹੀ ਕਰਨ ਨੂੰ ਰਸੂਲਾਂ ਅਤੇ ਬਜ਼ੁਰਗਾਂ ਦੇ ਕੋਲ ਯਰੂਸ਼ਲਮ ਨੂੰ ਜਾਣ।
[IRV | PA | NT | Acts | Chapter 15 | Verse 3] ਜਦੋਂ ਉਹ ਕਲੀਸਿਯਾ ਵੱਲੋਂ ਕੁਝ ਦੂਰ ਪਹੁੰਚਾਏ ਗਏ ਤਾਂ ਫ਼ੈਨੀਕੇ ਅਤੇ ਸਾਮਰਿਯਾ ਦੇ ਵਿੱਚੋਂ ਦੀ ਲੰਘਦੇ ਹੋਏ ਪਰਾਈਆਂ ਕੌਮਾਂ ਦਿਆਂ ਲੋਕਾਂ ਦੇ ਮਨ ਫਿਰਾਉਣ ਦੀ ਖੁਸ਼ਖਬਰੀ ਸੁਣਾਉਂਦੇ ਗਏ ਅਤੇ ਸਭ ਭਰਾਵਾਂ ਨੂੰ ਬਹੁਤ ਖੁਸ਼ ਕੀਤਾ।
[IRV | PA | NT | Acts | Chapter 15 | Verse 4] ਜਦੋਂ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਪਹੁੰਚੇ ਤਾਂ ਕਲੀਸਿਯਾ, ਰਸੂਲਾਂ ਅਤੇ ਬਜ਼ੁਰਗਾਂ ਨੇ ਉਹਨਾਂ ਦੀ ਸੇਵਾ ਕੀਤੀ ਅਤੇ ਉਹਨਾਂ ਨੇ ਜੋ ਕੁਝ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਹਨਾਂ ਦੇ ਨਾਲ ਕੀਤਾ ਸੀ ਸੁਣਾ ਦਿੱਤਾ।
[IRV | PA | NT | Acts | Chapter 15 | Verse 5] ਤਦ ਕਈਆਂ ਨੇ ਫ਼ਰੀਸੀਆਂ ਦੇ ਪੰਥ ਵਿੱਚੋਂ ਜਿਨ੍ਹਾਂ ਵਿਸ਼ਵਾਸ ਕੀਤਾ, ਉੱਠ ਕੇ ਕਿਹਾ ਕਿ ਉਨ੍ਹਾਂ ਦੀ ਸੁੰਨਤ ਕਰਨੀ ਅਤੇ ਮੂਸਾ ਦੀ ਬਿਵਸਥਾ ਨੂੰ ਮੰਨਣ ਦਾ ਹੁਕਮ ਦੇਣਾ ਚਾਹੀਦਾ ਹੈ।
[IRV | PA | NT | Acts | Chapter 15 | Verse 6] ਤਦ ਰਸੂਲ ਅਤੇ ਬਜ਼ੁਰਗ ਇਕੱਠੇ ਹੋਏ ਕਿ ਉਹ ਇਸ ਗੱਲ ਨੂੰ ਸੋਚਣ।
[IRV | PA | NT | Acts | Chapter 15 | Verse 7] ਅਤੇ ਜਦੋਂ ਬਹੁਤ ਵਿਵਾਦ ਹੋਇਆ ਤਾਂ ਪਤਰਸ ਨੇ ਉੱਠ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਹੇ ਭਰਾਵੋ, ਤੁਸੀਂ ਜਾਣਦੇ ਹੋ ਜੋ ਪਹਿਲੇ ਦਿਨਾਂ ਤੋਂ ਪਰਮੇਸ਼ੁਰ ਨੇ ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਮੈਨੂੰ ਚੁਣਿਆ, ਜੋ ਪਰਾਈਆਂ ਕੌਮਾਂ ਮੇਰੀ ਜ਼ੁਬਾਨੀ ਖੁਸ਼ਖਬਰੀ ਦਾ ਬਚਨ ਸੁਣਨ ਅਤੇ ਵਿਸ਼ਵਾਸ ਕਰਨ।
[IRV | PA | NT | Acts | Chapter 15 | Verse 8] ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਜੋ ਮਨਾਂ ਦਾ ਜਾਚਣ ਵਾਲਾ ਹੈ, ਉਹਨਾਂ ਨੂੰ ਵੀ ਸਾਡੀ ਤਰ੍ਹਾਂ ਪਵਿੱਤਰ ਆਤਮਾ ਦੇ ਕੇ ਉਨ੍ਹਾਂ ਉੱਤੇ ਗਵਾਹੀ ਦਿੱਤੀ।
[IRV | PA | NT | Acts | Chapter 15 | Verse 9] ਅਤੇ ਵਿਸ਼ਵਾਸ ਨਾਲ ਉਨ੍ਹਾਂ ਦੇ ਮਨ ਸ਼ੁੱਧ ਕਰ ਕੇ ਸਾਡੇ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਵਿੱਚ ਕੁਝ ਭੇਦਭਾਵ ਨਾ ਰੱਖਿਆ।
[IRV | PA | NT | Acts | Chapter 15 | Verse 10] ਹੁਣ ਕਿਉਂ ਤੁਸੀਂ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਪਰਤਾਉਂਦੇ ਹੋ, ਕਿ ਚੇਲਿਆਂ ਦੀ ਧੌਣ ਤੇ ਜੂਲਾ ਰੱਖੋ ਜਿਸ ਨੂੰ ਨਾ ਸਾਡੇ ਪਿਉ-ਦਾਦੇ, ਨਾ ਅਸੀਂ ਚੁੱਕ ਸਕੇ?
[IRV | PA | NT | Acts | Chapter 15 | Verse 11] ਪਰ ਸਾਨੂੰ ਵਿਸ਼ਵਾਸ ਹੈ ਕਿ ਜਿਸ ਤਰ੍ਹਾਂ ਉਹ ਵੀ ਮੁਕਤੀ ਪਾ ਗਏ ਅਸੀਂ ਵੀ ਪ੍ਰਭੂ ਯਿਸੂ ਦੀ ਕਿਰਪਾ ਨਾਲ ਮੁਕਤੀ ਪਾਵਾਂਗੇ।
