[IRV | PA | NT | Acts | Chapter 14 | Verse 1] ਇਕੋਨਿਯੁਮ ਵਿੱਚ ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਕਿ ਉਹ ਯਹੂਦੀਆਂ ਦੇ ਪ੍ਰਾਰਥਨਾ ਘਰ ਵਿੱਚ ਗਏ ਅਤੇ ਅਜਿਹਾ ਬਚਨ ਸੁਣਾਇਆ ਜੋ ਯਹੂਦੀਆਂ ਅਤੇ ਯੂਨਾਨੀਆਂ ਵਿੱਚੋਂ ਬਹੁਤ ਲੋਕਾਂ ਨੇ ਵਿਸ਼ਵਾਸ ਕੀਤਾ।
[IRV | PA | NT | Acts | Chapter 14 | Verse 2] ਪਰ ਉਨ੍ਹਾਂ ਯਹੂਦੀਆਂ ਨੇ ਜਿਨ੍ਹਾਂ ਨੇ ਵਿਸ਼ਵਾਸ ਨਹੀਂ ਕੀਤਾ ਸੀ, ਪਰਾਈਆਂ ਕੌਮਾਂ ਦੇ ਲੋਕਾਂ ਦੇ ਮਨਾਂ ਨੂੰ ਭਰਮਾ ਕੇ, ਭਰਾਵਾਂ ਦੀ ਵੱਲੋਂ ਬੁਰਾ ਪਵਾ ਦਿੱਤਾ।
[IRV | PA | NT | Acts | Chapter 14 | Verse 3] ਉਹ ਬਹੁਤ ਦਿਨ ਉੱਥੇ ਠਹਿਰੇ ਅਤੇ ਪ੍ਰਭੂ ਦੇ ਆਸਰੇ, ਨਿਡਰ ਉਪਦੇਸ਼ ਕਰਦੇ ਰਹੇ ਅਤੇ ਉਹ ਉਨ੍ਹਾਂ ਦੇ ਹੱਥੀਂ ਨਿਸ਼ਾਨ ਅਤੇ ਅਚਰਜ਼ ਕੰਮ ਵਿਖਾ ਕੇ ਆਪਣੀ ਕਿਰਪਾ ਦੇ ਬਚਨ ਉੱਤੇ ਗਵਾਹੀ ਦਿੰਦਾ ਰਿਹਾ।
[IRV | PA | NT | Acts | Chapter 14 | Verse 4] ਪਰ ਨਗਰ ਦੇ ਲੋਕਾਂ ਵਿੱਚ ਫੁੱਟ ਪੈ ਗਈ ਅਤੇ ਕੁਝ ਯਹੂਦੀਆਂ ਦੀ ਵੱਲ ਅਤੇ ਕੁਝ ਰਸੂਲਾਂ ਦੀ ਵੱਲ ਹੋ ਗਏ।
[IRV | PA | NT | Acts | Chapter 14 | Verse 5] ਜਦੋਂ ਪਰਾਈਆਂ ਕੌਮਾਂ ਦੇ ਲੋਕਾਂ ਅਤੇ ਯਹੂਦੀਆਂ ਨੇ ਆਪਣੇ ਅਧਿਕਾਰੀਆਂ ਦੇ ਨਾਲ ਉਨ੍ਹਾਂ ਦੀ ਬੇਇੱਜ਼ਤੀ ਅਤੇ ਪਥਰਾਉ ਕਰਨ ਨੂੰ ਹੱਲਾ ਕੀਤਾ।
[IRV | PA | NT | Acts | Chapter 14 | Verse 6] ਤਾਂ ਉਹ ਇਸ ਗੱਲ ਜਾਣ ਕੇ, ਲੁਕਾਉਨਿਯਾ ਨਗਰ ਲੁਸਤ੍ਰਾ, ਦਰਬੇ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਨੇੜੇ ਦੇ ਇਲਾਕੇ ਵਿੱਚ ਭੱਜ ਗਏ।
[IRV | PA | NT | Acts | Chapter 14 | Verse 7] ਤੇ ਉੱਥੇ ਖੁਸ਼ਖਬਰੀ ਸੁਣਾਉਂਦੇ ਰਹੇ।
[IRV | PA | NT | Acts | Chapter 14 | Verse 8] ਲੁਸਤ੍ਰਾ ਵਿੱਚ ਇੱਕ ਮਨੁੱਖ ਪੈਰਾਂ ਤੋਂ ਨਿਰਬਲ ਬੈਠਾ ਸੀ ਜਿਹੜਾ ਜਮਾਂਦਰੂ ਲੰਗੜਾ ਸੀ ਅਤੇ ਕਦੇ ਤੁਰਿਆ ਨਹੀਂ ਸੀ।
[IRV | PA | NT | Acts | Chapter 14 | Verse 9] ਉਸ ਨੇ ਪੌਲੁਸ ਨੂੰ ਗੱਲਾਂ ਕਰਦਾ ਸੁਣਿਆ ਅਤੇ ਇਸ ਨੇ ਉਹ ਦੀ ਵੱਲ ਧਿਆਨ ਕਰ ਕੇ ਵੇਖਿਆ ਕਿ ਇਹ ਦੇ ਵਿੱਚ ਚੰਗਾ ਹੋਣ ਦਾ ਵਿਸ਼ਵਾਸ ਹੈ।
[IRV | PA | NT | Acts | Chapter 14 | Verse 10] ਤਾਂ ਉੱਚੀ ਅਵਾਜ਼ ਨਾਲ ਬੋਲਿਆ ਕਿ ਆਪਣੇ ਪੈਰਾਂ ਉੱਤੇ ਸਿੱਧਾ ਖੜ੍ਹਾ ਹੋ! ਤਦ ਉਹ ਉਸੇ ਵੇਲੇ ਖੜ੍ਹਾ ਹੋਇਆ ਅਤੇ ਤੁਰਨ ਲੱਗ ਪਿਆ।
[IRV | PA | NT | Acts | Chapter 14 | Verse 11] ਜਦੋਂ ਉਹਨਾਂ ਲੋਕਾਂ ਨੇ ਵੇਖਿਆ, ਜੋ ਕੁਝ ਪੌਲੁਸ ਨੇ ਕੀਤਾ ਸੀ, ਤਦ ਉਹ ਲੁਕਾਉਨਿਯਾ ਦੀ ਬੋਲੀ ਵਿੱਚ ਉੱਚੀ ਅਵਾਜ਼ ਨਾਲ ਆਖਣ ਲੱਗੇ ਕਿ ਦੇਵਤਾ ਮਨੁੱਖ ਦਾ ਰੂਪ ਧਾਰ ਕੇ ਸਾਡੇ ਕੋਲ ਉੱਤਰਿਆ ਹੈ!
