[IRV | PA | NT | Acts | Chapter 22 | Verse 1] ਹੇ ਭਰਾਵੋ ਅਤੇ ਬਜ਼ੁਰਗੋ, ਸੁਣੋ ਮੈਂ ਤੁਹਾਡੇ ਸਾਹਮਣੇ ਆਪਣੀ ਸਫ਼ਾਈ ਪੇਸ਼ ਕਰਦਾ ਹਾਂ।
[IRV | PA | NT | Acts | Chapter 22 | Verse 2] ਉਨ੍ਹਾਂ ਨੇ ਜਦੋਂ ਸੁਣਿਆ ਜੋ ਉਹ ਇਬਰਾਨੀ ਭਾਸ਼ਾ ਵਿੱਚ ਸਾਡੇ ਨਾਲ ਗੱਲਾਂ ਕਰਦਾ ਹੈ, ਤਾਂ ਹੋਰ ਵੀ ਸ਼ਾਂਤ ਹੋ ਗਏ। ਤਦ ਉਹ ਬੋਲਿਆ,
[IRV | PA | NT | Acts | Chapter 22 | Verse 3] ਮੈਂ ਇੱਕ ਯਹੂਦੀ ਮਨੁੱਖ ਹਾਂ, ਜਿਹੜਾ ਕਿਲਕਿਯਾ ਤੇ ਤਰਸੁਸ ਵਿੱਚ ਜੰਮਿਆ, ਪਰ ਇਸੇ ਸ਼ਹਿਰ ਵਿੱਚ ਗਮਲੀਏਲ ਦੇ ਚਰਨਾਂ ਵਿੱਚ ਪਲਿਆ ਅਤੇ ਪਿਉ-ਦਾਦਿਆਂ ਦੀ ਬਿਵਸਥਾ ਪੂਰੇ ਧਿਆਨ ਨਾਲ ਸਿੱਖੀ ਅਤੇ ਜਿਵੇਂ ਤੁਸੀਂ ਸਭ ਅੱਜ ਦੇ ਦਿਨ ਪਰਮੇਸ਼ੁਰ ਦੇ ਲਈ ਅਣਖੀ ਹੋ, ਮੈਂ ਵੀ ਅਜਿਹਾ ਹੀ ਅਣਖੀ ਸੀ।
[IRV | PA | NT | Acts | Chapter 22 | Verse 4] ਅਤੇ ਮੈਂ ਆਦਮੀ ਅਤੇ ਔਰਤਾਂ ਨੂੰ ਬੰਨ੍ਹ-ਬੰਨ੍ਹ ਕੇ ਅਤੇ ਕੈਦ ਵਿੱਚ ਪੁਆ ਕੇ, ਇਸ ਪੰਥ ਦੇ ਲੋਕਾਂ ਨੂੰ ਮੌਤ ਤੱਕ ਸਤਾਇਆ।
[IRV | PA | NT | Acts | Chapter 22 | Verse 5] ਜਿਵੇਂ ਪ੍ਰਧਾਨ ਜਾਜਕ ਅਤੇ ਬਜ਼ੁਰਗਾਂ ਦੀ ਪੰਚਾਇਤ ਮੇਰੇ ਲਈ ਗਵਾਹੀ ਦਿੰਦੀ ਹੈ ਕਿਉਂਕਿ ਉਹਨਾਂ ਕੋਲੋਂ ਮੈਂ ਭਰਾਵਾਂ ਦੇ ਨਾਮ ਚਿੱਠੀਆਂ ਲੈ ਕੇ ਦੰਮਿਸ਼ਕ ਨੂੰ ਜਾਂਦਾ ਸੀ ਤਾਂ ਕਿ ਉਹਨਾਂ ਨੂੰ ਵੀ ਜਿਹੜੇ ਉੱਥੇ ਸਨ ਸਜ਼ਾ ਦੇਣ ਲਈ ਬੰਨ ਕੇ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਲਿਆਵਾਂ।
[IRV | PA | NT | Acts | Chapter 22 | Verse 6] ਅਤੇ ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਕਿ ਜਦੋਂ ਮੈਂ ਤੁਰਦੇ-ਤੁਰਦੇ ਦੰਮਿਸ਼ਕ ਦੇ ਨੇੜੇ ਪਹੁੰਚਿਆ ਤਾਂ ਦੁਪਹਿਰ ਦੇ ਵੇਲੇ ਚੁਫ਼ੇਰੇ ਅਚਾਨਕ ਅਕਾਸ਼ ਤੋਂ ਵੱਡੀ ਜੋਤ ਚਮਕੀ।
[IRV | PA | NT | Acts | Chapter 22 | Verse 7] ਅਤੇ ਮੈਂ ਧਰਤੀ ਉੱਤੇ ਡਿੱਗ ਪਿਆ ਅਤੇ ਇੱਕ ਅਵਾਜ਼ ਸੁਣੀ ਜੋ ਮੈਨੂੰ ਆਖਦੀ ਹੈ, ਹੇ ਸੌਲੁਸ ਹੇ ਸੌਲੁਸ, ਤੂੰ ਮੈਨੂੰ ਕਿਉਂ ਸਤਾਉਂਦਾ ਹੈਂ?
[IRV | PA | NT | Acts | Chapter 22 | Verse 8] ਤਦ ਮੈਂ ਉੱਤਰ ਦਿੱਤਾ ਕੀ ਪ੍ਰਭੂ ਜੀ ਤੁਸੀਂ ਕੌਣ ਹੋ? ਉਸ ਨੇ ਮੈਨੂੰ ਆਖਿਆ, ਮੈਂ ਯਿਸੂ ਨਾਸਰੀ ਹਾਂ ਜਿਸ ਨੂੰ ਤੂੰ ਸਤਾਉਂਦਾ ਹੈਂ।
[IRV | PA | NT | Acts | Chapter 22 | Verse 9] ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਜੋ ਮੇਰੇ ਨਾਲ ਸਨ ਜੋਤ ਤਾਂ ਵੇਖੀ, ਪਰ ਉਹ ਦੀ ਅਵਾਜ਼ ਨਾ ਸੁਣੀ ਜੋ ਮੇਰੇ ਨਾਲ ਬੋਲਦਾ ਸੀ।
[IRV | PA | NT | Acts | Chapter 22 | Verse 10] ਫੇਰ ਮੈਂ ਕਿਹਾ, ਹੇ ਪ੍ਰਭੂ ਮੈਂ ਕੀ ਕਰਾਂ? ਪ੍ਰਭੂ ਨੇ ਮੈਨੂੰ ਆਖਿਆ, ਤੂੰ ਉੱਠ ਕੇ ਦੰਮਿਸ਼ਕ ਵਿੱਚ ਜਾ ਅਤੇ ਸਭ ਗੱਲਾਂ ਜੋ ਤੇਰੇ ਕਰਨ ਲਈ ਠਹਿਰਾਈਆਂ ਹੋਈਆਂ ਹਨ, ਸੋ ਉੱਥੇ ਹੀ ਤੈਨੂੰ ਦੱਸੀਆਂ ਜਾਣਗੀਆਂ।
[IRV | PA | NT | Acts | Chapter 22 | Verse 11] ਜਦੋਂ ਮੈਂ ਉਸ ਜੋਤ ਦੇ ਤੇਜ ਕਰਕੇ ਵੇਖ ਨਾ ਸਕਿਆ ਤਾਂ ਆਪਣੇ ਸਾਥੀਆਂ ਦੇ ਹੱਥ ਫੜ੍ਹ ਕੇ ਦੰਮਿਸ਼ਕ ਵਿੱਚ ਆਇਆ।
[IRV | PA | NT | Acts | Chapter 22 | Verse 12] ਅਤੇ ਹਨਾਨਿਯਾਹ ਨਾਮ ਦਾ ਇੱਕ ਮਨੁੱਖ ਜੋ ਬਿਵਸਥਾ ਦੇ ਅਨੁਸਾਰ ਭਗਤ ਸੀ ਅਤੇ ਸਾਰੇ ਯਹੂਦੀਆਂ ਵਿੱਚ ਜਿਹੜੇ ਉੱਥੇ ਰਹਿੰਦੇ ਸਨ ਨੇਕਨਾਮ ਸੀ।
