[IRV | PA | NT | Acts | Chapter 25 | Verse 1] ਉਪਰੰਤ ਫ਼ੇਸਤੁਸ ਉਸ ਸੂਬੇ ਵਿੱਚ ਪਹੁੰਚ ਕੇ ਤਿੰਨਾਂ ਦਿਨਾਂ ਦੇ ਮਗਰੋਂ ਕੈਸਰਿਯਾ ਤੋਂ ਯਰੂਸ਼ਲਮ ਨੂੰ ਗਿਆ।
[IRV | PA | NT | Acts | Chapter 25 | Verse 2] ਤਦ ਮੁੱਖ ਜਾਜਕਾਂ ਅਤੇ ਯਹੂਦੀਆਂ ਦੇ ਅਧਿਕਾਰੀਆਂ ਨੇ ਪੌਲੁਸ ਦੇ ਵਿਰੁੱਧ ਉਹ ਦੇ ਕੰਨ ਭਰੇ।
[IRV | PA | NT | Acts | Chapter 25 | Verse 3] ਅਤੇ ਉਸ ਦੀਆਂ ਮਿੰਨਤਾਂ ਕਰ ਕੇ ਕਿਹਾ ਜੋ ਉਹ ਨੂੰ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਬੁਲਾਵੇ ਅਤੇ ਸਾਜਿਸ਼ ਬਣਾਈ, ਜੋ ਉਹ ਨੂੰ ਰਸਤੇ ਵਿੱਚ ਹੀ ਮਾਰ ਸੁੱਟਣ।
[IRV | PA | NT | Acts | Chapter 25 | Verse 4] ਉਪਰੰਤ ਫ਼ੇਸਤੁਸ ਨੇ ਉੱਤਰ ਦਿੱਤਾ ਜੋ ਪੌਲੁਸ ਕੈਸਰਿਯਾ ਵਿੱਚ ਨਜ਼ਰਬੰਦ ਹੈ ਅਤੇ ਮੈਂ ਆਪ ਉੱਥੇ ਜਲਦੀ ਜਾਣ ਨੂੰ ਤਿਆਰ ਹਾਂ।
[IRV | PA | NT | Acts | Chapter 25 | Verse 5] ਫੇਰ ਬੋਲਿਆ, ਜਿਹੜੇ ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਆਗੂ ਹੋਣ ਉਹ ਮੇਰੇ ਨਾਲ ਚੱਲਣ ਅਤੇ ਜੇ ਉਸ ਵਿੱਚ ਕੋਈ ਔਗੁਣ ਹੋਵੇ ਤਾਂ ਉਹ ਦੇ ਉੱਤੇ ਦੋਸ਼ ਸਾਬਤ ਕਰਨ।
[IRV | PA | NT | Acts | Chapter 25 | Verse 6] ਉਹ ਉਨ੍ਹਾਂ ਵਿੱਚ ਕੋਈ ਅੱਠ ਦਸ ਦਿਨ ਰਹਿ ਕੇ ਕੈਸਰਿਯਾ ਨੂੰ ਗਿਆ ਅਤੇ ਅਗਲੇ ਦਿਨ ਅਦਾਲਤ ਦੀ ਗੱਦੀ ਉੱਤੇ ਬੈਠ ਕੇ ਹੁਕਮ ਦਿੱਤਾ ਜੋ ਪੌਲੁਸ ਨੂੰ ਲਿਆਉਣ।
[IRV | PA | NT | Acts | Chapter 25 | Verse 7] ਜਦੋਂ ਉਹ ਹਾਜ਼ਰ ਹੋਇਆ ਤਾਂ ਯਹੂਦੀ ਜਿਹੜੇ ਯਰੂਸ਼ਲਮ ਤੋਂ ਆਏ ਸਨ ਉਹ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਖੜੇ ਹੋ ਕੇ ਉਸ ਉੱਤੇ ਬਹੁਤ ਸਾਰੇ ਦੋਸ਼ ਲਾਉਣ ਲੱਗੇ ਜਿਨ੍ਹਾਂ ਨੂੰ ਸਾਬਤ ਨਾ ਕਰ ਸਕੇ।
[IRV | PA | NT | Acts | Chapter 25 | Verse 8] ਪਰ ਪੌਲੁਸ ਨੇ ਆਪਣੀ ਸਫ਼ਾਈ ਵਿੱਚ ਕਿਹਾ ਕਿ ਨਾ ਤਾਂ ਮੈਂ ਯਹੂਦੀਆਂ ਦੀ ਬਿਵਸਥਾ ਦਾ, ਨਾ ਹੈਕਲ ਦਾ, ਨਾ ਕੈਸਰ ਦਾ ਕੁਝ ਵਿਗਾੜਿਆ ਹੈ।
[IRV | PA | NT | Acts | Chapter 25 | Verse 9] ਪਰ ਫ਼ੇਸਤੁਸ ਨੇ ਜੋ ਚਾਹੁੰਦਾ ਸੀ ਕਿ ਯਹੂਦੀਆਂ ਨੂੰ ਪਰਸੰਨ ਕਰੇ ਅੱਗੋਂ ਪੌਲੁਸ ਨੂੰ ਆਖਿਆ, ਕੀ ਤੂੰ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਜਾਣਾ ਚਾਹੁੰਦਾ ਹੈਂ ਕਿ ਉੱਥੇ ਮੇਰੇ ਅੱਗੇ ਇਨ੍ਹਾਂ ਗੱਲਾਂ ਬਾਰੇ ਤੇਰਾ ਨਿਆਂ ਕੀਤਾ ਜਾਵੇ?
[IRV | PA | NT | Acts | Chapter 25 | Verse 10] ਪੌਲੁਸ ਨੇ ਕਿਹਾ, ਮੈਂ ਕੈਸਰੀ ਅਦਾਲਤ ਦੀ ਗੱਦੀ ਦੇ ਅੱਗੇ ਖੜ੍ਹਾ ਹਾਂ। ਚਾਹੀਦਾ ਹੈ ਕਿ ਮੇਰਾ ਨਿਆਂ ਇੱਥੇ ਹੀ ਹੋਵੇ। ਯਹੂਦੀਆਂ ਦੇ ਨਾਲ ਮੈਂ ਕੁਝ ਵੀ ਗਲਤ ਨਹੀਂ ਕੀਤਾ ਜਿਵੇਂ ਕਿ ਤੁਸੀਂ ਵੀ ਚੰਗੀ ਤਰ੍ਹਾਂ ਜਾਣਦੇ ਹੋ।
[IRV | PA | NT | Acts | Chapter 25 | Verse 11] ਸੋ ਜੇ ਮੈਂ ਕੁਝ ਗਲਤ ਕੀਤਾ ਅਤੇ ਕਤਲ ਦੇ ਲਾਇਕ ਕੋਈ ਕੰਮ ਕੀਤਾ ਹੋਵੇ ਤਾਂ ਮੈਂ ਕਤਲ ਹੋਣ ਵਿੱਚ ਕੋਈ ਇਨਕਾਰ ਨਹੀਂ ਕਰਦਾ ਪਰ ਜੇ ਉਨ੍ਹਾਂ ਗੱਲਾਂ ਵਿੱਚੋਂ ਕੁਝ ਵੀ ਸਾਬਤ ਨਾ ਹੋਵੇ ਜਿਨ੍ਹਾਂ ਦਾ ਇਹ ਮੇਰੇ ਉੱਤੇ ਦੋਸ਼ ਲਾਉਂਦੇ ਹਨ ਤਾਂ ਕਿਸੇ ਦੀ ਹਿੰਮਤ ਨਹੀਂ ਜੋ ਮੈਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਹਵਾਲੇ ਕਰੇ। ਮੈਂ ਕੈਸਰ ਦੀ ਦੁਹਾਈ ਦਿੰਦਾ ਹਾਂ!
