[IRV | PA | NT | Acts | Chapter 4 | Verse 1] ਜਦੋਂ ਉਹ ਲੋਕਾਂ ਦੇ ਨਾਲ ਗੱਲਾਂ ਕਰ ਰਹੇ ਸਨ ਤਾਂ ਜਾਜਕ, ਹੈਕਲ ਦੇ ਅਧਿਕਾਰੀ ਅਤੇ ਸਦੂਕੀ ਉਹਨਾਂ ਉੱਤੇ ਚੜ੍ਹ ਆਏ।
[IRV | PA | NT | Acts | Chapter 4 | Verse 2] ਕਿਉਂ ਜੋ ਉਹ ਇਸ ਗੱਲ ਤੋਂ ਗੁੱਸੇ ਹੋ ਗਏ ਸਨ ਜੋ ਉਹ ਲੋਕਾਂ ਨੂੰ ਸਿਖਾਉਂਦੇ ਅਤੇ ਯਿਸੂ ਦਾ ਪਰਮਾਣ ਦੇ ਕੇ ਮੁਰਦਿਆਂ ਦੇ ਜੀ ਉੱਠਣ ਦਾ ਉਪਦੇਸ਼ ਦਿੰਦੇ ਸਨ।
[IRV | PA | NT | Acts | Chapter 4 | Verse 3] ਅਤੇ ਉਹਨਾਂ ਨੇ ਉਹਨਾਂ ਨੂੰ ਫੜ੍ਹ ਕੇ ਦੂਜੇ ਦਿਨ ਤੱਕ ਹਵਾਲਾਤ ਵਿੱਚ ਰੱਖਿਆ, ਕਿਉਂ ਜੋ ਹੁਣ ਸ਼ਾਮ ਪੈ ਗਈ ਸੀ।
[IRV | PA | NT | Acts | Chapter 4 | Verse 4] ਫਿਰ ਵੀ ਉਹਨਾਂ ਵਿੱਚੋਂ ਜਿਹਨਾਂ ਨੇ ਬਚਨ ਸੁਣਿਆ, ਬਹੁਤਿਆਂ ਨੇ ਵਿਸ਼ਵਾਸ ਕੀਤਾ ਅਤੇ ਉਨ੍ਹਾਂ ਮਨੁੱਖਾਂ ਦੀ ਗਿਣਤੀ ਲੱਗਭਗ ਪੰਜ ਹਜ਼ਾਰ ਹੋ ਗਈ।
[IRV | PA | NT | Acts | Chapter 4 | Verse 5] ਦੂਜੇ ਦਿਨ ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਕਿ ਉਨ੍ਹਾਂ ਦੇ ਅਧਿਕਾਰੀ, ਬਜ਼ੁਰਗ ਅਤੇ ਉਪਦੇਸ਼ਕ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਇਕੱਠੇ ਹੋਏ।
[IRV | PA | NT | Acts | Chapter 4 | Verse 6] ਅੰਨਾਸ ਪ੍ਰਧਾਨ ਜਾਜਕ, ਕਯਾਫ਼ਾ, ਯੂਹੰਨਾ, ਸਿਕੰਦਰ ਅਤੇ ਪ੍ਰਧਾਨ ਜਾਜਕ ਦੇ ਘਰਾਣੇ ਦੇ ਸਾਰੇ ਲੋਕ ਵੀ ਉੱਥੇ ਸਨ।
[IRV | PA | NT | Acts | Chapter 4 | Verse 7] ਫਿਰ ਉਹਨਾਂ ਨੂੰ ਵਿਚਾਲੇ ਖੜ੍ਹਾ ਕਰਕੇ ਪੁੱਛਿਆ, ਤੁਸੀਂ ਕਿਹੜੀ ਸਮਰੱਥਾ ਜਾਂ ਕਿਹੜੇ ਨਾਮ ਨਾਲ ਇਹ ਕੀਤਾ?
[IRV | PA | NT | Acts | Chapter 4 | Verse 8] ਤਦ ਪਤਰਸ ਨੇ ਪਵਿੱਤਰ ਆਤਮਾ ਨਾਲ ਭਰ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਹੇ ਕੌਮ ਦੇ ਅਧਿਕਾਰੀਓ ਅਤੇ ਬਜ਼ੁਰਗੋ,
[IRV | PA | NT | Acts | Chapter 4 | Verse 9] ਜੇ ਅੱਜ ਸਾਡੇ ਕੋਲੋਂ ਇਸ ਚੰਗੇ ਕੰਮ ਦੇ ਬਾਰੇ ਪੁੱਛਦੇ ਹੋ, ਜਿਹੜਾ ਇੱਕ ਬਲਹੀਨ ਮਨੁੱਖ ਨਾਲ ਹੋਇਆ ਕਿ ਉਹ ਕਿਸ ਤਰ੍ਹਾਂ ਚੰਗਾ ਕੀਤਾ ਗਿਆ ਹੈ।
[IRV | PA | NT | Acts | Chapter 4 | Verse 10] ਤਾਂ ਤੁਹਾਨੂੰ ਸਭਨਾਂ ਨੂੰ ਅਤੇ ਇਸਰਾਏਲ ਦੇ ਸਾਰਿਆਂ ਲੋਕਾਂ ਨੂੰ ਪਤਾ ਹੋਵੇ ਕਿ ਯਿਸੂ ਮਸੀਹ ਨਾਸਰੀ ਦੇ ਨਾਮ ਨਾਲ ਜਿਸ ਨੂੰ ਤੁਸੀਂ ਸਲੀਬ ਉੱਤੇ ਚੜ੍ਹਾਇਆ ਅਤੇ ਉਸ ਨੂੰ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮੁਰਦਿਆਂ ਵਿੱਚੋਂ ਜਿਉਂਦਾ ਕੀਤਾ ਉਸ ਤੋਂ ਇਹ ਮਨੁੱਖ ਤੁਹਾਡੇ ਸਾਹਮਣੇ ਚੰਗਾ ਭਲਾ ਖੜ੍ਹਾ ਹੈ।
[IRV | PA | NT | Acts | Chapter 4 | Verse 11] ਇਹ ਉਹ ਪੱਥਰ ਹੈ ਜਿਹ ਨੂੰ ਰਾਜ ਮਿਸਤਰੀਆਂ ਨੇ ਰੱਦਿਆ, ਜਿਹੜਾ ਕੋਨੇ ਦਾ ਪੱਥਰ ਹੋ ਗਿਆ।
