[IRV | PA | NT | Acts | Chapter 1 | Verse 1] ਹੇ ਥਿਉਫ਼ਿਲੁਸ, ਮੈਂ ਉਹ ਪਹਿਲੀ ਪੋਥੀ ਉਨ੍ਹਾਂ ਸਾਰੀਆਂ ਗੱਲਾਂ ਦੇ ਬਾਰੇ ਲਿਖੀ, ਜਿਹੜੀਆਂ ਯਿਸੂ ਕਰਦਾ ਅਤੇ ਸਿਖਾਉਂਦਾ ਰਿਹਾ।
[IRV | PA | NT | Acts | Chapter 1 | Verse 2] ਉਸ ਦਿਨ ਤੱਕ ਉਨ੍ਹਾਂ ਰਸੂਲਾਂ ਨੂੰ, ਜਿਹੜੇ ਉਸ ਨੇ ਚੁਣੇ ਸਨ, ਪਵਿੱਤਰ ਆਤਮਾ ਦੇ ਰਾਹੀਂ ਆਗਿਆ ਦੇ ਕੇ ਉਤਾਹਾਂ ਉਠਾ ਲਿਆ ਗਿਆ।
[IRV | PA | NT | Acts | Chapter 1 | Verse 3] ਉਸ ਨੇ ਦੁੱਖ ਭੋਗਣ ਦੇ ਮਗਰੋਂ, ਆਪਣੇ ਆਪ ਨੂੰ ਉਨ੍ਹਾਂ ਉੱਤੇ ਬਹੁਤਿਆਂ ਪ੍ਰਮਾਣਾਂ ਨਾਲ ਜਿਉਂਦਾ ਪਰਗਟ ਕੀਤਾ ਅਤੇ ਉਹ ਚਾਲ੍ਹੀਆਂ ਦਿਨਾਂ ਤੱਕ ਉਨ੍ਹਾਂ ਨੂੰ ਦਰਸ਼ਣ ਦਿੰਦਾ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਰਾਜ ਦੀਆਂ ਗੱਲਾਂ ਕਰਦਾ ਰਿਹਾ।
[IRV | PA | NT | Acts | Chapter 1 | Verse 4] ਅਤੇ ਚੇਲਿਆਂ ਨਾਲ ਇਕੱਠੇ ਹੋ ਕੇ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਗਿਆ ਦਿੱਤੀ ਕਿ ਯਰੂਸ਼ਲਮ ਤੋਂ ਬਾਹਰ ਨਾ ਜਾਓ, ਪਰ ਪਿਤਾ ਦੇ ਉਸ ਵਾਇਦੇ ਦੀ ਉਡੀਕ ਵਿੱਚ ਰਹੋ ਜਿਸ ਦੇ ਬਾਰੇ ਤੁਸੀਂ ਮੇਰੇ ਕੋਲੋਂ ਸੁਣਿਆ ਹੈ।
[IRV | PA | NT | Acts | Chapter 1 | Verse 5] ਕਿਉਂਕਿ ਜੋ ਯੂਹੰਨਾ ਨੇ ਤਾਂ ਪਾਣੀ ਨਾਲ ਬਪਤਿਸਮਾ ਦਿੱਤਾ ਪਰ ਥੋੜ੍ਹੇ ਦਿਨਾਂ ਬਾਅਦ ਤੁਹਾਨੂੰ ਪਵਿੱਤਰ ਆਤਮਾ ਨਾਲ ਬਪਤਿਸਮਾ ਦਿੱਤਾ ਜਾਵੇਗਾ।
[IRV | PA | NT | Acts | Chapter 1 | Verse 6] ਸੋ ਜਦੋਂ ਉਹ ਇਕੱਠੇ ਹੋਏ ਤਾਂ ਉਸ ਤੋਂ ਪੁੱਛਿਆ ਕਿ ਪ੍ਰਭੂ ਜੀ ਕੀ ਤੂੰ ਇਸ ਸਮੇਂ ਇਸਰਾਏਲ ਦਾ ਰਾਜ ਬਹਾਲ ਕਰੇਗਾ?
[IRV | PA | NT | Acts | Chapter 1 | Verse 7] ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਇਹ ਤੁਹਾਡਾ ਕੰਮ ਨਹੀਂ ਕਿ ਤੁਸੀਂ ਉਨ੍ਹਾਂ ਸਮਿਆਂ ਅਤੇ ਵੇਲਿਆਂ ਨੂੰ ਜਾਣੋ, ਜੋ ਪਿਤਾ ਨੇ ਆਪਣੇ ਅਧਿਕਾਰ ਵਿੱਚ ਰੱਖੇ ਹਨ।
[IRV | PA | NT | Acts | Chapter 1 | Verse 8] ਪਰ ਜਦੋਂ ਪਵਿੱਤਰ ਆਤਮਾ ਤੁਹਾਡੇ ਉੱਤੇ ਆਵੇਗਾ ਤਾਂ ਤੁਸੀਂ ਸ਼ਕਤੀ ਪਾਓਗੇ ਅਤੇ ਯਰੂਸ਼ਲਮ, ਯਹੂਦਿਯਾ ਅਤੇ ਸਾਮਰਿਯਾ ਵਿੱਚ ਸਗੋਂ ਧਰਤੀ ਦੇ ਆਖਰੀ ਕਿਨਾਰੇ ਤੱਕ ਮੇਰੇ ਗਵਾਹ ਹੋਵੋਗੇ।
[IRV | PA | NT | Acts | Chapter 1 | Verse 9] ਅਤੇ ਜਦੋਂ ਉਹ ਇਹ ਗੱਲਾਂ ਕਹਿ ਚੁੱਕਿਆ ਤਾਂ ਉਨ੍ਹਾਂ ਦੇ ਵੇਖਦਿਆਂ ਹੀ ਉਹ ਉਤਾਹਾਂ ਉੱਠਾਇਆ ਗਿਆ ਅਤੇ ਬੱਦਲ ਨੇ ਉਸ ਨੂੰ ਉਨ੍ਹਾਂ ਦੀ ਨਜ਼ਰੋਂ ਓਹਲੇ ਕਰ ਦਿੱਤਾ।
[IRV | PA | NT | Acts | Chapter 1 | Verse 10] ਅਤੇ ਉਸ ਦੇ ਜਾਂਦਿਆਂ ਹੋਇਆਂ ਜਦੋਂ ਉਹ ਅਕਾਸ਼ ਦੀ ਵੱਲ ਤੱਕ ਰਹੇ ਸਨ, ਤਾਂ ਵੇਖੋ ਦੋ ਜਣੇ ਚਿੱਟਾ ਪਹਿਰਾਵਾ ਪਹਿਨੀ ਉਨ੍ਹਾਂ ਦੇ ਕੋਲ ਆ ਖੜੇ ਹੋਏ।
[IRV | PA | NT | Acts | Chapter 1 | Verse 11] ਅਤੇ ਉਹ ਆਖਣ ਲੱਗੇ, ਹੇ ਗਲੀਲੀ ਮਨੁੱਖੋ, ਤੁਸੀਂ ਕਿਉਂ ਅਕਾਸ਼ ਦੀ ਵੱਲ ਵੇਖ ਰਹੇ ਹੋ? ਇਹ ਯਿਸੂ ਜਿਹੜਾ ਤੁਹਾਡੇ ਕੋਲੋਂ ਸਵਰਗ ਉੱਪਰ ਉੱਠਾ ਲਿਆ ਗਿਆ, ਉਸੇ ਤਰ੍ਹਾਂ ਫਿਰ ਆਵੇਗਾ ਜਿਸ ਤਰ੍ਹਾਂ ਤੁਸੀਂ ਉਸ ਨੂੰ ਸਵਰਗ ਉੱਤੇ ਜਾਂਦੇ ਵੇਖਿਆ l
[IRV | PA | NT | Acts | Chapter 1 | Verse 12] ਤਦ ਉਹ ਉਸ ਜੈਤੂਨ ਦੇ ਪਹਾੜ ਤੋਂ ਜੋ ਯਰੂਸ਼ਲਮ ਦੇ ਨੇੜੇ ਇੱਕ ਸਬਤ ਦੇ ਦਿਨ ਦੀ ਦੂਰੀ ਤੇ ਹੈ, ਯਰੂਸ਼ਲਮ ਨੂੰ ਮੁੜੇ।
[IRV | PA | NT | Acts | Chapter 1 | Verse 13] ਅਤੇ ਜਦੋਂ ਪਹੁੰਚੇ ਤਾਂ ਉਸ ਚੁਬਾਰੇ ਉੱਤੇ ਚੜ੍ਹ ਗਏ ਜਿੱਥੇ ਉਹ ਅਰਥਾਤ ਪਤਰਸ, ਯੂਹੰਨਾ, ਯਾਕੂਬ, ਅੰਦ੍ਰਿਯਾਸ, ਫ਼ਿਲਿਪੁੱਸ, ਥੋਮਾ, ਬਰਥੁਲਮਈ, ਮੱਤੀ ਅਤੇ ਹਲਫ਼ਾ ਦਾ ਪੁੱਤਰ ਯਾਕੂਬ, ਸ਼ਮਊਨ ਜ਼ੇਲੋਤੇਸ ਅਤੇ ਯਾਕੂਬ ਦਾ ਪੁੱਤਰ ਯਹੂਦਾ ਰਹਿੰਦੇ ਸਨ।
[IRV | PA | NT | Acts | Chapter 1 | Verse 14] ਇਹ ਸਾਰੇ ਇੱਕ ਮਨ ਹੋ ਕੇ, ਕਈ ਇਸਤ੍ਰੀਆਂ ਅਤੇ ਯਿਸੂ ਦੀ ਮਾਤਾ ਮਰਿਯਮ ਅਤੇ ਉਹ ਦੇ ਭਰਾਵਾਂ ਦੇ ਨਾਲ ਲਗਾਤਾਰ ਪ੍ਰਾਰਥਨਾ ਕਰਦੇ ਰਹੇ।
[IRV | PA | NT | Acts | Chapter 1 | Verse 15] ਉਹਨਾਂ ਦਿਨਾਂ ਵਿੱਚ ਪਤਰਸ ਭਰਾਵਾਂ ਦੇ ਵਿਚਕਾਰ, ਜੋ ਸਾਰੇ ਮਿਲ ਕੇ ਲੱਗਭਗ ਇੱਕ ਸੌ ਵੀਹ ਲੋਕ ਇਕੱਠੇ ਹੋਏ ਸਨ, ਖੜੇ ਹੋ ਕੇ ਬੋਲਿਆ
[IRV | PA | NT | Acts | Chapter 1 | Verse 16] ਹੇ ਭਰਾਵੋ, ਉਹ ਲਿਖਤ ਪੂਰੀ ਹੋਣੀ ਜ਼ਰੂਰੀ ਸੀ ਕਿ ਜੋ ਪਵਿੱਤਰ ਆਤਮਾ ਨੇ ਦਾਊਦ ਦੀ ਜੁਬਾਨੀ ਯਹੂਦਾ ਦੇ ਬਾਰੇ ਜਿਹੜਾ ਯਿਸੂ ਦੇ ਫੜਵਾਉਣ ਵਾਲਿਆਂ ਦਾ ਆਗੂ ਹੋਇਆ ਪਹਿਲਾਂ ਹੀ ਆਖੀ ਗਈ ਸੀ।
[IRV | PA | NT | Acts | Chapter 1 | Verse 17] ਕਿਉਂ ਜੋ ਉਹ ਸਾਡੇ ਨਾਲ ਗਿਣਿਆ ਗਿਆ ਅਤੇ ਉਹ ਨੇ ਇਸ ਸੇਵਾ ਵਿੱਚ ਹਿੱਸਾ ਪਾਇਆ ਸੀ
