[BBE | EN | OT | Proverbs | Chapter 12 | Verse 1] A lover of training is a lover of knowledge; but a hater of teaching is like a beast.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 2] A good man has grace in the eyes of the Lord; but the man of evil designs gets punishment from him.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 3] No man will make himself safe through evil-doing; but the root of upright men will never be moved.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 4] A woman of virtue is a crown to her husband; but she whose behaviour is a cause of shame is like a wasting disease in his bones.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 5] The purposes of upright men are right, but the designs of evil-doers are deceit.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 6] The words of sinners are destruction for the upright; but the mouth of upright men is their salvation.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 7] Evil-doers are overturned and never seen again, but the house of upright men will keep its place.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 8] A man will be praised in the measure of his wisdom, but a wrong-minded man will be looked down on.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 9] He who is of low position and has a servant, is better than one who has a high opinion of himself and is in need of bread.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 10] An upright man has thought for the life of his beast, but the hearts of evil-doers are cruel.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 11] He who does work on his land will not be short of bread; but he who goes after foolish men is without sense.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 12] The resting-place of the sinner will come to destruction, but the root of upright men is for ever.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 13] In the sin of the lips is a net which takes the sinner, but the upright man will come out of trouble.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 14] From the fruit of his mouth will a man have good food in full measure, and the work of a man's hands will be rewarded.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 15] The way of the foolish man seems right to him? but the wise man gives ear to suggestions.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 16] A foolish man lets his trouble be openly seen, but a sharp man keeps shame secret.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 17] The breathing out of true words gives knowledge of righteousness; but a false witness gives out deceit.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 18] There are some whose uncontrolled talk is like the wounds of a sword, but the tongue of the wise makes one well again.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 19] True lips are certain for ever, but a false tongue is only for a minute.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 20] Deceit is in the heart of those whose designs are evil, but for those purposing peace there is joy.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 21] No trouble will come to upright men, but sinners will be full of evil.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 22] False lips are hated by the Lord, but those whose acts are true are his delight.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 23] A sharp man keeps back his knowledge; but the heart of foolish men makes clear their foolish thoughts.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 24] The hand of the ready worker will have authority, but he who is slow in his work will be put to forced work.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 25] Care in the heart of a man makes it weighted down, but a good word makes it glad.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 26] The upright man is a guide to his neighbour, but the way of evil-doers is a cause of error to them.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 27] He who is slow in his work does not go in search of food; but the ready worker gets much wealth.
[BBE | EN | OT | Proverbs | Chapter 12 | Verse 28] In the road of righteousness is life, but the way of the evil-doer goes to death.
