[BBE | EN | OT | Proverbs | Chapter 16 | Verse 1] The designs of the heart are man's, but the answer of the tongue comes from the Lord.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 2] All a man's ways are clean to himself; but the Lord puts men's spirits into his scales.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 3] Put your works into the hands of the Lord, and your purposes will be made certain.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 4] The Lord has made everything for his purpose, even the sinner for the day of evil.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 5] Everyone who has pride in his heart is disgusting to the Lord: he will certainly not go free from punishment.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 6] By mercy and good faith evil-doing is taken away: and by the fear of the Lord men are turned away from evil.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 7] When a man's ways are pleasing to the Lord, he makes even his haters be at peace with him.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 8] Better is a little with righteousness, than great wealth with wrongdoing.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 9] A man may make designs for his way, but the Lord is the guide of his steps.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 10] Decision is in the lips of the king: his mouth will not go wrong in judging.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 11] True measures and scales are the Lord's: all the weights of the bag are his work.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 12] Evil-doing is disgusting to kings: for the seat of the ruler is based on righteousness.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 13] Lips of righteousness are the delight of kings; and he who says what is upright is dear to him.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 14] The wrath of the king is like those who give news of death, but a wise man will put peace in place of it.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 15] In the light of the king's face there is life; and his approval is like a cloud of spring rain.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 16] How much better it is to get wisdom than gold! and to get knowledge is more to be desired than silver.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 17] The highway of the upright is to be turned away from evil: he who takes care of his way will keep his soul.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 18] Pride goes before destruction, and a stiff spirit before a fall.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 19] Better it is to have a gentle spirit with the poor, than to take part in the rewards of war with men of pride.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 20] He who gives attention to the law of right will get good; and whoever puts his faith in the Lord is happy.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 21] The wise-hearted will be named men of good sense: and by pleasing words learning is increased.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 22] Wisdom is a fountain of life to him who has it; but the punishment of the foolish is their foolish behaviour.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 23] The heart of the wise man is the teacher of his mouth, and gives increased learning to his lips.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 24] Pleasing words are like honey, sweet to the soul and new life to the bones.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 25] There is a way which seems straight before a man, but its end is the ways of death.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 26] The desire of the working man is working for him, for his need of food is driving him on.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 27] A good-for-nothing man is a designer of evil, and in his lips there is a burning fire.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 28] A man of twisted purposes is a cause of fighting everywhere: and he who says evil secretly makes trouble between friends.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 29] A violent man puts desire of evil into his neighbour's mind, and makes him go in a way which is not good.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 30] He whose eyes are shut is a man of twisted purposes, and he who keeps his lips shut tight makes evil come about.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 31] The grey head is a crown of glory, if it is seen in the way of righteousness.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 32] He who is slow to be angry is better than a man of war, and he who has control over his spirit than he who takes a town.
[BBE | EN | OT | Proverbs | Chapter 16 | Verse 33] A thing may be put to the decision of chance, but it comes about through the Lord.
