[BBE | EN | OT | Proverbs | Chapter 6 | Verse 1] My son, if you have made yourself responsible for your neighbour, or given your word for another,
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 2] You are taken as in a net by the words of your mouth, the sayings of your lips have overcome you.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 3] Do this, my son, and make yourself free, because you have come into the power of your neighbour; go without waiting, and make a strong request to your neighbour.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 4] Give no sleep to your eyes, or rest to them;
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 5] Make yourself free, like the roe from the hand of the archer, and the bird from him who puts a net for her.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 6] Go to the ant, you hater of work; give thought to her ways and be wise:
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 7] Having no chief, overseer, or ruler,
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 8] She gets her meat in the summer, storing up food at the time of the grain-cutting.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 9] How long will you be sleeping, O hater of work? when will you get up from your sleep?
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 10] A little sleep, a little rest, a little folding of the hands in sleep:
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 11] Then loss will come on you like an outlaw, and your need like an armed man
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 12] A good-for-nothing man is an evil-doer; he goes on his way causing trouble with false words;
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 13] Making signs with his eyes, rubbing with his feet, and giving news with his fingers;
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 14] His mind is ever designing evil: he lets loose violent acts.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 15] For this cause his downfall will be sudden; quickly he will be broken, and there will be no help for him.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 16] Six things are hated by the Lord; seven things are disgusting to him:
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 17] Eyes of pride, a false tongue, hands which take life without cause;
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 18] A heart full of evil designs, feet which are quick in running after sin;
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 19] A false witness, breathing out untrue words, and one who lets loose violent acts among brothers.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 20] My son, keep the rule of your father, and have in memory the teaching of your mother:
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 21] Keep them ever folded in your heart, and have them hanging round your neck.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 22] In your walking, it will be your guide; when you are sleeping, it will keep watch over you; when you are awake, it will have talk with you.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 23] For the rule is a light, and the teaching a shining light; and the guiding words of training are the way of life.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 24] They will keep you from the evil woman, from the smooth tongue of the strange woman.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 25] Let not your heart's desire go after her fair body; let not her eyes take you prisoner.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 26] For a loose woman is looking for a cake of bread, but another man's wife goes after one's very life.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 27] May a man take fire to his breast without burning his clothing?
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 28] Or may one go on lighted coals, and his feet not be burned?
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 29] So it is with him who goes in to his neighbour's wife; he who has anything to do with her will not go free from punishment.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 30] Men do not have a low opinion of a thief who takes food when he is in need of it:
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 31] But if he is taken in the act he will have to give back seven times as much, giving up all his property which is in his house.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 32] He who takes another man's wife is without all sense: he who does it is the cause of destruction to his soul.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 33] Wounds will be his and loss of honour, and his shame may not be washed away.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 34] For bitter is the wrath of an angry husband; in the day of punishment he will have no mercy.
[BBE | EN | OT | Proverbs | Chapter 6 | Verse 35] He will not take any payment; and he will not make peace with you though your money offerings are increased.
