[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 1] And it came to pass after this, that Absalom prepared him chariots and horses, and fifty men to run before him.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 2] And Absalom rose early, and stood beside the way of the gate: and it was so , that when any man that had a controversy came to the king for judgment, then Absalom called to him, and said, Of what city art thou? And he said, Thy servant is one of the tribes of Israel.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 3] And Absalom said to him, See, thy matters are good and right; but there is no man deputed by the king to hear thee.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 4] Absalom said moreover, Oh that I were made judge in the land, that every man who hath any suit or cause might come to me, and I would do him justice!
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 5] And it was so , that when any man came nigh to him to do him obeisance, he put forth his hand, and took him, and kissed him.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 6] And in this manner did Absalom to all Israel that came to the king for judgment: so Absalom stole the hearts of the men of Israel.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 7] And it came to pass after forty years, that Absalom said to the king, I pray thee, let me go and pay my vow, which I have vowed to the LORD, in Hebron.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 8] For thy servant vowed a vow while I abode at Geshur in Syria, saying, If the LORD shall bring me again indeed to Jerusalem, then I will serve the LORD.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 9] And the king said to him, Go in peace, So he arose, and went to Hebron.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 10] But Absalom sent spies throughout all the tribes of Israel, saying, As soon as ye hear the sound of the trumpet, then ye shall say, Absalom reigneth in Hebron.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 11] And with Absalom went two hundred men from Jerusalem, that were called; and they went in their simplicity, and they knew not any thing.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 12] And Absalom sent for Ahithophel the Gilonite, David's counselor, from his city, even from Giloh, while he offered sacrifices. And the conspiracy was strong; for the people increased continually with Absalom.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 13] And there came a messenger to David, saying, The hearts of the men of Israel are after Absalom.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 14] And David said to all his servants that were with him at Jerusalem, Arise, and let us flee; for we shall not else escape from Absalom: make speed to depart, lest he should overtake us suddenly, and bring evil upon us, and smite the city with the edge of the sword.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 15] And the king's servants said to the king, Behold, thy servants are ready to do whatever my lord the king shall appoint.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 16] And the king went forth, and all his household after him. And the king left ten women who were concubines to keep the house.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 17] And the king went forth, and all the people after him, and tarried in a place that was far off.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 18] And all his servants passed on by his side; and all the Cherethites, and all the Pelethites, and all the Gittites, six hundred men who came after him from Gath, passed on before the king.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 19] Then said the king to Ittai the Gittite, Why goest thou also with us? return to thy place, and abide with the king; for thou art a stranger, and also an exile.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 20] Whereas thou camest but yesterday, should I this day make thee go up and down with us? seeing I go whither I may; return thou, and take back thy brethren: mercy and truth be with thee.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 21] And Ittai answered the king, and said, As the LORD liveth, and as my lord the king liveth, surely in what place my lord the king shall be, whether in death or life, even there also will thy servant be.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 22] And David said to Ittai, Go and pass over. And Ittai the Gittite passed over, and all his men, and all the little ones that were with him.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 23] And all the country wept with a loud voice, and all the people passed over: the king also himself passed over the brook Kidron, and all the people passed over, towards the way of the wilderness.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 24] And lo, Zadok also, and all the Levites were with him bearing the ark of the covenant of God: and they set down the ark of God; and Abiathar went up, until all the people had done passing out of the city.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 25] And the king said to Zadok, Carry back the ark of God into the city: if I shall find favor in the eyes of the LORD, he will bring me again, and show me both it, and his habitation:
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 26] But if he shall thus say, I have no delight in thee; behold, here am I, let him do to me as seemeth good to him.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 27] The king said also to Zadok the priest, Art not thou a seer? return into the city in peace, and your two sons with you, Ahimaaz thy son, and Jonathan the son of Abiathar.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 28] See, I will tarry in the plain of the wilderness, until word shall come from you to certify me.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 29] Zadok therefore and Abiathar carried the ark of God again to Jerusalem: and they tarried there.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 30] And David went up by the ascent of mount Olivet, and wept as he went, and had his head covered, and he went barefoot: and all the people that were with him covered every man his head, and they went up, weeping as they went.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 31] And one told David, saying, Ahithophel is among the conspirators with Absalom. And David said, O LORD, I pray thee, turn the counsel of Ahithophel into foolishness.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 32] And it came to pass, that when David had come to the top of the mount , where he worshiped God, behold, Hushai the Archite came to meet him with his coat rent, and earth upon his head;
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 33] To whom David said, If thou shalt pass on with me, then thou wilt be a burden to me:
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 34] But if thou shalt return to the city, and say to Absalom, I will be thy servant, O king; as I have been thy father's servant hitherto, so will I now also be thy servant: then mayest thou for me defeat the counsel of Ahithophel.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 35] And hast thou not there with thee Zadok and Abiathar the priests? therefore it shall be, that whatever thing thou shalt hear out of the king's house, thou shalt tell it to Zadok and Abiathar the priests.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 36] Behold, they have there with them their two sons, Ahimaaz Zadok's son , and Jonathan Abiathar's son ; and by them ye shall send to me every thing that ye can hear.
[WEBSTER | EN | OT | 2 Samuel | Chapter 15 | Verse 37] So Hushai David's friend came into the city, and Absalom came into Jerusalem.
