[GRCGTR | EL | NT | Philippians | Chapter 3 | Verse 1] Τὸ λοιπόν, ἀδελφοί μου, χαίρετε ἐν Κυρίῳ. Τὰ αὐτὰ γράφειν ὑμῖν, ἐμοὶ μὲν οὐκ ὀκνηρόν, ὑμῖν δὲ ἀσφαλές.
[GRCGTR | EL | NT | Philippians | Chapter 3 | Verse 2] Βλέπετε τοὺς κύνας, βλέπετε τοὺς κακοὺς ἐργάτας, βλέπετε τὴν κατατομήν·
[GRCGTR | EL | NT | Philippians | Chapter 3 | Verse 3] ἡμεῖς γάρ ἐσμεν ἡ περιτομή, οἱ πνεύματι Θεῷ λατρεύοντες, καὶ καυχώμενοι ἐν Χριστῷ Ἰησοῦ, καὶ οὐκ ἐν σαρκὶ πεποιθότες·
[GRCGTR | EL | NT | Philippians | Chapter 3 | Verse 4] καίπερ ἐγὼ ἔχων πεποίθησιν καὶ ἐν σαρκί· εἴ τις δοκεῖ ἄλλος πεποιθέναι ἐν σαρκί, ἐγὼ μᾶλλον·
[GRCGTR | EL | NT | Philippians | Chapter 3 | Verse 5] περιτομὴ ὀκταήμερος, ἐκ γένους Ἰσραήλ, φυλῆς Βενιαμίν, Ἑβραῖος ἐξ Ἑβραίων, κατὰ νόμον Φαρισαῖος,
[GRCGTR | EL | NT | Philippians | Chapter 3 | Verse 6] κατὰ ζῆλον διώκων τὴν ἐκκλησίαν, κατὰ δικαιοσύνην τὴν ἐν νόμῳ γενόμενος ἄμεμπτος.
[GRCGTR | EL | NT | Philippians | Chapter 3 | Verse 7] Ἀλλ᾿ ἅτινα ἦν μοι κέρδη, ταῦτα ἥγημαι διὰ τὸν Χριστὸν ζημίαν.
[GRCGTR | EL | NT | Philippians | Chapter 3 | Verse 8] Ἀλλὰ μενοῦνγε καὶ ἡγοῦμαι πάντα ζημίαν εἶναι διὰ τὸ ὑπερέχον τῆς γνώσεως Χριστοῦ Ἰησοῦ τοῦ Κυρίου μου· δι᾿ ὃν τὰ πάντα ἐζημιώθην, καὶ ἡγοῦμαι σκύβαλα εἶναι, ἵνα Χριστὸν κερδήσω,
[GRCGTR | EL | NT | Philippians | Chapter 3 | Verse 9] καὶ εὑρεθῶ ἐν αὐτῷ, μὴ ἔχων ἐμὴν δικαιοσύνην τὴν ἐκ νόμου, ἀλλὰ τὴν διὰ πίστεως Χριστοῦ, τὴν ἐκ Θεοῦ δικαιοσύνην ἐπὶ τῇ πίστει·
[GRCGTR | EL | NT | Philippians | Chapter 3 | Verse 10] τοῦ γνῶναι αὐτὸν καὶ τὴν δύναμιν τῆς ἀναστάσεως αὐτοῦ, καὶ τὴν κοινωνίαν τῶν παθημάτων αὐτοῦ, συμμορφούμενος τῷ θανάτῳ αὐτοῦ,
[GRCGTR | EL | NT | Philippians | Chapter 3 | Verse 11] εἴ πως καταντήσω εἰς τὴν ἐξανάστασιν τῶν νεκρῶν.
