[KJV | EN | NT | Titus | Chapter 1 | Verse 1] Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God’s elect, and the acknowledging of the truth which is after godliness,
[KJV | EN | NT | Titus | Chapter 1 | Verse 2] in hope of eternal life, which God, that cannot lie, promised before the world began;
[KJV | EN | NT | Titus | Chapter 1 | Verse 3] but hath in due times manifested his word through preaching, which is committed unto me according to the commandment of God our Saviour;
[KJV | EN | NT | Titus | Chapter 1 | Verse 4] to Titus, mine own son after the common faith: Grace, mercy, and peace, from God the Father and the Lord Jesus Christ our Saviour.
[KJV | EN | NT | Titus | Chapter 1 | Verse 5] For this cause left I thee in Crete, that thou shouldest set in order the things that are wanting, and ordain elders in every city, as I had appointed thee:
[KJV | EN | NT | Titus | Chapter 1 | Verse 6] if any be blameless, the husband of one wife, having faithful children not accused of riot or unruly.
[KJV | EN | NT | Titus | Chapter 1 | Verse 7] For a bishop must be blameless, as the steward of God; not selfwilled, not soon angry, not given to wine, no striker, not given to filthy lucre;
[KJV | EN | NT | Titus | Chapter 1 | Verse 8] but a lover of hospitality, a lover of good men, sober, just, holy, temperate;
[KJV | EN | NT | Titus | Chapter 1 | Verse 9] holding fast the faithful word as he hath been taught, that he may be able by sound doctrine both to exhort and to convince the gainsayers.
[KJV | EN | NT | Titus | Chapter 1 | Verse 10] For there are many unruly and vain talkers and deceivers, specially they of the circumcision:
[KJV | EN | NT | Titus | Chapter 1 | Verse 11] whose mouths must be stopped, who subvert whole houses, teaching things which they ought not, for filthy lucre’s sake.
[KJV | EN | NT | Titus | Chapter 1 | Verse 12] One of themselves, even a prophet of their own, said, The Cretians are alway liars, evil beasts, slow bellies.
[KJV | EN | NT | Titus | Chapter 1 | Verse 13] This witness is true. Wherefore rebuke them sharply, that they may be sound in the faith;
[KJV | EN | NT | Titus | Chapter 1 | Verse 14] not giving heed to Jewish fables, and commandments of men, that turn from the truth.
[KJV | EN | NT | Titus | Chapter 1 | Verse 15] Unto the pure all things are pure: but unto them that are defiled and unbelieving is nothing pure; but even their mind and conscience is defiled.
[KJV | EN | NT | Titus | Chapter 1 | Verse 16] They profess that they know God; but in works they deny him, being abominable, and disobedient, and unto every good work reprobate.
