[KJV | EN | NT | Titus | Chapter 2 | Verse 1] But speak thou the things which become sound doctrine:
[KJV | EN | NT | Titus | Chapter 2 | Verse 2] that the aged men be sober, grave, temperate, sound in faith, in charity, in patience.
[KJV | EN | NT | Titus | Chapter 2 | Verse 3] The aged women likewise, that they be in behaviour as becometh holiness, not false accusers, not given to much wine, teachers of good things;
[KJV | EN | NT | Titus | Chapter 2 | Verse 4] that they may teach the young women to be sober, to love their husbands, to love their children,
[KJV | EN | NT | Titus | Chapter 2 | Verse 5] to be discreet, chaste, keepers at home, good, obedient to their own husbands, that the word of God be not blasphemed.
[KJV | EN | NT | Titus | Chapter 2 | Verse 6] Young men likewise exhort to be sober minded.
[KJV | EN | NT | Titus | Chapter 2 | Verse 7] In all things shewing thyself a pattern of good works: in doctrine shewing uncorruptness, gravity, sincerity,
[KJV | EN | NT | Titus | Chapter 2 | Verse 8] sound speech that cannot be condemned; that he that is of the contrary part may be ashamed, having no evil thing to say of you.
[KJV | EN | NT | Titus | Chapter 2 | Verse 9] Exhort servants to be obedient unto their own masters, and to please them well in all things; not answering again;
[KJV | EN | NT | Titus | Chapter 2 | Verse 10] not purloining, but shewing all good fidelity; that they may adorn the doctrine of God our Saviour in all things.
[KJV | EN | NT | Titus | Chapter 2 | Verse 11] For the grace of God that bringeth salvation hath appeared to all men,
[KJV | EN | NT | Titus | Chapter 2 | Verse 12] teaching us that denying ungodliness and worldly lusts we should live soberly, righteously, and godly, in this present world;
[KJV | EN | NT | Titus | Chapter 2 | Verse 13] looking for that blessed hope, and the glorious appearing of the great God and our Saviour Jesus Christ;
[KJV | EN | NT | Titus | Chapter 2 | Verse 14] who gave himself for us, that he might redeem us from all iniquity, and purify unto himself a peculiar people, zealous of good works.
[KJV | EN | NT | Titus | Chapter 2 | Verse 15] These things speak, and exhort, and rebuke with all authority. Let no man despise thee.
