[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 1] Put them in mind to be subject to principalities and powers, to obey magistrates, to be ready to every good work,
[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 2] To speak evil of no man, to be no brawlers, but gentle, showing all meekness to all men.
[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 3] For we ourselves also were sometimes foolish, disobedient, deceived, serving divers lusts and pleasures, living in malice and envy, hateful, and hating one another.
[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 4] But when the kindness and love of God our Savior towards man appeared,
[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 5] Not by works of righteousness which we have done, but according to his mercy he saved us, by the washing of regeneration, and renewing of the Holy Spirit;
[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 6] Which he shed on us abundantly, through Jesus Christ our Savior;
[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 7] That being justified by his grace, we should be made heirs according to the hope of eternal life.
[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 8] This is a faithful saying, and these things I will that thou affirm constantly, that they who have believed in God may be careful to maintain good works. These things are good and profitable to men.
[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 9] But avoid foolish questions, and genealogies, and contentions, and strivings about the law; for they are unprofitable and vain.
[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 10] A man that is a heretic, after the first and second admonition, reject;
[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 11] Knowing that he who is such, is subverted, and sinneth, being condemned by himself.
[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 12] When I shall send Artemas to thee, or Tychicus, be diligent to come to me to Nicopolis: for I have determined there to winter.
[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 13] Bring Zenas the lawyer and Apollos on their journey diligently, that nothing may be wanting to them.
[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 14] And let ours also learn to maintain good works for necessary uses, that they may not be unfruitful.
[WEBSTER | EN | NT | Titus | Chapter 3 | Verse 15] All that are with me salute thee. Greet them that love us in the faith. Grace be with you all. Amen.
