[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 1] But speak thou the things which become sound doctrine:
[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 2] That the aged men be sober, grave, temperate, sound in faith, in charity, in patience;
[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 3] The aged women likewise, that they be in behavior as becometh holiness, not false accusers, not given to much wine, teachers of good things;
[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 4] That they may teach the young women to be sober, to love their husbands, to love their children,
[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 5] To be discreet, chaste, keepers at home, good, obedient to their own husbands, that the word of God be not blasphemed.
[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 6] Young men likewise exhort to be sober-minded.
[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 7] In all things showing thyself a pattern of good works: in doctrine showing incorruptness, gravity, sincerity,
[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 8] Sound speech that cannot be condemned; that he that is of the contrary part may be ashamed, having no evil thing to say concerning you.
[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 9] Exhort servants to be obedient to their own masters, and to please them well in all things ; not answering again;
[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 10] Not purloining, but showing all good fidelity; that they may adorn the doctrine of God our Savior in all things.
[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 11] For the grace of God that bringeth salvation hath appeared to all men,
[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 12] Teaching us, that denying ungodliness, and worldly lusts, we should live soberly, righteously, and piously, in this present world;
[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 13] Looking for that blessed hope, and the glorious appearing of the great God, and our Savior Jesus Christ;
[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 14] Who gave himself for us, that he might redeem us from all iniquity, and purify to himself a peculiar people, zealous of good works.
[WEBSTER | EN | NT | Titus | Chapter 2 | Verse 15] These things speak, and exhort, and rebuke with all authority. Let no man despise thee.
