[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 1] When my soul slumbered being afar from the Lord, I had all but slipped down to the pit; When I was far from God,
[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 2] My soul had been well nigh poured out unto death; I had been nigh unto the gates of Hades with the sinner,
[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 3] When my soul departed from the Lord God of Israel— Had not the Lord helped me with his everlasting mercy.
[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 4] He pricked me, as a horse is pricked, that I might serve him: My savior and helper at all times saved me.
[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 5] I will give thanks unto thee, O God, for thou hast helped me to my salvation; And hast not counted me with sinners to my destruction.
[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 6] Remove not thy mercy from me, O God, Nor thy memorial from my heart until I die.
[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 7] Rule me, O God, keeping me back from wicked sin, And from every wicked woman that causeth the simple to stumble.
[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 8] And let not the beauty of a lawless woman beguile me, Nor any one that is subject to unprofitable sin.
[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 9] Establish the works of my hands before thee, And preserve my goings in the remembrance of thee.
[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 10] Protect my tongue and my lips with words of truth; Anger and unreasoning wrath put far from me.
[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 11] Murmuring, and impatience in affliction, remove far from me, When, if I sin, thou chastenest me that I may return unto thee.
[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 12] But with good will and cheerfulness support my soul; When thou strengthenest my soul, what is given to me will be sufficient for me.
[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 13] For if thou givest not strength, Who can endure chastisement with poverty?
[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 14] When a man is rebuked by means of his corruption, Thy testing of him is in his flesh and in the affliction of poverty.
[ASV | EN | OT | Psalms of Solomon | Chapter 16 | Verse 15] If the righteous endureth in all these trials, he shall receive mercy from the Lord.
