[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 1] O Lord God, I will praise thy name with joy, In the midst of them that know thy righteous judgments.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 2] For thou art good and merciful, the refuge of the poor; When I cry to thee, do not silently disregard me.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 3] For no man taketh spoil from a mighty man; Who, then, can take aught of all that thou hast made, except thou thyself givest?
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 4] For man and his portion lie before thee in the balance; He cannot add to, so as to enlarge, what hath been prescribed by thee, O God.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 5] When we are in distress we call upon thee for help, And thou dost not turn back our petition, For thou art our God.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 6] Cause not thy hand to be heavy upon us, Lest through necessity we sin.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 7] Even though thou restore us not, we will not keep away; But unto thee will we come.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 8] For if I hunger, unto thee will I cry, O God; And thou wilt give to me.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 9] Birds and fish dost thou nourish, In that thou givest rain to the steppes that green grass may spring up,
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 10] So to prepare fodder in the steppe for every living thing; And if they hunger, unto thee do they lift up their face.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 11] Kings and rulers and peoples thou dost nourish, O God; And who is the help of the poor and needy, if not thou, O Lord?
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 12] And thou wilt hearken—for who is good and gentle but thou— Making glad the soul of the humble by opening thy hand in mercy.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 13] Man’s goodness is bestowed grudgingly and on the morrow; And if he repeat it without murmuring, even that is marvelous.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 14] But thy gift is great in goodness and wealth, And he whose hope is set on thee shall have no lack of gifts.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 15] Upon the whole earth is thy mercy, O Lord, in goodness.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 16] Happy is he whom God remembereth in granting to him a due sufficiency; If a man abound over much, he sinneth.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 17] Sufficient are moderate means with righteousness, And hereby the blessing of the Lord becometh abundance with righteousness.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 18] They that fear the Lord rejoice in good gifts, And thy goodness is upon Israel in thy kingdom.
[ASV | EN | OT | Psalms of Solomon | Chapter 5 | Verse 19] Blessed is the glory of the Lord for he is our king.
