[ASV | EN | OT | Psalms of Solomon | Chapter 3 | Verse 1] Why sleepest thou, O my soul, and blessest not the Lord?
[ASV | EN | OT | Psalms of Solomon | Chapter 3 | Verse 2] Sing a new song, unto God who is worthy to be praised. Sing and be wakeful against his waking, For good is a psalm sung to God from a glad heart.
[ASV | EN | OT | Psalms of Solomon | Chapter 3 | Verse 3] The righteous remember the Lord at all times, With thanksgiving and declaration of the righteousness of the Lord’s judgments.
[ASV | EN | OT | Psalms of Solomon | Chapter 3 | Verse 4] The righteous despiseth not the chastening of the Lord; His will is always before the Lord.
[ASV | EN | OT | Psalms of Solomon | Chapter 3 | Verse 5] The righteous stumbleth and holdeth the Lord righteous: He falleth and looketh out for what God will do to him; He seeketh out whence his deliverance will come.
[ASV | EN | OT | Psalms of Solomon | Chapter 3 | Verse 6] The truth of the righteous is from God their deliverer; There lodgeth not in the house of the righteous sin upon sin.
[ASV | EN | OT | Psalms of Solomon | Chapter 3 | Verse 7] The righteous continually searcheth his house, To remove utterly all iniquity done by him in error.
[ASV | EN | OT | Psalms of Solomon | Chapter 3 | Verse 8] He maketh atonement for sins of ignorance by fasting and afflicting his soul, And the Lord counteth guiltless every pious man and his house.
[ASV | EN | OT | Psalms of Solomon | Chapter 3 | Verse 9] The sinner stumbleth and curseth his life, The day when he was begotten, and his mother’s travail.
[ASV | EN | OT | Psalms of Solomon | Chapter 3 | Verse 10] He addeth sins to sins, while he liveth; He falleth—verily grievous is his fall—and riseth no more.
[ASV | EN | OT | Psalms of Solomon | Chapter 3 | Verse 11] The destruction of the sinner is forever, And he shall not be remembered, when the righteous is visited.
[ASV | EN | OT | Psalms of Solomon | Chapter 3 | Verse 12] This is the portion of sinners forever. But they that fear the Lord shall rise to life eternal, And their life shall be in the light of the Lord, and shall come to an end no more.
