[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 1] Now concerning spiritual gifts, brethren, I would not have you ignorant.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 2] Ye know that when ye were Gentiles ye were led away unto those dumb idols, howsoever ye might be led.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 3] Wherefore I make known unto you, that no man speaking in the Spirit of God calleth Jesus anathema; and no man can call Jesus Lord, but in the Holy Spirit.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 4] Now there are diversities of gifts, but the same Spirit.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 5] And there are diversities of ministrations, and the same Lord.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 6] And there are diversities of workings, but it is the same God who worketh all things in all.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 7] But to each one is given the manifestation of the Spirit to profit withal.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 8] For to one is given through the Spirit the word of wisdom; and to another the word of knowledge, according to the same Spirit:
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 9] and to another faith, in the same Spirit; and to another gifts of healings, in the same Spirit;
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 10] and to another workings of miracles; and to another prophecy; and to another discernings of spirits; and to another diverse kinds of tongues; and to another the interpretation of tongues:
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 11] but all these worketh the one and the same Spirit, dividing to each one severally even as he will.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 12] For as the body is one, and hath many members, and all the members of the one body, being many, are one body; so also is Christ.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 13] For in one Spirit were we all baptized into one body, whether Jews or Greeks, whether bond or free; and were all made to drink into one Spirit.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 14] For the body is not one member, but many.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 15] If the foot shall say, Because I am not the hand, I am not of the body; is it therefore not of the body?
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 16] And if the ear shall say, Because I am not the eye, I am not of the body; is it therefore not of the body?
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 17] If the whole body were an eye, where were the hearing? If the whole were hearing, where were the smelling?
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 18] But now hath God set the members each one of them in the body, even as it pleased him.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 19] And if they were all one member, where were the body?
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 20] But now they are many members, but one body.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 21] And the eye cannot say to the hand, I have no need of thee: or again the head to the feet, I have no need of you.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 22] Nay, much rather, those members of the body which seem to be more feeble are necessary:
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 23] and those parts of the body, which we think to be less honorable, upon these we bestow more abundant honor; and our uncomely parts have more abundant comeliness;
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 24] whereas our comely parts have no need: but God tempered the body together, giving more abundant honor to that part which lacked;
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 25] that there should be no schisms in the body; but that the members should have the same care one for another.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 26] And whether one member suffereth, all the members suffer with it; or one member is honored, all the members rejoice with it.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 27] Now ye are the body of Christ, and severally members thereof.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 28] And God hath set some in the church, first apostles, secondly prophets, thirdly teachers, afterward miracles, then gifts of healings, helps, governments, diverse kinds of tongues.
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 29] Are all apostles? are all prophets? are all teachers? are all workers of miracles?
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 30] have all gifts of healings? do all speak with tongues? do all interpret?
[ASV | EN | NT | 1 Corinthians | Chapter 12 | Verse 31] But desire earnestly the better gifts. And moreover a most excellent way show I unto you.
