[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 1] Now I would not, brethren, have you ignorant, that our fathers were all under the cloud, and all passed through the sea;
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 2] and were all baptized unto Moses in the cloud and in the sea;
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 3] and did all eat the same spiritual food;
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 4] and did all drink the same spiritual drink: for they drank of a spiritual rock that followed them: and the rock was Christ.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 5] Howbeit with most of them God was not well pleased: for they were overthrown in the wilderness.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 6] Now these things were our examples, to the intent we should not lust after evil things, as they also lusted.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 7] Neither be ye idolaters, as were some of them; as it is written, The people sat down to eat and drink, and rose up to play.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 8] Neither let us commit fornication, as some of them committed, and fell in one day three and twenty thousand.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 9] Neither let us make trial of Christ, as some of them also made trial, and perished by the serpents.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 10] Neither murmur ye, as some of them also murmured, and perished by the destroyer.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 11] Now all these things happened unto them as examples; and they were written for our admonition, upon whom the ends of the ages are come.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 12] Wherefore let him that thinketh he standeth take heed lest he fall.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 13] There hath no temptation taken you but such as man can bear: but God is faithful, who will not suffer you to be tempted above that ye are able; but will with the temptation make also the way of escape, that ye may be able to endure it.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 14] Wherefore, my beloved, flee from idolatry.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 15] I speak as to wise men; judge ye what I say.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 16] The cup of blessing which we bless, is it not a communion of the blood of Christ? The bread which we break, is it not a communion of the body of Christ?
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 17] seeing that we, who are many, are one bread, one body: for we all partake of the one bread.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 18] Behold Israel after the flesh: have not they that eat the sacrifices communion with the altar?
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 19] What say I then? that an idol is anything, or that a thing sacrificed to idols is anything?
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 20] But I say, that the things which the Gentiles sacrifice, they sacrifice to demons, and not to God: and I would not that ye should have communion with demons.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 21] Ye cannot drink the cup of the Lord, and the cup of demons: ye cannot partake of the table of the Lord, and of the table of demons.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 22] Or do we provoke the Lord to jealousy? are we stronger than he?
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 23] All things are lawful for me; but not all things are expedient. All things are lawful for me; but not all things edify.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 24] Let no man seek his own, but each his neighbor’s good.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 25] Whatsoever is sold in the shambles, eat, asking no question for conscience’ sake;
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 26] for the earth is the Lord’s, and the fullness thereof.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 27] And if one of them that believe not biddeth you to a feast, and ye are disposed to go; whatsoever is set before you, eat, asking no question for conscience’ sake.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 28] But if any man say unto you, This hath been sacrificed to idols, eat not, for his sake that showed it, and for conscience’ sake: for the earth is the Lord’s, and the fullness thereof:
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 29] conscience, I say, not thine own, but the other’s; for why is my liberty judged by another conscience?
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 30] If I partake with thankfulness, why am I evil spoken of for that for which I give thanks?
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 31] Whether therefore ye eat, or drink, or whatsoever ye do, do all to the glory of God.
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 32] Give no occasion of stumbling, either to Jews, or to Greeks, or to the church of God:
[ASV | EN | NT | 1 Corinthians | Chapter 10 | Verse 33] even as I also please all men in all things, not seeking mine own profit, but the profit of the many, that they may be saved.
