[WEBSTER | EN | NT | 2 Thessalonians | Chapter 1 | Verse 1] Paul, and Silvanus, and Timothy, to the church of the Thessalonians in God our Father and the Lord Jesus Christ:
[WEBSTER | EN | NT | 2 Thessalonians | Chapter 1 | Verse 2] Grace to you, and peace, from God our Father and the Lord Jesus Christ.
[WEBSTER | EN | NT | 2 Thessalonians | Chapter 1 | Verse 3] We are bound to thank God always for you, brethren, as it is meet, because your faith groweth exceedingly, and the charity of every one of you all towards each other aboundeth;
[WEBSTER | EN | NT | 2 Thessalonians | Chapter 1 | Verse 4] So that we ourselves glory in you in the churches of God, for your patience and faith in all your persecutions and tribulations that ye endure:
[WEBSTER | EN | NT | 2 Thessalonians | Chapter 1 | Verse 5] Which is a manifest token of the righteous judgment of God, that ye may be counted worthy of the kingdom of God, for which ye also suffer:
[WEBSTER | EN | NT | 2 Thessalonians | Chapter 1 | Verse 6] Seeing it is a righteous thing with God to recompense tribulation to them that trouble you;
[WEBSTER | EN | NT | 2 Thessalonians | Chapter 1 | Verse 7] And to you who are troubled, rest with us, when the Lord Jesus shall be revealed from heaven with his mighty angels,
[WEBSTER | EN | NT | 2 Thessalonians | Chapter 1 | Verse 8] In flaming fire taking vengeance on them that know not God, and that obey not the gospel of our Lord Jesus Christ:
[WEBSTER | EN | NT | 2 Thessalonians | Chapter 1 | Verse 9] Who shall be punished with everlasting destruction from the presence of the Lord, and from the glory of his power;
[WEBSTER | EN | NT | 2 Thessalonians | Chapter 1 | Verse 10] When he shall come to be glorified in his saints, and to be admired by all them that believe (because our testimony among you was believed) in that day.
[WEBSTER | EN | NT | 2 Thessalonians | Chapter 1 | Verse 11] Wherefore also we pray always for you, that our God would count you worthy of this calling, and fulfill all the good pleasure of his goodness, and the work of faith with power:
[WEBSTER | EN | NT | 2 Thessalonians | Chapter 1 | Verse 12] That the name of our Lord Jesus Christ may be glorified in you, and ye in him, according to the grace of our God, and of the Lord Jesus Christ.
