[IRV | PA | NT | Colossians | Chapter 1 | Verse 1] ਪੌਲੁਸ ਵੱਲੋਂ, ਜੋ ਪਰਮੇਸ਼ੁਰ ਦੀ ਇੱਛਾ ਤੋਂ ਮਸੀਹ ਯਿਸੂ ਦਾ ਰਸੂਲ ਹਾਂ, ਨਾਲੇ ਸਾਡਾ ਭਰਾ ਤਿਮੋਥਿਉਸ ਵੱਲੋਂ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 2] ਅੱਗੇ ਯੋਗ ਉਨ੍ਹਾਂ ਸੰਤਾਂ ਨੂੰ ਜਿਹੜੇ ਕੁਲੁੱਸੈ ਦੇ ਵਾਸੀ ਅਤੇ ਮਸੀਹ ਵਿੱਚ ਵਿਸ਼ਵਾਸਯੋਗ ਭਰਾ ਹਨ ਸਾਡੇ ਪਿਤਾ ਪਰਮੇਸ਼ੁਰ ਦੀ ਵੱਲੋਂ ਤੁਹਾਡੇ ਤੇ ਕਿਰਪਾ ਅਤੇ ਸ਼ਾਂਤੀ ਹੁੰਦੀ ਰਹੇ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 3] ਅਸੀਂ ਪਰਮੇਸ਼ੁਰ ਦਾ ਜੋ ਸਾਡੇ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਦਾ ਪਿਤਾ ਹੈ ਧੰਨਵਾਦ ਕਰਦੇ ਅਤੇ ਹਰ ਰੋਜ਼ ਤੁਹਾਡੇ ਲਈ ਪ੍ਰਾਰਥਨਾ ਕਰਦੇ ਹਾਂ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 4] ਜਦੋਂ ਅਸੀਂ ਤੁਹਾਡੇ ਵਿਸ਼ਵਾਸ ਦੀ ਜਿਹੜਾ ਮਸੀਹ ਯਿਸੂ ਉੱਤੇ ਹੈ ਅਤੇ ਉਸ ਪਿਆਰ ਦੀ ਜੋ ਤੁਸੀਂ ਸਾਰੇ ਸੰਤਾਂ ਨਾਲ ਕਰਦੇ ਹੋ ਖ਼ਬਰ ਸੁਣੀ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 5] ਇਹ ਉਸ ਆਸ ਦੇ ਕਾਰਨ ਹੈ ਜੋ ਤੁਹਾਡੇ ਲਈ ਸਵਰਗ ਵਿੱਚ ਰੱਖੀ ਹੋਈ ਹੈ ਜਿਸ ਦੀ ਖ਼ਬਰ ਤੁਸੀਂ ਖੁਸ਼ਖਬਰੀ ਦੀ ਸਚਿਆਈ ਦੇ ਬਚਨ ਵਿੱਚ ਅੱਗੋਂ ਸੁਣੀ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 6] ਅਤੇ ਉਹ ਤੁਹਾਡੇ ਕੋਲ ਆ ਪਹੁੰਚੀ ਅਤੇ ਜਿਵੇਂ ਉਹ ਸਾਰੇ ਸੰਸਾਰ ਵਿੱਚ ਵੀ ਫੈਲਦੀ ਅਤੇ ਵਧਦੀ ਹੈ ਤਿਵੇਂ ਉਸ ਦਿਨ ਤੋਂ ਜਦ ਤੁਸੀਂ ਉਸ ਨੂੰ ਸੁਣਿਆ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਕਿਰਪਾ ਨੂੰ ਸਚਿਆਈ ਨਾਲ ਪਛਾਣਿਆ ਤੁਹਾਡੇ ਵਿੱਚ ਵੀ ਫੈਲਦੀ ਅਤੇ ਵਧਦੀ ਹੈ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 7] ਜਿਵੇਂ ਤੁਸੀਂ ਸਾਡੇ ਸਹਿਕਰਮੀ ਪਿਆਰੇ ਇਪਫ਼ਰਾਸ ਤੋਂ ਸਿੱਖਿਆ, ਜਿਹੜਾ ਸਾਡੇ ਲਈ ਮਸੀਹ ਦਾ ਵਿਸ਼ਵਾਸਯੋਗ ਸੇਵਕ ਹੈ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 8] ਜਿਸ ਨੇ ਤੁਹਾਡਾ ਉਹ ਪਿਆਰ ਵੀ ਜੋ ਆਤਮਾ ਤੋਂ ਹੈ, ਸਾਨੂੰ ਦੱਸਿਆ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 9] ਇਸ ਕਰਕੇ ਅਸੀਂ ਵੀ ਜਿਸ ਦਿਨ ਤੋਂ ਇਹ ਸੁਣਿਆ ਕਿ ਤੁਸੀਂ ਕਿੰਨ੍ਹਾਂ ਪਿਆਰ ਕਰਦੇ ਹੋ, ਅਸੀਂ ਵੀ ਤੁਹਾਡੇ ਲਈ ਲਗਤਾਰ ਪ੍ਰਾਰਥਨਾ ਕਰ ਰਹੇ ਹਾਂ ਪਰਮੇਸ਼ੁਰ ਤੁਹਾਨੂੰ ਬੁੱਧ ਦੇਵੇ ਤਾਂ ਜੋ ਪਵਿੱਤਰ ਆਤਮਾ ਜੋ ਸਿਖਾਉਂਦਾ ਹੈ ਉਸ ਨੂੰ ਸਮਝ ਸਕੋ
[IRV | PA | NT | Colossians | Chapter 1 | Verse 10] ਤਾਂ ਜੋ ਤੁਸੀਂ ਅਜਿਹੀ ਸਹੀ ਚਾਲ ਚੱਲੋ ਜਿਹੜੀ ਪ੍ਰਭੂ ਨੂੰ ਹਰ ਤਰ੍ਹਾਂ ਚੰਗੀ ਲੱਗੇ ਅਤੇ ਹਰੇਕ ਭਲੇ ਕੰਮ ਵਿੱਚ ਫਲਦੇ ਰਹੋ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਪਛਾਣ ਵਿੱਚ ਵਧਦੇ ਰਹੋ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 11] ਅਤੇ ਉਸ ਦੀ ਮਹਿਮਾ ਦੀ ਸ਼ਕਤੀ ਦੇ ਅਨੁਸਾਰ ਸਾਰੀ ਸਮਰੱਥਾ ਨਾਲ ਸਮਰੱਥੀ ਹੋ ਜਾਵੋ ਤਾਂ ਜੋ ਤੁਸੀਂ ਖੁਸ਼ੀ ਨਾਲ ਅਤੇ ਧੀਰਜ ਕਰੋ।
