[IRV | PA | NT | Colossians | Chapter 4 | Verse 1] ਹੇ ਮਾਲਕੋ, ਤੁਸੀਂ ਆਪਣਿਆਂ ਨੌਕਰਾਂ ਨਾਲ ਇਹੋ ਜਿਹਾ ਵਰਤਾਵਾ ਕਰੋ ਜਿਹੜਾ ਠੀਕ ਅਤੇ ਨਿਆਈਂ ਹੈ ਕਿਉਂ ਜੋ ਤੁਸੀਂ ਜਾਣਦੇ ਹੋ ਕਿ ਸਵਰਗ ਵਿੱਚ ਤੁਹਾਡਾ ਵੀ ਇੱਕ ਮਾਲਕ ਹੈ।
[IRV | PA | NT | Colossians | Chapter 4 | Verse 2] ਲਗਾਤਾਰ ਪ੍ਰਾਰਥਨਾ ਕਰਦੇ ਰਹੋ ਅਤੇ ਧੰਨਵਾਦ ਕਰਦਿਆਂ ਹੋਇਆਂ ਉਸ ਵਿੱਚ ਬਣੇ ਰਹੋ।
[IRV | PA | NT | Colossians | Chapter 4 | Verse 3] ਨਾਲੇ ਸਾਡੇ ਲਈ ਵੀ ਪ੍ਰਾਰਥਨਾ ਕਰੋ ਕਿ ਪਰਮੇਸ਼ੁਰ ਸਾਡੇ ਲਈ ਬਾਣੀ ਦਾ ਬੂਹਾ ਖੋਲ੍ਹੇ ਤਾਂ ਜੋ ਅਸੀਂ ਮਸੀਹ ਦੇ ਭੇਤ ਦਾ ਵਰਨਣ ਕਰੀਏ ਜਿਸ ਦੇ ਕਾਰਨ ਮੈਂ ਕੈਦ ਵਿੱਚ ਹਾਂ l
[IRV | PA | NT | Colossians | Chapter 4 | Verse 4] ਕਿ ਜਿਵੇਂ ਮੈਨੂੰ ਵਰਨਣ ਕਰਨਾ ਯੋਗ ਹੈ ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਉਸ ਨੂੰ ਪਰਗਟ ਕਰਾਂ।
[IRV | PA | NT | Colossians | Chapter 4 | Verse 5] ਤੁਸੀਂ ਸਮੇਂ ਨੂੰ ਲਾਭਦਾਇਕ ਜਾਣ ਕੇ ਬਾਹਰਲਿਆਂ ਦੇ ਅੱਗੇ ਹੋਸ਼ ਨਾਲ ਚੱਲੋ।
[IRV | PA | NT | Colossians | Chapter 4 | Verse 6] ਤੁਹਾਡੀ ਗੱਲਬਾਤ ਹਮੇਸ਼ਾਂ ਕਿਰਪਾ ਵਾਲੀ ਅਤੇ ਸਲੂਣੀ ਹੋਵੇ ਤਾਂ ਜੋ ਤੁਸੀਂ ਜਾਣੋ ਕਿ ਹਰੇਕ ਨੂੰ ਕਿਵੇਂ ਉੱਤਰ ਦੇਣਾ ਚਾਹੀਦਾ ਹੈ।
[IRV | PA | NT | Colossians | Chapter 4 | Verse 7] ਤੁਖਿਕੁਸ ਜਿਹੜਾ ਪ੍ਰਭੂ ਵਿੱਚ ਪਿਆਰਾ ਭਾਈ ਅਤੇ ਜ਼ਿੰਮੇਵਾਰ ਸੇਵਕ ਅਤੇ ਮੇਰੇ ਨਾਲ ਦਾ ਦਾਸ ਹੈ ਮੇਰਾ ਸਾਰਾ ਹਾਲ ਤੁਹਾਨੂੰ ਦੱਸੇਗਾ।
[IRV | PA | NT | Colossians | Chapter 4 | Verse 8] ਅਤੇ ਮੈਂ ਉਹ ਨੂੰ ਇਸੇ ਲਈ ਤੁਹਾਡੇ ਕੋਲ ਭੇਜਿਆ ਹੈ ਜੋ ਤੁਸੀਂ ਸਾਡਾ ਹਾਲ ਜਾਣ ਲਵੋ ਅਤੇ ਉਹ ਤੁਹਾਡਿਆਂ ਦਿਲਾਂ ਨੂੰ ਤਸੱਲੀ ਦੇਵੇ।
[IRV | PA | NT | Colossians | Chapter 4 | Verse 9] ਮੈਂ ਉਹ ਦੇ ਨਾਲ ਉਨੇਸਿਮੁਸ ਨੂੰ ਭੇਜਿਆ ਜਿਹੜਾ ਵਿਸ਼ਵਾਸਯੋਗ ਅਤੇ ਪਿਆਰਾ ਭਰਾ ਅਤੇ ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਹੀ ਹੈ। ਉਹ ਐਥੋਂ ਦੀਆਂ ਸਾਰੀਆਂ ਗੱਲਾਂ ਤੁਹਾਨੂੰ ਦੱਸਣਗੇ।
[IRV | PA | NT | Colossians | Chapter 4 | Verse 10] ਅਰਿਸਤਰਖੁਸ ਜੋ ਮੇਰੇ ਨਾਲ ਕੈਦ ਹੈ, ਨਾਲੇ ਮਰਕੁਸ ਜਿਹੜਾ ਬਰਨਬਾਸ ਦਾ ਭਰਾ ਹੈ ਜਿਸ ਦੇ ਬਾਰੇ ਤੁਹਾਨੂੰ ਹੁਕਮ ਮਿਲਿਆ ਸੀ ਜੋ ਉਹ ਤੁਹਾਡੇ ਕੋਲ ਆਵੇ ਤਾਂ ਤੁਸੀਂ ਉਹ ਦਾ ਆਦਰ ਮਾਣ ਕਰਨਾ।
[IRV | PA | NT | Colossians | Chapter 4 | Verse 11] ਅਤੇ ਯਿਸੂ ਜਿਸ ਨੂੰ ਯੂਸਤੁਸ ਕਰਕੇ ਸੱਦੀਦਾ ਹੈ ਇਹ ਜਿਹੜੇ ਸੁੰਨਤੀਆਂ ਵਿੱਚੋਂ ਹਨ ਤੁਹਾਡਾ ਹਾਲ ਚਾਲ ਪੁੱਛਦੇ ਹਨ। ਪਰਮੇਸ਼ੁਰ ਦੇ ਰਾਜ ਲਈ ਨਿਰੇ ਇਹੋ ਮੇਰੇ ਸਹਿਕਰਮੀ ਹਨ ਅਤੇ ਇਨ੍ਹਾਂ ਤੋਂ ਮੈਨੂੰ ਤਸੱਲੀ ਹੋਈ ਹੈ।
