[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 1] And king Solomon is king over all Israel,
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 2] and these [are] the heads whom he hath: Azariah son of Zadok [is] the priest;
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 3] Elihoreph and Ahiah sons of Shisha [are] scribes; Jehoshaphat son of Ahilud [is] remembrancer;
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 4] and Benaiah son of Jehoiada [is] over the host; and Zadok and Abiathar [are] priests;
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 5] and Azariah son of Nathan [is] over the officers; and Zabud son of Nathan [is] minister, friend of the king;
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 6] And Ahishar [is] over the household, and Adoniram son of Abda [is] over the tribute.
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 7] And Solomon hath twelve officers over all Israel, and they have sustained the king and his household — a month in the year is on each one for sustenance;
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 8] and these [are] their names: Ben-Hur in the hill-country of Ephraim;
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 9] Ben-Dekar in Makaz, and Shaalbim, and Beth-Shemesh, and Elon-Beth-Hanan.
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 10] Ben-Hesed [is] in Aruboth, hath Sochoh and all the land of Hepher;
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 11] Ben-Abinadab [hath] all the elevation of Dor, Taphath daughter of Solomon became his wife.
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 12] Baana Ben-Ahilud [hath] Taanach and Megiddo, and all Beth-Shean, which [is] by Zartanah beneath Jezreel, from Beth-Shean unto Abel-Meholah, unto beyond Jokneam.
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 13] Ben-Geber, in Ramoth-Gilead, hath the small towns of Jair son of Manasseh, which [are] in Gilead; he hath a portion of Argob that [is] in Bashan, sixty great cities [with] wall and brazen bar.
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 14] Ahinadab son of Iddo [hath] Mahanaim.
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 15] Ahimaaz [is] in Naphtali; he also hath taken Basemath daughter of Solomon for a wife.
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 16] Baanah Ben-Hushai [is] in Asher, and in Aloth.
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 17] Jehoshaphat Ben-Paruah [is] in Issachar.
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 18] Shimei Ben-Elah [is] in Benjamin.
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 19] Geber Ben-Uri [is] in the land of Gilead, the land of Sihon king of the Amorite, and of Og king of Bashan: and one officer who [is] in the land.
[YLT | EN | OT | 1 Kings | Chapter 4 | Verse 20] Judah and Israel [are] many, as the sand that [is] by the sea for multitude, eating and drinking and rejoicing.
