[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 1] Then doth Solomon assemble the elders of Israel, and all the heads of the tribes, princes of the fathers of the sons of Israel, unto king Solomon, to Jerusalem, to bring up the ark of the covenant of Jehovah from the city of David — it [is] Zion;
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 2] and all the men of Israel are assembled unto king Solomon, in the month of Ethanim, in the festival — [is] the seventh month.
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 3] And all the elders of Israel come in, and the priests lift up the ark,
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 4] and bring up the ark of Jehovah, and the tent of meeting, and all the holy vessels that [are] in the tent, yea, the priests and the Levites bring them up.
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 5] And king Solomon and all the company of Israel who are met unto him [are] with him before the ark, sacrificing sheep and oxen, that are not counted nor numbered for multitude.
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 6] And the priests bring in the ark of the covenant of Jehovah unto its place, unto the oracle of the house, unto the holy of holies, unto the place of the wings of the cherubs;
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 7] for the cherubs are spreading forth two wings unto the place of the ark, and the cherubs cover over the ark, and over its staves from above;
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 8] and they lengthen the staves, and the heads of the staves are seen from the holy [place] on the front of the oracle, and are not seen without, and they are there unto this day.
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 9] There is nothing in the ark, only the two tables of stone which Moses put there in Horeb, when Jehovah covenanted with the sons of Israel in their going out of the land of Egypt.
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 10] And it cometh to pass, in the going out of the priests from the holy [place], that the cloud hath filled the house of Jehovah,
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 11] and the priests have not been able to stand to minister because of the cloud, for the honour of Jehovah hath filled the house of Jehovah.
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 12] Then said Solomon, 'Jehovah hath said to dwell in thick darkness;
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 13] I have surely built a house of habitation for Thee; a fixed place for Thine abiding to the ages.'
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 14] And the king turneth round his face, and blesseth the whole assembly of Israel; and all the assembly of Israel is standing.
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 15] And he saith, 'Blessed [is] Jehovah, God of Israel, who spake by His mouth with David my father, and by His hand hath fulfilled [it], saying,
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 16] From the day that I brought out My people, even Israel, from Egypt, I have not fixed on a city out of all the tribes of Israel, to build a house for My name being there; and I fix on David to be over My people Israel.
[YLT | EN | OT | 1 Kings | Chapter 8 | Verse 17] 'And it is with the heart of David my father to build a house for the name of Jehovah, God of Israel,
