[IRV | HI | NT | John | Chapter 13 | Verse 1] फसह के पर्व से पहले जब यीशु ने जान लिया, कि मेरा वह समय आ पहुँचा है कि जगत छोड़कर पिता के पास जाऊँ, तो अपने लोगों से, जो जगत में थे, जैसा प्रेम वह रखता था, अन्त तक वैसा ही प्रेम रखता रहा।
[IRV | HI | NT | John | Chapter 13 | Verse 2] और जब शैतान शमौन के पुत्र यहूदा इस्करियोती के मन में यह डाल चुका था, कि उसे पकड़वाए, तो भोजन के समय
[IRV | HI | NT | John | Chapter 13 | Verse 3] यीशु ने, यह जानकर कि पिता ने सब कुछ उसके हाथ में कर दिया है और मैं परमेश्वर के पास से आया हूँ, और परमेश्वर के पास जाता हूँ।
[IRV | HI | NT | John | Chapter 13 | Verse 4] भोजन पर से उठकर अपने कपड़े उतार दिए, और अँगोछा लेकर अपनी कमर बाँधी।
[IRV | HI | NT | John | Chapter 13 | Verse 5] तब बर्तन में पानी भरकर चेलों के पाँव धोने और जिस अँगोछे से उसकी कमर बंधी थी उसी से पोंछने लगा।
[IRV | HI | NT | John | Chapter 13 | Verse 6] जब वह शमौन पतरस के पास आया तब उसने उससे कहा, “हे प्रभु, क्या तू मेरे पाँव धोता है?”
[IRV | HI | NT | John | Chapter 13 | Verse 7] यीशु ने उसको उत्तर दिया, “जो मैं करता हूँ, तू अभी नहीं जानता, परन्तु इसके बाद समझेगा।”
[IRV | HI | NT | John | Chapter 13 | Verse 8] पतरस ने उससे कहा, “तू मेरे पाँव कभी न धोने पाएगा!” यह सुनकर यीशु ने उससे कहा, “यदि मैं तुझे न धोऊँ, तो मेरे साथ तेरा कुछ भी भाग नहीं।”
[IRV | HI | NT | John | Chapter 13 | Verse 9] शमौन पतरस ने उससे कहा, “हे प्रभु, तो मेरे पाँव ही नहीं, वरन् हाथ और सिर भी धो दे।”
[IRV | HI | NT | John | Chapter 13 | Verse 10] यीशु ने उससे कहा, “जो नहा चुका है, उसे पाँव के सिवा और कुछ धोने का प्रयोजन नहीं; परन्तु वह बिलकुल शुद्ध है: और तुम शुद्ध हो; परन्तु सब के सब नहीं।”
[IRV | HI | NT | John | Chapter 13 | Verse 11] वह तो अपने पकड़वानेवाले को जानता था इसलिए उसने कहा, “तुम सब के सब शुद्ध नहीं।”
[IRV | HI | NT | John | Chapter 13 | Verse 12] जब वह उनके पाँव धो चुका और अपने कपड़े पहनकर फिर बैठ गया तो उनसे कहने लगा, “क्या तुम समझे कि मैंने तुम्हारे साथ क्या किया?
[IRV | HI | NT | John | Chapter 13 | Verse 13] तुम मुझे गुरु, और प्रभु, कहते हो, और भला कहते हो, क्योंकि मैं वहीं हूँ।
[IRV | HI | NT | John | Chapter 13 | Verse 14] यदि मैंने प्रभु और गुरु होकर तुम्हारे पाँव धोए; तो तुम्हें भी एक दूसरे के पाँव धोना चाहिए।
[IRV | HI | NT | John | Chapter 13 | Verse 15] क्योंकि मैंने तुम्हें नमूना दिखा दिया है, कि जैसा मैंने तुम्हारे साथ किया है, तुम भी वैसा ही किया करो।
[IRV | HI | NT | John | Chapter 13 | Verse 16] मैं तुम से सच-सच कहता हूँ, दास अपने स्वामी से बड़ा नहीं; और न भेजा हुआ अपने भेजनेवाले से।
[IRV | HI | NT | John | Chapter 13 | Verse 17] तुम तो ये बातें जानते हो, और यदि उन पर चलो, तो धन्य हो।
[IRV | HI | NT | John | Chapter 13 | Verse 18] मैं तुम सब के विषय में नहीं कहता: जिन्हें मैंने चुन लिया है, उन्हें मैं जानता हूँ; परन्तु यह इसलिए है, कि पवित्रशास्त्र का यह वचन पूरा हो, ‘जो मेरी रोटी खाता है, उसने मुझ पर लात उठाई।’(भज. 41:9)
[IRV | HI | NT | John | Chapter 13 | Verse 19] अब मैं उसके होने से पहले तुम्हें जताए देता हूँ कि जब हो जाए तो तुम विश्वास करो कि मैं वहीं हूँ।(यूह. 14:29)
