[IRV | HI | NT | John | Chapter 12 | Verse 1] फिर यीशु फसह से छः दिन पहले बैतनिय्याह में आया, जहाँ लाज़र था; जिसे यीशु ने मरे हुओं में से जिलाया था।
[IRV | HI | NT | John | Chapter 12 | Verse 2] वहाँ उन्होंने उसके लिये भोजन तैयार किया, और मार्था सेवा कर रही थी, और लाज़र उनमें से एक था, जो उसके साथ भोजन करने के लिये बैठे थे।
[IRV | HI | NT | John | Chapter 12 | Verse 3] तब मरियम ने जटामासी का आधा सेर बहुमूल्य इत्र लेकर यीशु के पाँवों पर डाला, और अपने बालों से उसके पाँव पोंछे, और इत्र की सुगन्ध से घर सुगन्धित हो गया।
[IRV | HI | NT | John | Chapter 12 | Verse 4] परन्तु उसके चेलों में से यहूदा इस्करियोती नामक एक चेला जो उसे पकड़वाने पर था, कहने लगा,
[IRV | HI | NT | John | Chapter 12 | Verse 5] “यह इत्र तीन सौ दीनार में बेचकर गरीबों को क्यों न दिया गया?”
[IRV | HI | NT | John | Chapter 12 | Verse 6] उसने यह बात इसलिए न कही, कि उसे गरीबों की चिन्ता थी, परन्तु इसलिए कि वह चोर था और उसके पास उनकी थैली रहती थी, और उसमें जो कुछ डाला जाता था, वह निकाल लेता था।
[IRV | HI | NT | John | Chapter 12 | Verse 7] यीशु ने कहा, “उसे मेरे गाड़े जाने के दिन के लिये रहने दे।
[IRV | HI | NT | John | Chapter 12 | Verse 8] क्योंकि गरीब तो तुम्हारे साथ सदा रहते हैं, परन्तु मैं तुम्हारे साथ सदा न रहूँगा।”(मर. 14:7)
[IRV | HI | NT | John | Chapter 12 | Verse 9] यहूदियों में से साधारण लोग जान गए, कि वह वहाँ है, और वे न केवल यीशु के कारण आए परन्तु इसलिए भी कि लाज़र को देखें, जिसे उसने मरे हुओं में से जिलाया था।
[IRV | HI | NT | John | Chapter 12 | Verse 10] तब प्रधान याजकों ने लाज़र को भी मार डालने की सम्मति की।
[IRV | HI | NT | John | Chapter 12 | Verse 11] क्योंकि उसके कारण बहुत से यहूदी चले गए, और यीशु पर विश्वास किया।
[IRV | HI | NT | John | Chapter 12 | Verse 12] दूसरे दिन बहुत से लोगों ने जो पर्व में आए थे, यह सुनकर, कि यीशु यरूशलेम में आ रहा है।
[IRV | HI | NT | John | Chapter 12 | Verse 13] उन्होंने खजूर की डालियाँ लीं, और उससे भेंट करने को निकले, और पुकारने लगे, “होशाना! धन्य इस्राएल का राजा, जो प्रभु के नाम से आता है।” (भज. 118:25,26)
[IRV | HI | NT | John | Chapter 12 | Verse 14] जब यीशु को एक गदहे का बच्चा मिला, तो वह उस पर बैठा, जैसा लिखा है,
[IRV | HI | NT | John | Chapter 12 | Verse 15] “हे सिय्योन की बेटी, मत डर; देख, तेरा राजा गदहे के बच्चे पर चढ़ा हुआ चला आता है।”
[IRV | HI | NT | John | Chapter 12 | Verse 16] उसके चेले, ये बातें पहले न समझे थे; परन्तु जब यीशु की महिमा प्रगट हुई, तो उनको स्मरण आया, कि ये बातें उसके विषय में लिखी हुई थीं; और लोगों ने उससे इस प्रकार का व्यवहार किया था।
