[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 1] وَيْلٌ لِي! لِأَنِّي صِرْتُ كَجَنَى ٱلصَّيْفِ، كَخُصَاصَةِ ٱلْقِطَافِ، لَا عُنْقُودَ لِلْأَكْلِ وَلَا بَاكُورَةَ تِينَةٍ ٱشْتَهَتْهَا نَفْسِي.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 2] قَدْ بَادَ ٱلتَّقِيُّ مِنَ ٱلْأَرْضِ، وَلَيْسَ مُسْتَقِيمٌ بَيْنَ ٱلنَّاسِ. جَمِيعُهُمْ يَكْمُنُونَ لِلدِّمَاءِ، يَصْطَادُونَ بَعْضُهُمْ بَعْضًا بِشَبَكَةٍ.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 3] اَلْيَدَانِ إِلَى ٱلشَّرِّ مُجْتَهِدَتَانِ. ٱلرَّئِيسُ طَالِبٌ وَٱلْقَاضِي بِٱلْهَدِيَّةِ، وَٱلْكَبِيرُ مُتَكَلِّمٌ بِهَوَى نَفْسِهِ فَيُعَكِّشُونَهَا.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 4] أَحْسَنُهُمْ مِثْلُ ٱلْعَوْسَجِ، وَأَعْدَلُهُمْ مِنْ سِيَاجِ ٱلشَّوْكِ. يَوْمَ مُرَاقِبِيكَ عِقَابُكَ قَدْ جَاءَ. ٱلْآنَ يَكُونُ ٱرْتِبَاكُهُمْ.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 5] لَا تَأْتَمِنُوا صَاحِبًا. لَا تَثِقُوا بِصَدِيقٍ. ٱحْفَظْ أَبْوَابَ فَمِكَ عَنِ ٱلْمُضْطَجِعَةِ فِي حِضْنِكَ.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 6] لِأَنَّ ٱلِٱبْنَ مُسْتَهِينٌ بِٱلْأَبِ، وَٱلْبِنْتَ قَائِمَةٌ عَلَى أُمِّهَا، وَٱلْكَنَّةَ عَلَى حَمَاتِهَا، وَأَعْدَاءُ ٱلْإِنْسَانِ أَهْلُ بَيْتِهِ. قيام إسرائيل من سقطتها
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 7] وَلَكِنَّنِي أُرَاقِبُ ٱلرَّبَّ، أَصْبِرُ لِإِلَهِ خَلَاصِي. يَسْمَعُنِي إِلَهِي.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 8] لَا تَشْمَتِي بِي يَا عَدُوَّتِي، إِذَا سَقَطْتُ أَقُومُ. إِذَا جَلَسْتُ فِي ٱلظُّلْمَةِ فَٱلرَّبُّ نُورٌ لِي.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 9] أَحْتَمِلُ غَضَبَ ٱلرَّبِّ لِأَنِّي أَخْطَأْتُ إِلَيْهِ، حَتَّى يُقِيمَ دَعْوَايَ وَيُجْرِيَ حَقِّي. سَيُخْرِجُنِي إِلَى ٱلنُّورِ، سَأَنْظُرُ بِرَّهُ.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 10] وَتَرَى عَدُوَّتِي فَيُغَطِّيهَا ٱلْخِزْيُ، ٱلْقَائِلَةُ لِي: «أَيْنَ هُوَ ٱلرَّبُّ إِلَهُكِ؟» عَيْنَايَ سَتَنْظُرَانِ إِلَيْهَا. اَلْآنَ تَصِيرُ لِلدَّوْسِ كَطِينِ ٱلْأَزِقَّةِ.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 11] يَوْمَ بِنَاءِ حِيطَانِكِ، ذَلِكَ ٱلْيَوْمَ يَبْعُدُ ٱلْمِيعَادُ.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 12] هُوَ يَوْمٌ يَأْتُونَ إِلَيْكِ مِنْ أَشُّورَ وَمُدُنِ مِصْرَ، وَمِنْ مِصْرَ إِلَى ٱلنَّهْرِ. وَمِنَ ٱلْبَحْرِ إِلَى ٱلْبَحْرِ. وَمِنَ ٱلْجَبَلِ إِلَى ٱلْجَبَلِ.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 13] وَلَكِنْ تَصِيرُ ٱلْأَرْضُ خَرِبَةً بِسَبَبِ سُكَّانِهَا، مِنْ أَجْلِ ثَمَرِ أَفْعَالِهِمْ. صلاة وتسبيح
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 14] اِرْعَ بِعَصَاكَ شَعْبَكَ غَنَمَ مِيرَاثِكَ، سَاكِنَةً وَحْدَهَا فِي وَعْرٍ فِي وَسَطِ ٱلْكَرْمَلِ. لِتَرْعَ فِي بَاشَانَ وَجِلْعَادَ كَأَيَّامِ ٱلْقِدَمِ.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 15] «كَأَيَّامِ خُرُوجِكَ مِنْ أَرْضِ مِصْرَ أُرِيهِ عَجَائِبَ».
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 16] يَنْظُرُ ٱلْأُمَمُ وَيَخْجَلُونَ مِنْ كُلِّ بَطْشِهِمْ. يَضَعُونَ أَيْدِيَهُمْ عَلَى أَفْوَاهِهِمْ، وَتَصُمُّ آذَانُهُمْ.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 17] يَلْحَسُونَ ٱلتُّرَابَ كَٱلْحَيَّةِ، كَزَوَاحِفِ ٱلْأَرْضِ. يَخْرُجُونَ بِٱلرِّعْدَةِ مِنْ حُصُونِهِمْ، يَأْتُونَ بِٱلرُّعْبِ إِلَى ٱلرَّبِّ إِلَهِنَا وَيَخَافُونَ مِنْكَ.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 18] مَنْ هُوَ إِلَهٌ مِثْلُكَ غَافِرٌ ٱلْإِثْمَ وَصَافِحٌ عَنِ ٱلذَّنْبِ لِبَقِيَّةِ مِيرَاثِهِ! لَا يَحْفَظُ إِلَى ٱلْأَبَدِ غَضَبَهُ، فَإِنَّهُ يُسَرُّ بِٱلرَّأْفَةِ.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 19] يَعُودُ يَرْحَمُنَا، يَدُوسُ آثَامَنَا، وَتُطْرَحُ فِي أَعْمَاقِ ٱلْبَحْرِ جَمِيعُ خَطَايَاهُمْ.
[VANDYKE | AR | OT | Micah | Chapter 7 | Verse 20] تَصْنَعُ ٱلْأَمَانَةَ لِيَعْقُوبَ وَٱلرَّأْفَةَ لِإِبْرَاهِيمَ، ٱللَّتَيْنِ حَلَفْتَ لِآبَائِنَا مُنْذُ أَيَّامِ ٱلْقِدَمِ.
