[IRV | UR | NT | Revelation | Chapter 2 | Verse 1] “इफ़िसुस की कलीसिया के फ़रिश्ते को ये लिख: जो अपने दहने हाथ में सितारे लिए हुए है, और सोने के सातों चराग़दानों में फिरता है, वो ये फ़रमाया है कि।
[IRV | UR | NT | Revelation | Chapter 2 | Verse 2] मैं तेरे काम और तेरी मशक़्क़त और तेरा सब्र तो जानता हूँ; और ये भी कि तू बदियों को देख नहीं सकता, और जो अपने आप को रसूल कहते हैं और हैं नहीं, तू ने उनको आज़मा कर झूठा पाया।
[IRV | UR | NT | Revelation | Chapter 2 | Verse 3] और तू सब्र करता है, और मेरे नाम की ख़ातिर मुसीबत उठाते उठाते थका नहीं।
[IRV | UR | NT | Revelation | Chapter 2 | Verse 4] मगर मुझ को तुझ से ये शिकायत है कि तू ने अपनी पहली सी मुहब्बत छोड़ दी।
[IRV | UR | NT | Revelation | Chapter 2 | Verse 5] पस ख़याल कर कि तू कहाँ से गिरा। और तौबा न करेगा, तो मैं तेरे पास आकर तेरे चिराग़दान को उसकी जगह से हटा दूँगा।
[IRV | UR | NT | Revelation | Chapter 2 | Verse 6] अलबत्ता तुझ में ये बात तो है कि तू निकुलियोंके कामों से नफ़रत रखता है, जिनसे मैं भी नफ़रत रखता हूँ।
[IRV | UR | NT | Revelation | Chapter 2 | Verse 7] जिसके कान हों वो सुने कि रूह कलीसियाओं से क्या फ़रमाता है। जो ग़ालिब आए, मैं उसे उस ज़िन्दगी के दरख़्त में से जो ख़ुदा की जन्नत में है, फल खाने को दूँगा।”
[IRV | UR | NT | Revelation | Chapter 2 | Verse 8] “और समुरना की कलीसिया के फ़रिश्ते को ये लिख: जो अव्वल — ओ — आख़िर है, और जो मर गया था और ज़िन्दा हुआ, वो ये फ़रमाता है कि,
[IRV | UR | NT | Revelation | Chapter 2 | Verse 9] मैं तेरी मुसीबत और ग़रीबी को जानता हूँ (मगर तू दौलतमन्द है), और जो अपने आप को यहूदी कहते हैं, और हैं नहीं बल्कि शैतान के गिरोह हैं, उनके ला'न ता'न को भी जानता हूँ।
[IRV | UR | NT | Revelation | Chapter 2 | Verse 10] जो दुःख तुझे सहने होंगे उनसे ख़ौफ़ न कर, देखो शैतान तुम में से कुछ को क़ैद में डालने को है ताकि तुम्हारी आज़माइश पूरी हो और दस दिन तक मुसीबत उठाओगे जान देने तक वफ़ादार रहो तो में तुझे ज़िन्दगी का ताज दूँगा।
[IRV | UR | NT | Revelation | Chapter 2 | Verse 11] जिसके कान हों वो सुने कि पाक रूह कलीसियाओं से क्या फ़रमाता है। जो ग़ालिब आए, उसको दूसरी मौत से नुक़्सान न पहुँचेगा।”
