[DARBY | EN | OT | Psalms | Chapter 76 | Verse 1] In Judah is God known, his name is great in Israel;
[DARBY | EN | OT | Psalms | Chapter 76 | Verse 2] And in Salem is his tent, and his dwelling-place in Zion.
[DARBY | EN | OT | Psalms | Chapter 76 | Verse 3] There broke he the flashings of the bow, shield and sword and battle. Selah.
[DARBY | EN | OT | Psalms | Chapter 76 | Verse 4] More glorious art thou, more excellent, than the mountains of prey.
[DARBY | EN | OT | Psalms | Chapter 76 | Verse 5] The stout-hearted are made a spoil, they have slept their sleep; and none of the men of might have found their hands.
[DARBY | EN | OT | Psalms | Chapter 76 | Verse 6] At thy rebuke, O God of Jacob, both chariot and horse are cast into a dead sleep.
[DARBY | EN | OT | Psalms | Chapter 76 | Verse 7] Thou, thou art to be feared, and who can stand before thee when once thou art angry?
[DARBY | EN | OT | Psalms | Chapter 76 | Verse 8] Thou didst cause judgment to be heard from the heavens; the earth feared, and was still,
[DARBY | EN | OT | Psalms | Chapter 76 | Verse 9] When God rose up to judgment, to save all the meek of the earth. Selah.
[DARBY | EN | OT | Psalms | Chapter 76 | Verse 10] For the fury of man shall praise thee; the remainder of fury wilt thou gird on thyself.
[DARBY | EN | OT | Psalms | Chapter 76 | Verse 11] Vow and pay unto Jehovah your God: let all that are round about him bring presents unto him that is to be feared.
[DARBY | EN | OT | Psalms | Chapter 76 | Verse 12] He cutteth off the spirit of princes; [he] is terrible to the kings of the earth.
