[DARBY | EN | OT | Psalms | Chapter 91 | Verse 1] He that dwelleth in the secret place of the Most High shall abide under the shadow of the Almighty.
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 2] I say of Jehovah, My refuge and my fortress; my God, I will confide in him.
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 3] Surely he shall deliver thee from the snare of the fowler, [and] from the destructive pestilence.
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 4] He shall cover thee with his feathers, and under his wings shalt thou find refuge: his truth is a shield and buckler.
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 5] Thou shalt not be afraid for the terror by night, for the arrow that flieth by day,
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 6] For the pestilence that walketh in darkness, for the destruction that wasteth at noonday.
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 7] A thousand shall fall at thy side, and ten thousand at thy right hand; [but] it shall not come nigh thee.
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 8] Only with thine eyes shalt thou behold, and see the reward of the wicked.
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 9] Because thou hast made Jehovah, my refuge, the Most High, thy dwelling-place,
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 10] There shall no evil befall thee, neither shall any plague come nigh thy tent.
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 11] For he shall give his angels charge concerning thee, to keep thee in all thy ways:
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 12] They shall bear thee up in [their] hands, lest thou dash thy foot against a stone.
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 13] Thou shalt tread upon the lion and the adder; the young lion and the dragon shalt thou trample under foot.
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 14] Because he hath set his love upon me, therefore will I deliver him; I will set him on high, because he hath known my name.
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 15] He shall call upon me, and I will answer him; I will be with him in trouble, I will deliver him and honour him.
[DARBY | EN | OT | Psalms | Chapter 91 | Verse 16] With length of days will I satisfy him, and shew him my salvation.
