[DARBY | EN | OT | Psalms | Chapter 51 | Verse 1] Be gracious unto me, O God, according to thy loving-kindness; according to the abundance of thy tender mercies, blot out my transgressions.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 2] Wash me fully from mine iniquity, and cleanse me from my sin.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 3] For I acknowledge my transgressions, and my sin is continually before me.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 4] Against thee, thee only, have I sinned, and done what is evil in thy sight; that thou mayest be justified when thou speakest, be clear when thou judgest.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 5] Behold, in iniquity was I brought forth, and in sin did my mother conceive me.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 6] Behold, thou wilt have truth in the inward parts; and in the hidden [part] thou wilt make me to know wisdom.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 7] Purge me with hyssop, and I shall be clean; wash me, and I shall be whiter than snow.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 8] Make me to hear gladness and joy; [that] the bones which thou hast broken may rejoice.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 9] Hide thy face from my sins, and blot out all mine iniquities.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 10] Create in me a clean heart, O God, and renew a steadfast spirit within me.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 11] Cast me not away from thy presence, and take not the spirit of thy holiness from me.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 12] Restore unto me the joy of thy salvation, and let a willing spirit sustain me.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 13] I will teach transgressors thy ways, and sinners shall return unto thee.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 14] Deliver me from blood-guiltiness, O God, thou God of my salvation: my tongue shall sing aloud of thy righteousness.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 15] Lord, open my lips, and my mouth shall declare thy praise.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 16] For thou desirest not sacrifice; else would I give it: thou hast no pleasure in burnt-offering.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 17] The sacrifices of God are a broken spirit: a broken and a contrite heart, O God, thou wilt not despise.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 18] Do good in thy good pleasure unto Zion; build the walls of Jerusalem.
[DARBY | EN | OT | Psalms | Chapter 51 | Verse 19] Then shalt thou have sacrifices of righteousness, burnt-offering, and whole burnt-offering; then shall they offer up bullocks upon thine altar.
