[DARBY | EN | OT | Psalms | Chapter 9 | Verse 1] I will praise Jehovah with my whole heart; I will recount all thy marvellous works.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 2] I will be glad and rejoice in thee; I will sing forth thy name, O Most High.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 3] When mine enemies turned back, they stumbled and perished at thy presence:
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 4] For thou hast maintained my right and my cause. Thou sittest on the throne, judging righteously.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 5] Thou hast rebuked the nations, thou hast destroyed the wicked; thou hast put out their name for ever and ever.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 6] O enemy! destructions are ended for ever. — Thou hast also destroyed cities, even the remembrance of them hath perished.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 7] But Jehovah sitteth for ever; he hath ordained his throne for judgment.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 8] And it is he that will judge the world with righteousness; he shall execute judgment upon the peoples with equity.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 9] And Jehovah will be a refuge to the oppressed one, a refuge in times of distress.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 10] And they that know thy name will confide in thee; for thou, Jehovah, hast not forsaken them that seek thee.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 11] Sing psalms to Jehovah who dwelleth in Zion; tell among the peoples his doings.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 12] For when he maketh inquisition for blood, he remembereth them; the cry of the afflicted ones hath he not forgotten.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 13] Be gracious unto me, O Jehovah; consider mine affliction from them that hate me, lifting me up from the gates of death:
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 14] That I may declare all thy praise in the gates of the daughter of Zion. I will be joyful in thy salvation.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 15] The nations are sunk down in the pit [that] they made; in the net that they hid is their own foot taken.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 16] Jehovah is known [by] the judgment he hath executed: the wicked is ensnared in the work of his own hands. Higgaion. Selah.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 17] The wicked shall be turned into Sheol, all the nations that forget God.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 18] For the needy one shall not be forgotten alway; the hope of the meek shall not perish for ever.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 19] Arise, Jehovah; let not man prevail: let the nations be judged in thy sight.
[DARBY | EN | OT | Psalms | Chapter 9 | Verse 20] Put them in fear, Jehovah: that the nations may know themselves to be but men. Selah.
