[DARBY | EN | OT | Psalms | Chapter 109 | Verse 1] O God of my praise, be not silent:
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 2] For the mouth of the wicked [man] and the mouth of deceit are opened against me: they have spoken against me with a lying tongue,
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 3] And with words of hatred have they encompassed me; and they fight against me without a cause.
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 4] For my love they are mine adversaries; but I [give myself unto] prayer.
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 5] And they have rewarded me evil for good, and hatred for my love.
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 6] Set a wicked [man] over him, and let [the] adversary stand at his right hand;
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 7] When he shall be judged, let him go out guilty, and let his prayer become sin;
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 8] Let his days be few, let another take his office;
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 9] Let his sons be fatherless, and his wife a widow;
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 10] Let his sons be vagabonds and beg, and let them seek [their bread] far from their desolate places;
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 11] Let the usurer cast the net over all that he hath, and let strangers despoil his labour;
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 12] Let there be none to extend kindness unto him, neither let there be any to favour his fatherless children;
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 13] Let his posterity be cut off; in the generation following let their name be blotted out:
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 14] Let the iniquity of his fathers be remembered with Jehovah, and let not the sin of his mother be blotted out;
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 15] Let them be before Jehovah continually, that he may cut off the memory of them from the earth:
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 16] Because he remembered not to shew kindness, but persecuted the afflicted and needy man, and the broken in heart, to slay him.
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 17] And he loved cursing; so let it come unto him. And he delighted not in blessing; and let it be far from him.
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 18] And he clothed himself with cursing like his vestment; so let it come into his bowels like water, and like oil into his bones;
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 19] Let it be unto him as a garment with which he covereth himself, and for a girdle wherewith he is constantly girded.
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 20] Let this be the reward of mine adversaries from Jehovah, and of them that speak evil against my soul.
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 21] But do thou for me, Jehovah, Lord, for thy name's sake; because thy loving-kindness is good, deliver me:
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 22] For I am afflicted and needy, and my heart is wounded within me.
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 23] I am gone like a shadow when it lengtheneth; I am tossed about like the locust;
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 24] My knees are failing through fasting, and my flesh hath lost its fatness;
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 25] And I am become a reproach unto them; [when] they look upon me they shake their heads.
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 26] Help me, Jehovah my God; save me according to thy loving-kindness:
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 27] That they may know that this is thy hand; that thou, Jehovah, hast done it.
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 28] Let them curse, but bless thou; when they rise up, let them be ashamed, and let thy servant rejoice.
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 29] Let mine adversaries be clothed with confusion, and let them cover themselves with their shame as with a mantle.
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 30] I will greatly celebrate Jehovah with my mouth; yea, I will praise him among the multitude.
[DARBY | EN | OT | Psalms | Chapter 109 | Verse 31] For he standeth at the right hand of the needy, to save him from those that judge his soul.
