[DARBY | EN | OT | Psalms | Chapter 22 | Verse 1] My God, my God, why hast thou forsaken me? [why art thou] far from my salvation, from the words of my groaning?
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 2] My God, I cry by day, and thou answerest not; and by night, and there is no rest for me:
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 3] And thou art holy, thou that dwellest amid the praises of Israel.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 4] Our fathers confided in thee: they confided, and thou didst deliver them.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 5] They cried unto thee, and were delivered; they confided in thee, and were not confounded.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 6] But I am a worm, and no man; a reproach of men, and the despised of the people.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 7] All they that see me laugh me to scorn; they shoot out the lip, they shake the head, [saying:]
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 8] Commit it to Jehovah — let him rescue him; let him deliver him, because he delighteth in him!
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 9] But thou art he that took me out of the womb; thou didst make me trust, upon my mother's breasts.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 10] I was cast upon thee from the womb; thou art my God from my mother's belly.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 11] Be not far from me, for trouble is near; for there is none to help.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 12] Many bulls have encompassed me; Bashan's strong ones have beset me round.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 13] They gape upon me with their mouth, [as] a ravening and a roaring lion.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 14] I am poured out like water, and all my bones are out of joint: my heart is become like wax; it is melted in the midst of my bowels.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 15] My strength is dried up like a potsherd, and my tongue cleaveth to my palate; and thou hast laid me in the dust of death.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 16] For dogs have encompassed me; an assembly of evil-doers have surrounded me: they pierced my hands and my feet.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 17] I may count all my bones. They look, they stare upon me;
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 18] They part my garments among them, and cast lots upon my vesture.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 19] But thou, Jehovah, be not far [from me]; O my strength, haste thee to help me.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 20] Deliver my soul from the sword; my only one from the power of the dog;
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 21] Save me from the lion's mouth. Yea, from the horns of the buffaloes hast thou answered me.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 22] I will declare thy name unto my brethren, in the midst of the congregation will I praise thee.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 23] Ye that fear Jehovah, praise him; all ye the seed of Jacob, glorify him; and revere him, all ye the seed of Israel.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 24] For he hath not despised nor abhorred the affliction of the afflicted; neither hath he hid his face from him: but when he cried unto him, he heard.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 25] My praise is from thee, in the great congregation; I will pay my vows before them that fear him.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 26] The meek shall eat and be satisfied; they shall praise Jehovah that seek him: your heart shall live for ever.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 27] All the ends of the earth shall remember and turn unto Jehovah, and all the families of the nations shall worship before thee:
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 28] For the kingdom is Jehovah's, and he ruleth among the nations.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 29] All the fat ones of the earth shall eat and worship; all they that go down to the dust shall bow before him, and he that cannot keep alive his own soul.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 30] A seed shall serve him; it shall be accounted to the Lord for a generation.
[DARBY | EN | OT | Psalms | Chapter 22 | Verse 31] They shall come, and shall declare his righteousness unto a people that shall be born, that he hath done [it].
