[DARBY | EN | OT | Psalms | Chapter 68 | Verse 1] Let God arise, let his enemies be scattered, and let them that hate him flee before him.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 2] As smoke is driven, thou wilt drive them away; as wax melteth before the fire, the wicked shall perish at the presence of God.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 3] But the righteous shall rejoice: they shall exult before God and be glad with joy.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 4] Sing unto God, sing forth his name; cast up a way for him that rideth in the deserts: his name is Jah; and rejoice before him.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 5] A father of the fatherless, and a judge of the widows, is God in his holy habitation.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 6] God maketh the solitary into families; those that were bound he bringeth out into prosperity: but the rebellious dwell in a parched [land].
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 7] O God, when thou wentest forth before thy people, when thou didst march through the wilderness — (Selah) —
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 8] The earth trembled, the heavens also dropped at the presence of God, yon Sinai, at the presence of God, the God of Israel.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 9] Thou, O God, didst pour a plentiful rain upon thine inheritance, and when it was weary thou strengthenedst it.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 10] Thy flock hath dwelt therein: thou hast prepared in thy goodness, for the afflicted, O God!
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 11] The Lord gives the word: great the host of the publishers.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 12] Kings of armies flee; they flee, and she that tarrieth at home divideth the spoil.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 13] Though ye have lain among the sheepfolds, [ye shall be as] wings of a dove covered with silver, and her feathers with green gold.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 14] When the Almighty scattered kings in it, it became snow-white as Zalmon.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 15] [As] mount Bashan is the mount of God, a many-peaked mountain, [as] mount Bashan.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 16] Why do ye look with envy, ye many-peaked mountains, upon the mount that God hath desired for his abode? yea, Jehovah will dwell [there] for ever.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 17] The chariots of God are twenty thousand, thousands upon thousands; the Lord is among them: it is a Sinai in holiness.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 18] Thou hast ascended on high, thou hast led captivity captive: thou hast received gifts in Man, and even [for] the rebellious, for the dwelling [there] of Jah Elohim.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 19] Blessed be the Lord: day by day doth he load us [with good], the God who is our salvation. Selah.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 20] Our God is the God of salvation; and with Jehovah, the Lord, are the goings forth [even] from death.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 21] Verily God will smite the head of his enemies, the hairy scalp of him that goeth on still in his trespasses.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 22] The Lord said, I will bring again from Bashan, I will bring [them] again from the depth of the sea;
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 23] That thou mayest dip thy foot in blood: the tongue of thy dogs has its portion from enemies.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 24] They have seen thy goings, O God, the goings of my God, my King, in the sanctuary.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 25] The singers went before, the players on stringed instruments after, in the midst of maidens playing on tabrets.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 26] In the congregations bless ye God, the Lord, — [ye] from the fountain of Israel.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 27] There is little Benjamin, their ruler; the princes of Judah, their company; the princes of Zebulun, the princes of Naphtali.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 28] Thy God hath commanded thy strength: strengthen, O God, that which thou hast wrought for us.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 29] Because of thy temple at Jerusalem shall kings bring presents unto thee.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 30] Rebuke the beast of the reeds, the assembly of the strong, with the calves of the peoples: [every one] submitteth himself with pieces of silver. Scatter the peoples that delight in war.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 31] Great ones shall come out of Egypt; Ethiopia shall quickly stretch out her hands unto God.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 32] Ye kingdoms of the earth, sing unto God; sing psalms of the Lord, (Selah,)
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 33] Of him that rideth upon the heavens, the heavens which are of old: lo, he uttereth his voice, a mighty voice.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 34] Ascribe ye strength unto God: his excellency is over Israel, and his strength is in the clouds.
[DARBY | EN | OT | Psalms | Chapter 68 | Verse 35] Terrible art thou, O God, out of thy sanctuaries, — the God of Israel! He it is that giveth strength and might unto the people. Blessed be God!
