[DARBY | EN | OT | Psalms | Chapter 143 | Verse 1] Jehovah, hear my prayer; give ear to my supplications: in thy faithfulness answer me, in thy righteousness.
[DARBY | EN | OT | Psalms | Chapter 143 | Verse 2] And enter not into judgment with thy servant; for in thy sight no man living shall be justified.
[DARBY | EN | OT | Psalms | Chapter 143 | Verse 3] For the enemy persecuteth my soul: he hath crushed my life down to the earth; he hath made me to dwell in dark places, as those that have been long dead.
[DARBY | EN | OT | Psalms | Chapter 143 | Verse 4] And my spirit is overwhelmed within me; my heart within me is desolate.
[DARBY | EN | OT | Psalms | Chapter 143 | Verse 5] I remember the days of old: I meditate on all thy doing; I muse on the work of thy hands.
[DARBY | EN | OT | Psalms | Chapter 143 | Verse 6] I stretch forth my hands unto thee: my soul, as a parched land, [thirsteth] after thee. Selah.
[DARBY | EN | OT | Psalms | Chapter 143 | Verse 7] Answer me speedily, O Jehovah; my spirit faileth: hide not thy face from me, or I shall be like unto them that go down into the pit.
[DARBY | EN | OT | Psalms | Chapter 143 | Verse 8] Cause me to hear thy loving-kindness in the morning, for in thee do I confide; make me to know the way wherein I should walk, for unto thee do I lift up my soul.
[DARBY | EN | OT | Psalms | Chapter 143 | Verse 9] Deliver me, O Jehovah, from mine enemies: unto thee do I flee for refuge.
[DARBY | EN | OT | Psalms | Chapter 143 | Verse 10] Teach me to do thy will; for thou art my God: let thy good Spirit lead me in a plain country.
[DARBY | EN | OT | Psalms | Chapter 143 | Verse 11] Revive me, O Jehovah, for thy name's sake; in thy righteousness bring my soul out of trouble;
[DARBY | EN | OT | Psalms | Chapter 143 | Verse 12] And in thy loving-kindness cut off mine enemies, and destroy all them that oppress my soul: for I am thy servant.
