[DARBY | EN | OT | Psalms | Chapter 92 | Verse 1] It is good to give thanks unto Jehovah, and to sing psalms unto thy name, O Most High;
[DARBY | EN | OT | Psalms | Chapter 92 | Verse 2] To declare thy loving-kindness in the morning, and thy faithfulness in the nights,
[DARBY | EN | OT | Psalms | Chapter 92 | Verse 3] Upon an instrument of ten strings and upon the lute; upon the Higgaion with the harp.
[DARBY | EN | OT | Psalms | Chapter 92 | Verse 4] For thou, Jehovah, hast made me glad through thy work; I will triumph in the works of thy hands.
[DARBY | EN | OT | Psalms | Chapter 92 | Verse 5] Jehovah, how great are thy works! Thy thoughts are very deep:
[DARBY | EN | OT | Psalms | Chapter 92 | Verse 6] A brutish man knoweth not, neither doth a fool understand it.
[DARBY | EN | OT | Psalms | Chapter 92 | Verse 7] When the wicked spring as the grass, and when all the workers of iniquity flourish, it is that they may be destroyed for ever.
[DARBY | EN | OT | Psalms | Chapter 92 | Verse 8] And thou, Jehovah, art on high for evermore.
[DARBY | EN | OT | Psalms | Chapter 92 | Verse 9] For lo, thine enemies, O Jehovah, for lo, thine enemies shall perish; all the workers of iniquity shall be scattered.
[DARBY | EN | OT | Psalms | Chapter 92 | Verse 10] But my horn shalt thou exalt like a buffalo's: I shall be anointed with fresh oil.
[DARBY | EN | OT | Psalms | Chapter 92 | Verse 11] And mine eye shall see [its desire] on mine enemies; mine ears shall hear [it] of the evil-doers that rise up against me.
[DARBY | EN | OT | Psalms | Chapter 92 | Verse 12] The righteous shall shoot forth like a palm-tree; he shall grow like a cedar on Lebanon.
[DARBY | EN | OT | Psalms | Chapter 92 | Verse 13] Those that are planted in the house of Jehovah shall flourish in the courts of our God:
[DARBY | EN | OT | Psalms | Chapter 92 | Verse 14] They are still vigorous in old age, they are full of sap and green;
[DARBY | EN | OT | Psalms | Chapter 92 | Verse 15] To shew that Jehovah is upright: [he is] my rock, and there is no unrighteousness in him.
