[DARBY | EN | OT | Psalms | Chapter 118 | Verse 1] Give ye thanks unto Jehovah; for he is good; for his loving-kindness [endureth] for ever.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 2] Oh let Israel say, that his loving-kindness [endureth] for ever.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 3] Oh let the house of Aaron say, that his loving-kindness [endureth] for ever.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 4] Oh let them that fear Jehovah say, that his loving-kindness [endureth] for ever.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 5] I called upon Jah in distress; Jah answered me [and set me] in a large place.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 6] Jehovah is for me, I will not fear; what can man do unto me?
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 7] Jehovah is for me among them that help me; and I shall see [my desire] upon them that hate me.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 8] It is better to trust in Jehovah than to put confidence in man;
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 9] It is better to trust in Jehovah than to put confidence in nobles.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 10] All nations encompassed me; but in the name of Jehovah have I destroyed them.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 11] They encompassed me, yea, encompassed me; but in the name of Jehovah have I destroyed them.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 12] They encompassed me like bees; they are quenched as the fire of thorns: for in the name of Jehovah have I destroyed them.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 13] Thou hast thrust hard at me that I might fall; but Jehovah helped me.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 14] My strength and song is Jah, and he is become my salvation.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 15] The voice of triumph and salvation is in the tents of the righteous: the right hand of Jehovah doeth valiantly;
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 16] The right hand of Jehovah is exalted, the right hand of Jehovah doeth valiantly.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 17] I shall not die, but live, and declare the works of Jah.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 18] Jah hath chastened me sore; but he hath not given me over unto death.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 19] Open to me the gates of righteousness: I will enter into them; Jah will I praise.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 20] This is the gate of Jehovah: the righteous shall enter therein.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 21] I will give thee thanks, for thou hast answered me, and art become my salvation.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 22] [The] stone which the builders rejected hath become the head of the corner:
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 23] This is of Jehovah; it is wonderful in our eyes.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 24] This is the day that Jehovah hath made; we will rejoice and be glad in it.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 25] Oh save, Jehovah, I beseech thee; Jehovah, I beseech thee, oh send prosperity!
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 26] Blessed be he that cometh in the name of Jehovah. We have blessed you out of the house of Jehovah.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 27] Jehovah is God, and he hath given us light: bind the sacrifice with cords, — up to the horns of the altar.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 28] Thou art my God, and I will give thee thanks; my God, I will exalt thee.
[DARBY | EN | OT | Psalms | Chapter 118 | Verse 29] Give ye thanks unto Jehovah; for he is good; for his loving-kindness [endureth] for ever.
