[DARBY | EN | OT | Psalms | Chapter 116 | Verse 1] I love Jehovah, for he hath heard my voice [and] my supplications;
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 2] For he hath inclined his ear unto me, and I will call upon him during [all] my days.
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 3] The bands of death encompassed me, and the anguish of Sheol took hold of me; I found trouble and sorrow:
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 4] Then called I upon the name of Jehovah: I beseech thee, Jehovah, deliver my soul.
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 5] Gracious is Jehovah and righteous; and our God is merciful.
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 6] Jehovah keepeth the simple: I was brought low, and he saved me.
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 7] Return unto thy rest, O my soul; for Jehovah hath dealt bountifully with thee.
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 8] For thou hast delivered my soul from death, mine eyes from tears, my feet from falling.
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 9] I will walk before Jehovah in the land of the living.
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 10] I believed, therefore have I spoken. As for me, I was greatly afflicted.
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 11] I said in my haste, All men are liars.
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 12] What shall I render unto Jehovah, [for] all his benefits toward me?
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 13] I will take the cup of salvation, and call upon the name of Jehovah.
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 14] I will perform my vows unto Jehovah, yea, before all his people.
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 15] Precious in the sight of Jehovah is the death of his saints.
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 16] Yea, Jehovah! for I am thy servant; I am thy servant, the son of thy handmaid: thou hast loosed my bonds.
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 17] I will offer to thee the sacrifice of thanksgiving, and will call upon the name of Jehovah.
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 18] I will perform my vows unto Jehovah, yea, before all his people,
[DARBY | EN | OT | Psalms | Chapter 116 | Verse 19] In the courts of Jehovah's house, in the midst of thee, O Jerusalem. Hallelujah!
