[DARBY | EN | OT | Psalms | Chapter 115 | Verse 1] Not unto us, O Jehovah, not unto us, but unto thy name give glory, for thy loving-kindness and for thy truth's sake.
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 2] Wherefore should the nations say, Where then is their God?
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 3] But our God is in the heavens: he hath done whatsoever he pleased.
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 4] Their idols are silver and gold, the work of men's hands:
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 5] They have a mouth, and they speak not; eyes have they, and they see not;
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 6] They have ears, and they hear not; a nose have they, and they smell not;
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 7] They have hands, and they handle not; feet have they, and they walk not; they give no sound through their throat.
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 8] They that make them are like unto them, — every one that confideth in them.
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 9] O Israel, confide thou in Jehovah: he is their help and their shield.
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 10] House of Aaron, confide in Jehovah: he is their help and their shield.
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 11] Ye that fear Jehovah, confide in Jehovah: he is their help and their shield.
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 12] Jehovah hath been mindful of us: he will bless, he will bless the house of Israel; he will bless the house of Aaron;
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 13] He will bless them that fear Jehovah, both the small and the great.
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 14] Jehovah will add unto you more, unto you and unto your children.
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 15] Ye are blessed of Jehovah, who made the heavens and the earth.
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 16] The heavens are the heavens of Jehovah, but the earth hath he given to the children of men.
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 17] The dead praise not Jah, neither any that go down into silence;
[DARBY | EN | OT | Psalms | Chapter 115 | Verse 18] But we will bless Jah from this time forth and for evermore. Hallelujah!
