[DARBY | EN | OT | Psalms | Chapter 89 | Verse 1] I will sing of the loving-kindness of Jehovah for ever; with my mouth will I make known thy faithfulness from generation to generation.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 2] For I said, Loving-kindness shall be built up for ever; in the very heavens wilt thou establish thy faithfulness.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 3] I have made a covenant with mine elect, I have sworn unto David my servant:
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 4] Thy seed will I establish for ever, and build up thy throne from generation to generation. Selah.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 5] And the heavens shall celebrate thy wonders, O Jehovah, and thy faithfulness in the congregation of the saints.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 6] For who in the heaven can be compared to Jehovah? [who] among the sons of the mighty shall be likened to Jehovah?
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 7] God is greatly to be feared in the council of the saints, and terrible for all that are round about him.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 8] Jehovah, God of hosts, who is like unto thee, the strong Jah? And thy faithfulness is round about thee.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 9] Thou rulest the pride of the sea: when its waves arise, thou stillest them.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 10] Thou hast crushed Rahab as one that is slain; thou hast scattered thine enemies with the arm of thy strength.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 11] Thine are the heavens, the earth also is thine; the world and its fulness, thou hast founded them.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 12] The north and the south, thou hast created them: Tabor and Hermon triumph in thy name.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 13] Thine is the arm of might: strong is thy hand, high is thy right hand.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 14] Righteousness and judgment are the foundation of thy throne; loving-kindness and truth go before thy face.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 15] Blessed is the people that know the shout of joy: they walk, O Jehovah, in the light of thy countenance.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 16] In thy name are they joyful all the day, and in thy righteousness are they exalted.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 17] For thou art the glory of their strength; and in thy favour our horn shall be exalted.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 18] For Jehovah is our shield, and the Holy One of Israel, our king.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 19] Then thou spakest in vision of thy Holy One, and saidst, I have laid help upon a mighty one; I have exalted one chosen out of the people.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 20] I have found David my servant; with my holy oil have I anointed him:
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 21] With whom my hand shall be established; and mine arm shall strengthen him.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 22] No enemy shall exact upon him, nor the son of wickedness afflict him;
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 23] But I will beat down his adversaries before his face, and will smite them that hate him.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 24] And my faithfulness and my loving-kindness shall be with him, and by my name shall his horn be exalted.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 25] And I will set his hand in the sea, and his right hand in the rivers.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 26] He shall call unto me, Thou art my father, my God, and the rock of my salvation;
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 27] And as to me, I will make him firstborn, the highest of the kings of the earth.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 28] My loving-kindness will I keep for him for evermore, and my covenant shall stand fast with him;
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 29] And I will establish his seed for ever, and his throne as the days of heaven.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 30] If his sons forsake my law, and walk not in mine ordinances;
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 31] If they profane my statutes, and keep not my commandments:
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 32] Then will I visit their transgression with the rod, and their iniquity with stripes.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 33] Nevertheless my loving-kindness will I not utterly take from him, nor belie my faithfulness;
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 34] My covenant will I not profane, nor alter the thing that is gone out of my lips.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 35] Once have I sworn by my holiness; I will not lie unto David:
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 36] His seed shall endure for ever, and his throne as the sun before me;
