[DARBY | EN | OT | Psalms | Chapter 90 | Verse 1] Lord, thou hast been our dwelling-place in all generations.
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 2] Before the mountains were brought forth, and thou hadst formed the earth and the world, even from eternity to eternity thou art God.
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 3] Thou makest [mortal] man to return to dust, and sayest, Return, children of men.
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 4] For a thousand years, in thy sight, are as yesterday when it is past, and [as] a watch in the night.
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 5] Thou carriest them away as with a flood; they are [as] a sleep: in the morning they are like grass [that] groweth up:
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 6] In the morning it flourisheth and groweth up; in the evening it is cut down and withereth.
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 7] For we are consumed by thine anger, and by thy fury are we troubled.
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 8] Thou hast set our iniquities before thee, our secret [sins] in the light of thy countenance.
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 9] For all our days pass away in thy wrath: we spend our years as a [passing] thought.
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 10] The days of our years are threescore years and ten; and if, by reason of strength, they be fourscore years, yet their pride is labour and vanity, for it is soon cut off, and we fly away.
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 11] Who knoweth the power of thine anger? and thy wrath according to the fear of thee?
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 12] So teach [us] to number our days, that we may acquire a wise heart.
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 13] Return, Jehovah: how long? and let it repent thee concerning thy servants.
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 14] Satisfy us early with thy loving-kindness; that we may sing for joy and be glad all our days.
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 15] Make us glad according to the days [wherein] thou hast afflicted us, according to the years [wherein] we have seen evil.
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 16] Let thy work appear unto thy servants, and thy majesty unto their sons.
[DARBY | EN | OT | Psalms | Chapter 90 | Verse 17] And let the beauty of Jehovah our God be upon us; and establish thou the work of our hands upon us: yea, the work of our hands, establish thou it.
