[DARBY | EN | OT | Psalms | Chapter 42 | Verse 1] As the hart panteth after the water-brooks, so panteth my soul after thee, O God.
[DARBY | EN | OT | Psalms | Chapter 42 | Verse 2] My soul thirsteth for God, for the living God: when shall I come and appear before God?
[DARBY | EN | OT | Psalms | Chapter 42 | Verse 3] My tears have been my bread day and night, while they say unto me all the day, Where is thy God?
[DARBY | EN | OT | Psalms | Chapter 42 | Verse 4] These things I remember and have poured out my soul within me: how I passed along with the multitude, how I went on with them to the house of God, with the voice of joy and praise, a festive multitude.
[DARBY | EN | OT | Psalms | Chapter 42 | Verse 5] Why art thou cast down, my soul, and art disquieted in me? hope in God; for I shall yet praise him, [for] the health of his countenance.
[DARBY | EN | OT | Psalms | Chapter 42 | Verse 6] My God, my soul is cast down within me; therefore do I remember thee from the land of the Jordan, and the Hermons, from mount Mizar.
[DARBY | EN | OT | Psalms | Chapter 42 | Verse 7] Deep calleth unto deep at the noise of thy cataracts; all thy breakers and thy billows are gone over me.
[DARBY | EN | OT | Psalms | Chapter 42 | Verse 8] In the day-time will Jehovah command his loving-kindness, and in the night his song shall be with me, a prayer unto the God of my life.
[DARBY | EN | OT | Psalms | Chapter 42 | Verse 9] I will say unto God my rock, Why hast thou forgotten me? why go I mourning because of the oppression of the enemy?
[DARBY | EN | OT | Psalms | Chapter 42 | Verse 10] As with a crushing in my bones mine adversaries reproach me, while they say unto me all the day, Where is thy God?
[DARBY | EN | OT | Psalms | Chapter 42 | Verse 11] Why art thou cast down, my soul? and why art thou disquieted within me? hope in God; for I shall yet praise him, [who is] the health of my countenance, and my God.
