[DARBY | EN | OT | Psalms | Chapter 37 | Verse 1] Fret not thyself because of evil-doers, and be not envious of them that work unrighteousness;
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 2] for they shall soon be cut down like the grass, and fade as the green herb.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 3] Confide in Jehovah, and do good; dwell in the land, and feed on faithfulness;
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 4] and delight thyself in Jehovah, and he will give thee the desires of thy heart.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 5] Commit thy way unto Jehovah, and rely upon him: he will bring [it] to pass;
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 6] and he will bring forth thy righteousness as the light, and thy judgment as the noonday.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 7] Rest in Jehovah, and wait patiently for him: fret not thyself because of him that prospereth in his way, because of the man that bringeth mischievous devices to pass.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 8] Cease from anger, and forsake wrath; fret not thyself: it [would be] only to do evil.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 9] For evil-doers shall be cut off; but those that wait on Jehovah, they shall possess the land.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 10] For yet a little while, and the wicked is not; and thou considerest his place, but he is not.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 11] But the meek shall possess the land, and shall delight themselves in the abundance of prosperity.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 12] The wicked plotteth against the righteous, and gnasheth his teeth against him.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 13] The Lord laugheth at him; for he seeth that his day is coming.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 14] The wicked have drawn out the sword, and have bent their bow, to cast down the afflicted and needy, to slay those that are upright in [the] way:
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 15] their sword shall enter into their own heart, and their bows shall be broken.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 16] The little that the righteous hath is better than the abundance of many wicked;
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 17] for the arms of the wicked shall be broken, but Jehovah upholdeth the righteous.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 18] Jehovah knoweth the days of the perfect; and their inheritance shall be for ever:
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 19] they shall not be ashamed in the time of evil, and in the days of famine they shall be satisfied.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 20] For the wicked shall perish, and the enemies of Jehovah shall be as the fat of lambs: they shall consume, like smoke shall they consume away.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 21] The wicked borroweth, and payeth not again; but the righteous is gracious and giveth:
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 22] for those blessed of him shall possess the land, and they that are cursed of him shall be cut off.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 23] The steps of a man are established by Jehovah, and he delighteth in his way:
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 24] though he fall, he shall not be utterly cast down, for Jehovah upholdeth his hand.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 25] I have been young, and now am old, and I have not seen the righteous forsaken, nor his seed seeking bread:
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 26] all the day he is gracious and lendeth, and his seed shall be a blessing.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 27] Depart from evil, and do good, and dwell for evermore;
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 28] for Jehovah loveth judgment, and will not forsake his saints: They are preserved for ever; but the seed of the wicked shall be cut off.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 29] The righteous shall possess the land, and dwell therein for ever.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 30] The mouth of the righteous proffereth wisdom, and his tongue speaketh judgment;
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 31] the law of his God is in his heart; his goings shall not slide.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 32] The wicked watcheth the righteous, and seeketh to slay him:
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 33] Jehovah will not leave him in his hand, nor condemn him when he is judged.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 34] Wait for Jehovah, and keep his way, and he will exalt thee to possess the land: when the wicked are cut off, thou shalt see [it].
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 35] I have seen the wicked in great power, and spreading like a green tree in its native soil:
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 36] but he passed away, and behold, he was not; and I sought him, but he was not found.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 37] Mark the perfect, and behold the upright, for the end of [that] man is peace;
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 38] but the transgressors shall be destroyed together; the future of the wicked shall be cut off.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 39] But the salvation of the righteous is of Jehovah: he is their strength in the time of trouble.
[DARBY | EN | OT | Psalms | Chapter 37 | Verse 40] And Jehovah will help them and deliver them: he will deliver them from the wicked, and save them; for they trust in him.
