[DARBY | EN | OT | Psalms | Chapter 78 | Verse 1] Give ear, O my people, to my law; incline your ears to the words of my mouth.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 2] I will open my mouth in a parable; I will utter riddles from of old,
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 3] Which we have heard and known, and our fathers have told us:
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 4] We will not hide [them] from their sons, shewing forth to the generation to come the praises of Jehovah, and his strength, and his marvellous works which he hath done.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 5] For he established a testimony in Jacob, and appointed a law in Israel, which he commanded our fathers, that they should make them known to their children;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 6] That the generation to come might know [them], the children that should be born; that they might rise up and tell [them] to their children,
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 7] And that they might set their hope in God, and not forget the works of God, but observe his commandments;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 8] And might not be as their fathers, a stubborn and rebellious generation, a generation that prepared not their heart, and whose spirit was not stedfast with God.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 9] The sons of Ephraim, armed bowmen, turned back in the day of battle.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 10] They kept not the covenant of God, and refused to walk in his law;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 11] And forgot his doings, and his marvellous works which he had shewn them.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 12] In the sight of their fathers had he done wonders, in the land of Egypt, the field of Zoan.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 13] He clave the sea, and caused them to pass through; and made the waters to stand as a heap;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 14] And he led them with a cloud in the daytime, and all the night with the light of fire.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 15] He clave rocks in the wilderness, and gave [them] drink as out of the depths, abundantly;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 16] And he brought streams out of the rock, and caused waters to run down like rivers.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 17] Yet they still went on sinning against him, provoking the Most High in the desert;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 18] And they tempted God in their heart, by asking meat for their lust;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 19] And they spoke against God: they said, Is God able to prepare a table in the wilderness?
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 20] Behold, he smote the rock, and waters gushed out, and streams overflowed; is he able to give bread also, or provide flesh for his people?
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 21] Therefore Jehovah heard, and was wroth; and fire was kindled against Jacob, and anger also went up against Israel:
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 22] Because they believed not in God, and confided not in his salvation;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 23] Though he had commanded the clouds from above, and had opened the doors of the heavens,
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 24] And had rained down manna upon them to eat, and had given them the corn of the heavens.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 25] Man did eat the bread of the mighty; he sent them provision to the full.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 26] He caused the east wind to rise in the heavens, and by his strength he brought the south wind;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 27] And he rained flesh upon them as dust, and feathered fowl as the sand of the seas,
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 28] And he let it fall in the midst of their camp, round about their habitations:
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 29] And they did eat, and were well filled; for that they lusted after, he brought to them.
